"","1706784_MW112_HPC5_1_S86_L003","1706785_MW112_HPC5_2_S87_L003","1706786_MW112_HPC5_3_S88_L003","SRR908270_RNAseq_HPC7","SRR908271_RNAseq_HPC7","treatment_mean","control_mean","logFC"
"ENSMUSG00000000001",9933.36084387073,9998.89119544347,9234.54494681416,6628.53766347993,4906.61803240483,5767.57784794238,9722.26566204279,-0.753225250715767
"ENSMUSG00000000003",0,0,0,0,0,0,0,0
"ENSMUSG00000000028",3232.77701246434,3584.12087605257,3331.83590976649,2886.53252462666,2218.16899202233,2552.35075832449,3382.91126609447,-0.406300001248241
"ENSMUSG00000000037",0,0,0,0,0,0,0,0
"ENSMUSG00000000049",0,0,0,0,0,0,0,0
"ENSMUSG00000000056",291.068551807892,303.547140092313,274.682282215117,450.367904753069,441.930692222346,446.149298487708,289.765991371774,0.62089807432512
"ENSMUSG00000000058",401.519466208131,401.280882610442,352.493425486905,3.78881832722488,6.94496536787662,5.36689184755075,385.097924768493,-5.92223373194763
"ENSMUSG00000000078",3401.17426062109,3385.88319060485,2914.13543663836,1801.58311459543,1843.88830517124,1822.73570988334,3233.73096262143,-0.826749052353942
"ENSMUSG00000000085",809.168882469655,840.707503841286,827.549114111891,1399.75788750959,1399.28076934541,1399.5193284275,825.808500140944,0.760336768223921
"ENSMUSG00000000088",3307.75873785746,3598.90700725149,3640.43681206201,4264.3150272916,3281.4961363217,3772.90558180665,3515.70085239032,0.101835711488509
"ENSMUSG00000000093",3.71539010991692,4.61842549443116,2.97664498124449,7.57763665444976,27.7798614715065,17.6787490629781,3.77015352853086,1.96929023378346
"ENSMUSG00000000094",1.08305670072331,1.76583447654725,0,1.93000131094446,1.77263309690928,1.85131720392687,0.949630392423519,0.548427899188431
"ENSMUSG00000000103",0,0,0,0,0,0,0,0
"ENSMUSG00000000120",5.88852753872034,5.23905979361036,5.99515240675486,3.81197112138993,15.9684003339105,9.8901857276502,5.70757991302852,0.699164316099173
"ENSMUSG00000000125",0,0.577303186803896,0,0,0,0,0.192434395601299,-0.253909895376087
"ENSMUSG00000000126",0,0,0,1.89465761117047,0,0.947328805585236,0,0.961496503029304
"ENSMUSG00000000127",185.416503674252,186.386940801918,195.00825957066,399.908839127701,393.416425305142,396.662632216422,188.937234682277,1.06602224605082
"ENSMUSG00000000131",974.439024644495,971.10290738877,1066.98731791627,2891.37292641802,2711.7027454171,2801.53783591756,1004.17641664985,1.47928512203889
"ENSMUSG00000000134",3120.31445355489,3337.86062259485,3134.89341233863,3212.33336633521,4191.42939771309,3701.88138202415,3197.68949616279,0.211167381342
"ENSMUSG00000000142",0,0,0,15.6330199377214,24.2735933826178,19.9533066601696,0,4.38910602978049
"ENSMUSG00000000148",1142.30273564422,1105.62688782139,1159.13168749697,1385.05874732606,1402.7286521262,1393.89369972613,1135.6871036542,0.295320005588502
"ENSMUSG00000000149",1860.82059757079,1779.68326900158,1979.77551641947,2105.34465706293,1926.08168176746,2015.7131694152,1873.42646099728,0.105556682929415
"ENSMUSG00000000154",302.370780019824,288.520378039004,455.73610836092,102.295304867213,146.935121398582,124.615213132898,348.875755473249,-1.47783149879245
"ENSMUSG00000000157",144.761300188803,141.704880864808,146.271622956159,0,0,0,144.245934669923,-7.18235397396481
"ENSMUSG00000000159",1.37060778487725,0.45909661074586,0.792655205538549,22.0984921869323,8.40412000317618,15.2513060950542,0.874119867053887,3.11627053564781
"ENSMUSG00000000167",56.3937826523033,61.8731371194573,52.3078240137049,59.4153847044995,69.1026037165469,64.2589942105232,56.8582479284885,0.17365411635328
"ENSMUSG00000000168",715.480739958494,725.951461886994,727.294094547277,697.926169405417,538.889972684648,618.408071045033,722.908765464255,-0.224917703464185
"ENSMUSG00000000171",10087.2841484244,10648.9345837847,10005.4959969565,4440.49507950756,2658.18549455478,3549.34028703117,10247.2382430552,-1.52934670647248
"ENSMUSG00000000182",1.06154003140483,1.73190956041169,0,11.3664549816746,1.73624134196916,6.5513481618219,0.93114986393884,1.96727410874897
"ENSMUSG00000000183",0,0,0,0,0,0,0,0
"ENSMUSG00000000184",2677.73472921869,2558.60772391487,2399.17585488306,10405.9895357231,6865.09826614604,8635.54390093459,2545.17276933887,1.76212378643299
"ENSMUSG00000000194",302.148679783461,283.320539288008,310.639895465012,151.561211553859,190.253327769538,170.907269661699,298.703038178827,-0.801903153765304
"ENSMUSG00000000197",0,1.74981818767803,0,2.88234420448532,1.32026550141317,2.10130485294924,0.58327272922601,0.96996555670111
"ENSMUSG00000000202",0.0825230344036255,0.178416354255617,0,0,0,0,0.0869797962197475,-0.120325125126526
"ENSMUSG00000000204",219.003556469819,258.761173043524,234.680233754669,294.270076881516,246.608968550083,270.439522715799,237.48165442267,0.186752509500551
"ENSMUSG00000000214",0,1.36506973744476,0,2.20370987126647,9.10023702584928,5.65197344855788,0.45502324581492,2.19274020792576
"ENSMUSG00000000215",0,0,0,0,0,0,0,0
"ENSMUSG00000000216",0,0,0,0,0,0,0,0
"ENSMUSG00000000223",40.1706726913755,41.6025728405078,48.0736598407897,90.436457740045,90.8036752236408,90.6200664818429,43.282301790891,1.04893339445844
"ENSMUSG00000000244",3070.12544534298,3139.95476475059,3093.58305842199,5077.11517064967,3471.56461885295,4274.33989475131,3101.22108950518,0.462737612358444
"ENSMUSG00000000247",3237.84168002472,2927.54648481697,3455.19652792309,9152.6100977955,6465.03885066624,7808.82447423087,3206.86156425493,1.28367824075104
"ENSMUSG00000000248",290.726192452338,184.279504437758,233.13710356595,3.04132368872071,3.28750350931043,3.16441359901557,236.047600152015,-5.83091961662965
"ENSMUSG00000000253",292.985048667734,299.722394760035,311.890338374423,483.090507164727,552.565055532562,517.827781348644,301.532593934064,0.778165150451454
"ENSMUSG00000000263",0.61447709073333,0.711408179061375,0,0,0,0,0.441961756598235,-0.528032902236352
"ENSMUSG00000000266",16.4285853310563,11.2202302688774,10.3291224019932,5.46290889209881,4.87541195247492,5.16916042228687,12.659312667309,-1.14673882187471
"ENSMUSG00000000275",3660.62774180617,3751.01547143846,3476.14862547581,1379.54514020814,1206.72726435456,1293.13620228135,3629.26394624015,-1.48808498353428
"ENSMUSG00000000276",1193.33439312837,1084.79332832521,1043.99278135294,415.046101974115,313.788309266425,364.41720562027,1107.37350093551,-1.60082765451862
"ENSMUSG00000000278",1934.36551292887,2095.69777359224,1884.03213332638,267.819487833903,346.007199518566,306.913343676234,1971.36513994916,-2.67933036542354
"ENSMUSG00000000282",326.237009657988,316.122689780258,318.405141065692,657.120313465519,800.905937113099,729.013125289309,320.254946834646,1.18420373342374
"ENSMUSG00000000290",4936.71799465002,4977.3538118378,4677.68066061142,4952.73119929547,4155.76340869674,4554.2473039961,4863.91748903308,-0.0948859565759715
"ENSMUSG00000000295",1219.18162622514,1479.42765921567,1338.62105225994,1261.97793473297,1180.40302976592,1221.19048224945,1345.74344590025,-0.140005892871625
"ENSMUSG00000000296",0,0,0,0,0,0,0,0
"ENSMUSG00000000301",99.3337592787199,107.663423486498,111.451430183848,187.62680117905,183.537001693587,185.581901436319,106.149537649688,0.800183425837479
"ENSMUSG00000000303",5.94456334672501,6.67341735979098,8.5994152999952,1.35341137962654,0,0.676705689813268,7.07246533550373,-2.26737986412919
"ENSMUSG00000000305",2.39709643560181,2.20464801873378,0.927115217030607,4.63690325265248,2.49592313840798,3.56641319553023,1.84295322378873,0.683671046887415
"ENSMUSG00000000308",11.6041773837712,13.2564778431083,9.67874869431522,3.11764143127211,9.76456054117392,6.44110098622301,11.5131346403983,-0.749855237859592
"ENSMUSG00000000317",0.343434378983691,0.296914723022354,0.263653521073116,0.824813597432142,0.247468182572248,0.536140890002195,0.301334207693053,0.239319020051454
"ENSMUSG00000000318",44.3793715475964,62.75371760542,50.4184487816865,5.45000713530173,11.1395711772422,8.29478915627198,52.5171793115676,-2.52550803455457
"ENSMUSG00000000320",28.6669903600179,19.9092620904314,24.0421580680527,52.1638110352857,62.8448348512888,57.5043229432872,24.2061368395007,1.21476820701622
"ENSMUSG00000000325",437.148027463768,429.973944311471,460.89741754227,3207.14323746037,3399.18107070783,3303.1621540841,442.673129772503,2.89671540296114
"ENSMUSG00000000326",4090.81812158837,4479.70161638535,4343.94596899317,3041.50859736555,3038.64693196519,3040.07776466537,4304.8219023223,-0.501705939299914
"ENSMUSG00000000339",535.872704689263,554.381861665624,545.30051240545,1029.32480812606,561.76221172833,795.543509927194,545.185026253446,0.544363405895011
"ENSMUSG00000000340",1535.09105228662,1484.12669848376,1393.84706749757,928.444959431158,646.939771715882,787.69236557352,1471.02160608932,-0.900264264408344
"ENSMUSG00000000346",26080.4462615697,27076.6740674763,25238.9727959721,16735.2105513523,16251.2189608313,16493.2147560918,26132.0310416727,-0.663914368640882
"ENSMUSG00000000355",2382.13848464814,2438.97064331713,2311.05962191645,1199.05279491109,859.537304498744,1029.29504970492,2377.38958329391,-1.20692750284246
