"target_id","pval","qval","ext_gene","num_aggregated_transcripts"
"ENSMUSG00000009585",2.20637380165282e-45,3.37751701557014e-41,"Apobec3",17
"ENSMUSG00000027620",2.47044274738081e-42,1.89087687884527e-38,"Rbm39",23
"ENSMUSG00000024392",3.49271834552593e-41,1.78221774777703e-37,"Bag6",17
"ENSMUSG00000024851",1.30325271448586e-39,4.98754813833738e-36,"Pitpnm1",11
"ENSMUSG00000021417",1.96791944044099e-38,6.02498215885413e-35,"Eci2",10
"ENSMUSG00000021546",2.82159133137647e-37,7.19882001678516e-34,"Hnrnpk",22
"ENSMUSG00000015165",6.80434488304689e-37,1.48801302099546e-33,"Hnrnpl",14
"ENSMUSG00000025877",3.51768052277431e-36,6.0193472801394e-33,"Hk3",7
"ENSMUSG00000022106",3.5389420904922e-36,6.0193472801394e-33,"Rcbtb2",21
"ENSMUSG00000001909",1.786670076177e-32,2.73503455261176e-29,"Trmt1",24
"ENSMUSG00000016495",5.6200074533838e-32,7.82100673603629e-29,"5033414D02Rik",10
"ENSMUSG00000018501",2.20176685050121e-31,2.80872057895605e-28,"Ncor1",22
"ENSMUSG00000032946",3.97026301177742e-31,4.67513739879144e-28,"Rasgrp2",17
"ENSMUSG00000021111",6.28745500169552e-31,6.87488294042536e-28,"Papola",15
"ENSMUSG00000005610",1.7428932464919e-30,1.72120660445943e-27,"Eif4g2",15
"ENSMUSG00000021910",1.7990139581494e-30,1.72120660445943e-27,"Nisch",18
"ENSMUSG00000029022",2.51184201324782e-30,2.26183985522339e-27,"Miip",8
"ENSMUSG00000028207",3.3401213216052e-30,2.84058762172958e-27,"Asph",13
"ENSMUSG00000027684",6.9716550532409e-30,5.61695239763219e-27,"Mecom",14
"ENSMUSG00000031389",1.31657321733383e-29,1.00770514054731e-26,"Arhgap4",17
"ENSMUSG00000042625",6.35775138498317e-29,4.63449800958678e-26,"Safb2",17
"ENSMUSG00000022185",2.33498524846848e-28,1.62472519016161e-25,"Acin1",23
"ENSMUSG00000031328",6.65673668278934e-28,4.43049239739736e-25,"Flna",10
"ENSMUSG00000028064",1.26865715426197e-27,8.09191821560095e-25,"Sema4a",12
"ENSMUSG00000064215",1.34516459944649e-27,8.23671187533077e-25,"Ifi27l1",9
"ENSMUSG00000022884",1.62086557335961e-27,9.54315776807265e-25,"Eif4a2",21
"ENSMUSG00000044037",1.73208662338559e-27,9.8202896410321e-25,"Als2cl",7
"ENSMUSG00000027405",3.70877305559592e-27,2.02763921196651e-24,"Nop56",17
"ENSMUSG00000024949",3.96323430114842e-27,2.09204105799931e-24,"Sf1",12
"ENSMUSG00000043962",5.43926114430941e-27,2.77547365323628e-24,"Thrap3",15
"ENSMUSG00000007029",5.81852198401388e-27,2.80077683777e-24,"Vars",12
"ENSMUSG00000032596",5.8547725900601e-27,2.80077683777e-24,"Uba7",14
"ENSMUSG00000007850",1.85119420228292e-26,8.58729722683241e-24,"Hnrnph1",15
"ENSMUSG00000032786",5.93201255362965e-26,2.67080141679302e-23,"Alas1",8
"ENSMUSG00000029823",6.15040367282457e-26,2.69001084067424e-23,"Luc7l2",14
"ENSMUSG00000017664",7.35915985641391e-26,3.12927830783289e-23,"Slc35c2",11
"ENSMUSG00000025261",1.6868457237633e-25,6.9789822538834e-23,"Huwe1",17
"ENSMUSG00000024677",1.88744688759761e-25,7.60343077772215e-23,"Ms4a6b",4
"ENSMUSG00000039997",2.96346813876851e-25,1.16319923764791e-22,"Ifi203",9
"ENSMUSG00000030720",3.32922524991402e-25,1.2740945031421e-22,"Cln3",16
"ENSMUSG00000029064",3.7541648472098e-25,1.37501539383084e-22,"Gnb1",9
"ENSMUSG00000074604",3.77257947092338e-25,1.37501539383084e-22,"Mgst2",9
"ENSMUSG00000025915",4.3078421503924e-25,1.53359180553969e-22,"Sgk3",4
"ENSMUSG00000027940",6.68741452718247e-25,2.3266123086843e-22,"Tpm3",14
"ENSMUSG00000025647",1.33188875105911e-24,4.53078955582509e-22,"Shisa5",15
"ENSMUSG00000039109",1.562085882444e-24,5.19835014966365e-22,"F13a1",5
"ENSMUSG00000034593",2.34813734046949e-24,7.64793327827809e-22,"Myo5a",10
