#plotCorrelation --outFileCorMatrix
	'H3K27me3'	'H3acK9'	'H3K27ac'	'H3K4me3'	'CTCF'	'H3K36me3'	'RUNX1'	'FLI1'	'LMO2'	'NFIX_r1'	'NFIX_r2'	'ETO2'	'H2AacK5'	'RAD21'	'PU.1'	'STAT3'	'MEIS1'	'GATA2_r1'	'GLI1b'	'GATA2'	'STAT1P'	'E2A'	'E2F4'	'EGR1'	'ELF1'	'LDB1'	'cMyc'	'MYB'	'NFE2'	'LYL1'	'SCL'	'MAX'	'Cebpb'	'cFos'	'JUN'	'P52'
'H3K27me3'	1.0000	0.1580	-0.0163	-0.0036	0.2233	-0.0911	0.0919	0.1248	0.1879	0.2379	0.1899	0.1709	0.0894	0.3803	0.2555	0.3894	0.3222	0.4431	0.3439	0.6099	0.5090	0.3808	0.4306	0.4286	0.4858	0.2491	0.3313	0.4300	0.4878	0.2433	0.3382	0.1522	0.0879	0.1095	0.2907	0.2556
'H3acK9'	0.1580	1.0000	0.7766	0.7625	0.4337	0.3512	0.3292	0.3563	0.2904	0.4806	0.4932	0.5954	0.5319	0.5421	0.6543	0.7831	0.4557	0.3841	0.5162	0.4596	0.6013	0.5911	0.4435	0.3921	0.3466	0.3708	0.3812	0.2450	0.2509	0.2314	0.3710	0.2716	0.2849	0.0946	0.1086	0.0130
'H3K27ac'	-0.0163	0.7766	1.0000	0.8183	0.3219	0.2908	0.3077	0.3407	0.2492	0.3925	0.4121	0.6226	0.5248	0.4005	0.5092	0.6826	0.3473	0.2406	0.3856	0.2825	0.4455	0.4796	0.3452	0.3015	0.2472	0.3192	0.3338	0.1552	0.1402	0.1671	0.2836	0.2854	0.2843	0.1121	0.0770	-0.0038
'H3K4me3'	-0.0036	0.7625	0.8183	1.0000	0.2774	0.1719	0.1944	0.2024	0.1346	0.2997	0.3229	0.4439	0.2904	0.3085	0.3910	0.5965	0.2303	0.1388	0.2970	0.1776	0.3168	0.3065	0.3044	0.2389	0.2010	0.2155	0.2870	0.1033	0.0957	0.0929	0.2020	0.2584	0.2414	0.1233	0.0751	-0.0096
'CTCF'	0.2233	0.4337	0.3219	0.2774	1.0000	0.2247	0.1881	0.2054	0.1818	0.3246	0.3273	0.3406	0.3550	0.7303	0.3735	0.5366	0.2979	0.2799	0.3356	0.3853	0.4706	0.4456	0.3185	0.2836	0.2551	0.2626	0.2453	0.2065	0.2070	0.1423	0.2180	0.1418	0.1749	0.0375	0.0735	0.0098
'H3K36me3'	-0.0911	0.3512	0.2908	0.1719	0.2247	1.0000	0.2128	0.1968	0.2096	0.3668	0.3719	0.2711	0.2830	0.2827	0.2806	0.4017	0.2572	0.2840	0.3092	0.3336	0.4461	0.4568	0.2818	0.2725	0.2327	0.2873	0.2315	0.1940	0.1947	0.1908	0.2350	0.1256	0.2017	0.0338	0.1059	0.0597
'RUNX1'	0.0919	0.3292	0.3077	0.1944	0.1881	0.2128	1.0000	0.7514	0.7513	0.5633	0.5332	0.6422	0.5905	0.3919	0.4650	0.3890	0.6461	0.6196	0.6793	0.4146	0.4702	0.5812	0.5285	0.5881	0.5463	0.6665	0.5537	0.4769	0.4544	0.6742	0.6460	0.6130	0.6156	0.4619	0.4657	0.4660
'FLI1'	0.1248	0.3563	0.3407	0.2024	0.2054	0.1968	0.7514	1.0000	0.7838	0.5700	0.5395	0.6929	0.6552	0.4313	0.5481	0.4330	0.6994	0.6669	0.7095	0.4679	0.5297	0.6256	0.5521	0.6052	0.5878	0.6553	0.5464	0.4787	0.4779	0.6967	0.6627	0.6008	0.5755	0.4178	0.4305	0.4348
'LMO2'	0.1879	0.2904	0.2492	0.1346	0.1818	0.2096	0.7513	0.7838	1.0000	0.5466	0.5111	0.6287	0.5700	0.4057	0.4658	0.3956	0.6859	0.7185	0.7103	0.5118	0.5311	0.6521	0.5655	0.6228	0.6129	0.6649	0.5531	0.5221	0.5278	0.7464	0.7185	0.5858	0.5571	0.4259	0.4739	0.4849
'NFIX_r1'	0.2379	0.4806	0.3925	0.2997	0.3246	0.3668	0.5633	0.5700	0.5466	1.0000	0.8888	0.6288	0.6085	0.5310	0.5358	0.5778	0.5794	0.5895	0.6807	0.5544	0.6249	0.6223	0.6266	0.6491	0.6042	0.6691	0.6096	0.5373	0.5166	0.5394	0.5795	0.5675	0.6121	0.4219	0.4619	0.4333
