#plotCorrelation --outFileCorMatrix
	'NFIX_r1'	'NFIX_r2'	'P52'	'H3K27me3'	'H3K36me3'	'FLI1'	'SCL'	'RUNX1'	'GATA2_r1'	'LYL1'	'LMO2'	'GATA2'	'E2A'	'LDB1'	'STAT1P'	'ETO2'	'STAT3'	'cMyc'	'PU.1'	'H2AacK5'	'GLI1b'	'MEIS1'	'MYB'	'MAX'	'Cebpb'	'EGR1'	'ELF1'	'H3K4me3'	'H3K27ac'	'H3acK9'	'RAD21'	'CTCF'	'NFE2'	'E2F4'	'cFos'	'JUN'
'NFIX_r1'	1.0000	0.8703	0.0944	0.0076	-0.0634	-0.1184	-0.1275	-0.1247	-0.1100	-0.0776	-0.0938	-0.1165	-0.1403	-0.1346	-0.2279	-0.2449	-0.2352	-0.1811	-0.1635	-0.2634	-0.1577	-0.1244	-0.0650	-0.1736	-0.1467	-0.1545	-0.1322	-0.1739	-0.1990	-0.2126	-0.1348	-0.0848	-0.0474	-0.1199	-0.0506	-0.0153
'NFIX_r2'	0.8703	1.0000	0.0871	-0.0102	-0.0707	-0.1209	-0.1163	-0.1198	-0.1087	-0.0766	-0.0882	-0.1191	-0.1332	-0.1367	-0.2344	-0.2402	-0.2320	-0.1801	-0.1543	-0.2755	-0.1663	-0.1305	-0.0722	-0.1742	-0.1562	-0.1565	-0.1405	-0.1602	-0.1847	-0.2016	-0.1456	-0.0915	-0.0598	-0.1287	-0.0511	-0.0224
'P52'	0.0944	0.0871	1.0000	0.0063	-0.0404	0.0762	0.0319	0.0521	0.0512	0.1226	0.0720	0.0267	0.0085	0.0839	-0.0484	-0.0503	-0.1919	-0.0034	-0.0715	-0.0422	-0.0220	0.0276	0.1670	0.1181	0.1108	0.0995	0.1539	-0.1870	-0.1779	-0.2250	-0.0443	-0.0659	0.1535	0.0193	0.1464	0.2208
'H3K27me3'	0.0076	-0.0102	0.0063	1.0000	-0.0622	-0.0992	-0.0534	-0.0931	-0.0090	-0.0590	-0.0717	0.0926	0.0053	-0.0041	0.1351	-0.0863	0.0684	0.0196	-0.0195	-0.0729	-0.0061	-0.0381	0.0908	-0.0930	-0.0419	0.0436	0.0438	-0.0311	-0.0681	-0.0035	0.0753	0.0742	0.1040	0.0534	-0.0318	0.0851
'H3K36me3'	-0.0634	-0.0707	-0.0404	-0.0622	1.0000	-0.0369	-0.0226	-0.0339	0.0029	-0.0294	-0.0303	0.0449	0.0348	0.0191	0.1552	-0.0201	0.0396	-0.0009	0.0018	0.1372	-0.0233	-0.0230	0.0361	-0.0634	-0.0060	0.0355	0.0232	-0.0461	0.0132	0.0182	0.0257	0.0465	0.0193	0.0126	-0.0452	0.0136
'FLI1'	-0.1184	-0.1209	0.0762	-0.0992	-0.0369	1.0000	0.6199	0.7373	0.5909	0.6868	0.7258	0.3714	0.5592	0.5670	0.4059	0.4785	0.1990	0.2469	0.3610	0.2595	0.4502	0.5700	0.3112	0.4338	0.3152	0.2920	0.3767	-0.0029	0.0861	0.0684	0.1266	0.0197	0.1684	0.1183	0.2111	0.1334
'SCL'	-0.1275	-0.1163	0.0319	-0.0534	-0.0226	0.6199	1.0000	0.7506	0.6640	0.7449	0.8467	0.4987	0.7311	0.7004	0.4005	0.5788	0.2870	0.2827	0.2656	0.2645	0.4712	0.4649	0.3144	0.3472	0.2793	0.3120	0.2374	0.0973	0.1667	0.1744	0.1433	0.0412	0.1397	0.1437	0.1890	0.1295
'RUNX1'	-0.1247	-0.1198	0.0521	-0.0931	-0.0339	0.7373	0.7506	1.0000	0.6795	0.7515	0.8337	0.4744	0.7157	0.6561	0.4201	0.5238	0.2360	0.2392	0.3140	0.2566	0.5331	0.5656	0.3361	0.3806	0.3171	0.2904	0.2580	-0.0003	0.0825	0.0790	0.1362	0.0299	0.1649	0.1130	0.1948	0.1333
'GATA2_r1'	-0.1100	-0.1087	0.0512	-0.0090	0.0029	0.5909	0.6640	0.6795	1.0000	0.6883	0.7174	0.6866	0.6343	0.5726	0.4156	0.4182	0.1785	0.1840	0.3036	0.2258	0.4193	0.4948	0.2961	0.2883	0.2281	0.2276	0.2220	-0.0449	0.0246	0.0412	0.1059	0.0215	0.1453	0.0976	0.1274	0.0997
'LYL1'	-0.0776	-0.0766	0.1226	-0.0590	-0.0294	0.6868	0.7449	0.7515	0.6883	1.0000	0.8557	0.4260	0.6454	0.6142	0.3120	0.4130	0.0914	0.1503	0.2375	0.1930	0.4303	0.4791	0.2895	0.3097	0.2519	0.2315	0.2245	-0.0857	-0.0188	-0.0180	0.0784	-0.0099	0.1626	0.0702	0.1594	0.1129
'LMO2'	-0.0938	-0.0882	0.0720	-0.0717	-0.0303	0.7258	0.8467	0.8337	0.7174	0.8557	1.0000	0.4733	0.7442	0.6799	0.3527	0.4803	0.1553	0.1797	0.2353	0.2112	0.4281	0.4893	0.2940	0.3129	0.2591	0.2356	0.2113	-0.0407	0.0272	0.0161	0.0942	0.0007	0.1385	0.0778	0.1479	0.0983
'GATA2'	-0.1165	-0.1191	0.0267	0.0926	0.0449	0.3714	0.4987	0.4744	0.6866	0.4260	0.4733	1.0000	0.6475	0.6408	0.4646	0.4734	0.2786	0.2469	0.2160	0.2761	0.3115	0.2912	0.3600	0.2821	0.2247	0.2679	0.2494	0.0274	0.0922	0.0731	0.1605	0.0476	0.1878	0.1573	0.1458	0.1365
'E2A'	-0.1403	-0.1332	0.0085	0.0053	0.0348	0.5592	0.7311	0.7157	0.6343	0.6454	0.7442	0.6475	1.0000	0.8468	0.5931	0.6511	0.4140	0.3175	0.2915	0.3260	0.4229	0.4387	0.3827	0.3698	0.3144	0.3359	0.2866	0.0787	0.1848	0.1474	0.2050	0.0893	0.1824	0.1733	0.1926	0.1526
'LDB1'	-0.1346	-0.1367	0.0839	-0.0041	0.0191	0.5670	0.7004	0.6561	0.5726	0.6142	0.6799	0.6408	0.8468	1.0000	0.5446	0.6485	0.3649	0.3437	0.2699	0.3722	0.4309	0.4397	0.4291	0.4425	0.3925	0.4080	0.3296	0.0691	0.1633	0.1269	0.2216	0.0794	0.2446	0.1985	0.2721	0.2269
'STAT1P'	-0.2279	-0.2344	-0.0484	0.1351	0.1552	0.4059	0.4005	0.4201	0.4156	0.3120	0.3527	0.4646	0.5931	0.5446	1.0000	0.6346	0.7042	0.5072	0.3575	0.5006	0.4029	0.4106	0.4114	0.4706	0.3775	0.4564	0.4413	0.3235	0.4348	0.3914	0.3624	0.2536	0.2180	0.3383	0.2561	0.2502
'ETO2'	-0.2449	-0.2402	-0.0503	-0.0863	-0.0201	0.4785	0.5788	0.5238	0.4182	0.4130	0.4803	0.4734	0.6511	0.6485	0.6346	1.0000	0.6464	0.5856	0.3526	0.5897	0.4664	0.4000	0.3820	0.5716	0.4408	0.4942	0.4464	0.4240	0.5726	0.4588	0.3071	0.1370	0.1996	0.3660	0.3428	0.2300
'STAT3'	-0.2352	-0.2320	-0.1919	0.0684	0.0396	0.1990	0.2870	0.2360	0.1785	0.0914	0.1553	0.2786	0.4140	0.3649	0.7042	0.6464	1.0000	0.6288	0.3465	0.3911	0.3803	0.2660	0.2545	0.4542	0.3645	0.4271	0.3403	0.7222	0.7815	0.6975	0.3895	0.3199	0.1024	0.3952	0.3062	0.3042
'cMyc'	-0.1811	-0.1801	-0.0034	0.0196	-0.0009	0.2469	0.2827	0.2392	0.1840	0.1503	0.1797	0.2469	0.3175	0.3437	0.5072	0.5856	0.6288	1.0000	0.2786	0.3518	0.3254	0.2557	0.3037	0.6233	0.4017	0.4259	0.4298	0.5316	0.5693	0.4830	0.2924	0.2191	0.1828	0.3825	0.3560	0.3398
'PU.1'	-0.1635	-0.1543	-0.0715	-0.0195	0.0018	0.3610	0.2656	0.3140	0.3036	0.2375	0.2353	0.2160	0.2915	0.2699	0.3575	0.3526	0.3465	0.2786	1.0000	0.2493	0.3107	0.3378	0.1745	0.2856	0.2379	0.2208	0.2701	0.1978	0.2603	0.3102	0.1686	0.0843	0.0691	0.1552	0.1325	0.0958
'H2AacK5'	-0.2634	-0.2755	-0.0422	-0.0729	0.1372	0.2595	0.2645	0.2566	0.2258	0.1930	0.2112	0.2761	0.3260	0.3722	0.5006	0.5897	0.3911	0.3518	0.2493	1.0000	0.2528	0.2449	0.2774	0.3351	0.3292	0.3429	0.2819	0.1567	0.3709	0.2854	0.2511	0.0961	0.1376	0.2024	0.1622	0.0804
'GLI1b'	-0.1577	-0.1663	-0.0220	-0.0061	-0.0233	0.4502	0.4712	0.5331	0.4193	0.4303	0.4281	0.3115	0.4229	0.4309	0.4029	0.4664	0.3803	0.3254	0.3107	0.2528	1.0000	0.4514	0.2471	0.3824	0.3075	0.3130	0.2735	0.2009	0.2187	0.2982	0.2183	0.1127	0.1454	0.2084	0.2273	0.1329
'MEIS1'	-0.1244	-0.1305	0.0276	-0.0381	-0.0230	0.5700	0.4649	0.5656	0.4948	0.4791	0.4893	0.2912	0.4387	0.4397	0.4106	0.4000	0.2660	0.2557	0.3378	0.2449	0.4514	1.0000	0.2724	0.3845	0.2868	0.2929	0.2832	0.0681	0.1341	0.1641	0.1777	0.0692	0.1786	0.1430	0.2297	0.1314
'MYB'	-0.0650	-0.0722	0.1670	0.0908	0.0361	0.3112	0.3144	0.3361	0.2961	0.2895	0.2940	0.3600	0.3827	0.4291	0.4114	0.3820	0.2545	0.3037	0.1745	0.2774	0.2471	0.2724	1.0000	0.3608	0.2849	0.3435	0.3630	0.0551	0.1320	0.0691	0.1734	0.0693	0.2289	0.2344	0.2282	0.2678
'MAX'	-0.1736	-0.1742	0.1181	-0.0930	-0.0634	0.4338	0.3472	0.3806	0.2883	0.3097	0.3129	0.2821	0.3698	0.4425	0.4706	0.5716	0.4542	0.6233	0.2856	0.3351	0.3824	0.3845	0.3608	1.0000	0.4862	0.4555	0.4872	0.3457	0.3882	0.3214	0.2469	0.1542	0.2394	0.3410	0.4318	0.3550
'Cebpb'	-0.1467	-0.1562	0.1108	-0.0419	-0.0060	0.3152	0.2793	0.3171	0.2281	0.2519	0.2591	0.2247	0.3144	0.3925	0.3775	0.4408	0.3645	0.4017	0.2379	0.3292	0.3075	0.2868	0.2849	0.4862	1.0000	0.3671	0.3574	0.2402	0.2733	0.2273	0.2314	0.1350	0.1808	0.2513	0.3493	0.3330
'EGR1'	-0.1545	-0.1565	0.0995	0.0436	0.0355	0.2920	0.3120	0.2904	0.2276	0.2315	0.2356	0.2679	0.3359	0.4080	0.4564	0.4942	0.4271	0.4259	0.2208	0.3429	0.3130	0.2929	0.3435	0.4555	0.3671	1.0000	0.4079	0.2950	0.3185	0.2898	0.2688	0.1356	0.2562	0.2970	0.3349	0.2908
