#plotCorrelation --outFileCorMatrix
	'MAX'	'Cebpb'	'cFos'	'JUN'	'P52'	'H3K27me3'	'ETO2'	'EGR1'	'E2F4'	'ELF1'	'GLI1b'	'GATA2_r1'	'MEIS1'	'STAT3'	'CTCF'	'GATA2'	'RAD21'	'STAT1P'	'E2A'	'H2AacK5'	'H3K27ac'	'H3K36me3'	'H3K4me3'	'PU.1'	'H3acK9'	'NFIX_r1'	'NFIX_r2'	'MYB'	'SCL'	'NFE2'	'LDB1'	'cMyc'	'RUNX1'	'LYL1'	'FLI1'	'LMO2'
'MAX'	1.0	0.8	0.7	0.7	0.7	0.3	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.4	0.4	0.4	0.5	0.4	0.5	0.5	0.4	0.4	0.4	0.4	0.3	0.5	0.5	0.6	0.6	0.5	0.7	0.7	0.6	0.6	0.6	0.6
'Cebpb'	0.8	1.0	0.7	0.7	0.6	0.2	0.6	0.6	0.6	0.5	0.6	0.4	0.5	0.4	0.4	0.4	0.5	0.4	0.5	0.6	0.4	0.4	0.4	0.4	0.3	0.6	0.6	0.6	0.5	0.5	0.8	0.7	0.6	0.6	0.6	0.6
'cFos'	0.7	0.7	1.0	0.7	0.7	0.2	0.5	0.5	0.5	0.5	0.4	0.3	0.3	0.2	0.2	0.2	0.3	0.2	0.3	0.3	0.2	0.2	0.2	0.2	0.1	0.4	0.4	0.5	0.5	0.4	0.6	0.6	0.5	0.5	0.5	0.5
'JUN'	0.7	0.7	0.7	1.0	0.8	0.4	0.5	0.6	0.6	0.6	0.5	0.5	0.5	0.4	0.3	0.4	0.5	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.4	0.4	0.6	0.6	0.6	0.7	0.7	0.5	0.6	0.5	0.5
'P52'	0.7	0.6	0.7	0.8	1.0	0.4	0.5	0.6	0.5	0.6	0.5	0.5	0.4	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.3	0.3	0.2	0.3	0.2	0.4	0.4	0.6	0.6	0.6	0.6	0.6	0.5	0.6	0.5	0.6
'H3K27me3'	0.3	0.2	0.2	0.4	0.4	1.0	0.4	0.6	0.6	0.6	0.5	0.6	0.5	0.6	0.6	0.7	0.6	0.7	0.6	0.4	0.4	0.4	0.5	0.5	0.5	0.3	0.3	0.5	0.5	0.6	0.3	0.4	0.3	0.4	0.4	0.4
'ETO2'	0.6	0.6	0.5	0.5	0.5	0.4	1.0	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.8	0.8	0.7	0.7	0.6	0.7	0.6	0.7	0.6	0.6	0.6	0.6	0.7	0.7	0.6	0.6	0.7	0.7
'EGR1'	0.6	0.6	0.5	0.6	0.6	0.6	0.7	1.0	0.8	0.8	0.8	0.8	0.7	0.7	0.7	0.8	0.8	0.8	0.8	0.7	0.7	0.7	0.6	0.7	0.6	0.6	0.6	0.7	0.7	0.7	0.7	0.7	0.6	0.7	0.7	0.7
'E2F4'	0.6	0.6	0.5	0.6	0.5	0.6	0.7	0.8	1.0	0.8	0.8	0.8	0.7	0.8	0.7	0.8	0.8	0.8	0.8	0.7	0.7	0.7	0.7	0.7	0.7	0.6	0.6	0.8	0.7	0.7	0.7	0.7	0.6	0.7	0.7	0.7
'ELF1'	0.6	0.5	0.5	0.6	0.6	0.6	0.7	0.8	0.8	1.0	0.8	0.8	0.7	0.8	0.7	0.8	0.8	0.8	0.8	0.6	0.6	0.7	0.6	0.7	0.7	0.6	0.5	0.7	0.7	0.8	0.7	0.7	0.6	0.7	0.7	0.7
'GLI1b'	0.6	0.6	0.4	0.5	0.5	0.5	0.7	0.8	0.8	0.8	1.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.7	0.7	0.7	0.7	0.6	0.6	0.8	0.7	0.7	0.7	0.7	0.7	0.7	0.8
'GATA2_r1'	0.5	0.4	0.3	0.5	0.5	0.6	0.7	0.8	0.8	0.8	0.8	1.0	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.7	0.7	0.7	0.7	0.8	0.8	0.6	0.5	0.6	0.8	0.7	0.6	0.6	0.6	0.7	0.7	0.8
'MEIS1'	0.5	0.5	0.3	0.5	0.4	0.5	0.7	0.7	0.7	0.7	0.8	0.8	1.0	0.8	0.7	0.8	0.8	0.8	0.8	0.7	0.7	0.7	0.7	0.7	0.7	0.6	0.6	0.6	0.7	0.7	0.6	0.6	0.6	0.7	0.7	0.7
'STAT3'	0.4	0.4	0.2	0.4	0.3	0.6	0.7	0.7	0.8	0.8	0.8	0.8	0.8	1.0	0.9	0.9	0.9	0.9	0.9	0.8	0.8	0.8	0.8	0.8	0.9	0.6	0.6	0.6	0.7	0.7	0.6	0.6	0.5	0.6	0.6	0.7
'CTCF'	0.4	0.4	0.2	0.3	0.3	0.6	0.7	0.7	0.7	0.7	0.8	0.8	0.7	0.9	1.0	0.8	0.9	0.9	0.9	0.8	0.8	0.8	0.8	0.8	0.8	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.5	0.6	0.6	0.6
'GATA2'	0.4	0.4	0.2	0.4	0.4	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.8	1.0	0.9	0.9	0.9	0.7	0.8	0.8	0.7	0.8	0.8	0.6	0.5	0.7	0.7	0.8	0.6	0.6	0.5	0.6	0.6	0.7
'RAD21'	0.5	0.5	0.3	0.5	0.4	0.6	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	1.0	0.9	0.9	0.8	0.8	0.8	0.7	0.8	0.8	0.7	0.6	0.7	0.7	0.7	0.7	0.7	0.6	0.6	0.7	0.7
'STAT1P'	0.4	0.4	0.2	0.4	0.4	0.7	0.7	0.8	0.8	0.8	0.8	0.9	0.8	0.9	0.9	0.9	0.9	1.0	1.0	0.8	0.8	0.8	0.8	0.8	0.9	0.7	0.6	0.7	0.7	0.7	0.6	0.6	0.6	0.6	0.7	0.7
'E2A'	0.5	0.5	0.3	0.4	0.4	0.6	0.8	0.8	0.8	0.8	0.8	0.9	0.8	0.9	0.9	0.9	0.9	1.0	1.0	0.8	0.9	0.9	0.8	0.8	0.9	0.7	0.6	0.7	0.7	0.7	0.7	0.6	0.6	0.7	0.7	0.7
'H2AacK5'	0.5	0.6	0.3	0.4	0.4	0.4	0.8	0.7	0.7	0.6	0.8	0.7	0.7	0.8	0.8	0.7	0.8	0.8	0.8	1.0	0.9	0.8	0.7	0.7	0.7	0.8	0.7	0.5	0.6	0.6	0.7	0.6	0.7	0.6	0.7	0.7
'H3K27ac'	0.4	0.4	0.2	0.3	0.3	0.4	0.7	0.7	0.7	0.6	0.8	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.9	0.9	1.0	0.9	0.8	0.8	0.8	0.7	0.6	0.5	0.6	0.6	0.6	0.5	0.6	0.6	0.6	0.6
'H3K36me3'	0.4	0.4	0.2	0.3	0.3	0.4	0.7	0.7	0.7	0.7	0.8	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.9	0.8	0.9	1.0	0.7	0.7	0.8	0.7	0.6	0.5	0.6	0.6	0.6	0.5	0.6	0.6	0.6	0.7
'H3K4me3'	0.4	0.4	0.2	0.3	0.2	0.5	0.6	0.6	0.7	0.6	0.7	0.7	0.7	0.8	0.8	0.7	0.7	0.8	0.8	0.7	0.8	0.7	1.0	0.7	0.8	0.6	0.6	0.5	0.6	0.6	0.5	0.5	0.5	0.5	0.6	0.6
'PU.1'	0.4	0.4	0.2	0.3	0.3	0.5	0.7	0.7	0.7	0.7	0.7	0.8	0.7	0.8	0.8	0.8	0.8	0.8	0.8	0.7	0.8	0.7	0.7	1.0	0.8	0.6	0.5	0.5	0.6	0.6	0.5	0.5	0.5	0.6	0.6	0.6
'H3acK9'	0.3	0.3	0.1	0.3	0.2	0.5	0.6	0.6	0.7	0.7	0.7	0.8	0.7	0.9	0.8	0.8	0.8	0.9	0.9	0.7	0.8	0.8	0.8	0.8	1.0	0.6	0.6	0.5	0.6	0.6	0.5	0.5	0.5	0.5	0.6	0.6
'NFIX_r1'	0.5	0.6	0.4	0.4	0.4	0.3	0.7	0.6	0.6	0.6	0.7	0.6	0.6	0.6	0.7	0.6	0.7	0.7	0.7	0.8	0.7	0.7	0.6	0.6	0.6	1.0	0.8	0.5	0.5	0.5	0.6	0.5	0.6	0.5	0.6	0.6
'NFIX_r2'	0.5	0.6	0.4	0.4	0.4	0.3	0.6	0.6	0.6	0.5	0.6	0.5	0.6	0.6	0.6	0.5	0.6	0.6	0.6	0.7	0.6	0.6	0.6	0.5	0.6	0.8	1.0	0.4	0.5	0.5	0.6	0.5	0.6	0.5	0.6	0.6
'MYB'	0.6	0.6	0.5	0.6	0.6	0.5	0.6	0.7	0.8	0.7	0.6	0.6	0.6	0.6	0.6	0.7	0.7	0.7	0.7	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	1.0	0.6	0.7	0.7	0.7	0.5	0.6	0.6	0.6
'SCL'	0.6	0.5	0.5	0.6	0.6	0.5	0.6	0.7	0.7	0.7	0.8	0.8	0.7	0.7	0.6	0.7	0.7	0.7	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.6	1.0	0.7	0.6	0.6	0.6	0.7	0.7	0.7
