#plotCorrelation --outFileCorMatrix
	'NFIX_r1'	'NFIX_r2'	'RUNX1'	'FLI1'	'SCL'	'GLI1b'	'MEIS1'	'MAX'	'Cebpb'	'LDB1'	'E2F4'	'cMyc'	'EGR1'	'ELF1'	'GATA2'	'STAT1P'	'E2A'	'RAD21'	'STAT3'	'CTCF'	'H3K27ac'	'H3acK9'	'H3K4me3'	'PU.1'	'ETO2'	'H2AacK5'	'cFos'	'JUN'	'MYB'	'NFE2'	'H3K36me3'	'LYL1'	'GATA2_r1'	'LMO2'	'H3K27me3'	'P52'
'NFIX_r1'	1.0000	0.7772	-0.2501	-0.2726	-0.2365	-0.2920	-0.2548	-0.2481	-0.2417	-0.2557	-0.2510	-0.2474	-0.2202	-0.1773	-0.2162	-0.3510	-0.3746	-0.3353	-0.3863	-0.3704	-0.4497	-0.3950	-0.4160	-0.3666	-0.3803	-0.4053	-0.0889	-0.0193	-0.0842	-0.0565	-0.2018	-0.0850	-0.1570	-0.1737	0.0402	0.1519
'NFIX_r2'	0.7772	1.0000	-0.2638	-0.2913	-0.2244	-0.3128	-0.2701	-0.2631	-0.2555	-0.2744	-0.2648	-0.2658	-0.2250	-0.1816	-0.2295	-0.3702	-0.3923	-0.3555	-0.4101	-0.3990	-0.4777	-0.4110	-0.4359	-0.3742	-0.3991	-0.4424	-0.1028	-0.0254	-0.0868	-0.0707	-0.2182	-0.0951	-0.1759	-0.1914	0.0282	0.1518
'RUNX1'	-0.2501	-0.2638	1.0000	0.5625	0.4567	0.5133	0.4806	0.4326	0.3859	0.4238	0.3313	0.3656	0.3549	0.3358	0.3080	0.4299	0.5045	0.3986	0.4041	0.3915	0.4633	0.3808	0.4265	0.4499	0.4841	0.4453	0.2499	0.1550	0.2348	0.1565	0.1851	0.4062	0.4264	0.5086	-0.0613	0.0517
'FLI1'	-0.2726	-0.2913	0.5625	1.0000	0.4869	0.5333	0.5258	0.4910	0.3938	0.4567	0.3893	0.3889	0.3933	0.4455	0.3334	0.4709	0.5454	0.4362	0.4287	0.4110	0.4876	0.3842	0.4468	0.5022	0.5206	0.4898	0.2695	0.1608	0.2748	0.2052	0.1920	0.4845	0.4967	0.5709	-0.0443	0.0979
'SCL'	-0.2365	-0.2244	0.4567	0.4869	1.0000	0.5339	0.4883	0.4014	0.3465	0.3994	0.3862	0.4081	0.3713	0.3516	0.3685	0.4594	0.5101	0.4269	0.4614	0.3902	0.4712	0.4348	0.4434	0.4596	0.4853	0.4057	0.2602	0.1784	0.2455	0.1776	0.1819	0.3627	0.4401	0.4377	0.0655	0.0037
'GLI1b'	-0.2920	-0.3128	0.5133	0.5333	0.5339	1.0000	0.5566	0.4515	0.3972	0.4472	0.4630	0.4496	0.4194	0.3782	0.4289	0.5751	0.6090	0.5545	0.5929	0.5522	0.5933	0.5619	0.5673	0.5685	0.5650	0.5123	0.2710	0.1754	0.2614	0.1906	0.2485	0.3603	0.4706	0.4546	0.1053	-0.0367
'MEIS1'	-0.2548	-0.2701	0.4806	0.5258	0.4883	0.5566	1.0000	0.4066	0.3459	0.4269	0.4099	0.4025	0.3772	0.3733	0.4053	0.5452	0.5904	0.4964	0.5335	0.4875	0.5443	0.5074	0.4984	0.5432	0.5150	0.4773	0.2294	0.1556	0.2631	0.2065	0.2276	0.3626	0.4513	0.4478	0.0963	-0.0162
'MAX'	-0.2481	-0.2631	0.4326	0.4910	0.4014	0.4515	0.4066	1.0000	0.5479	0.5176	0.5008	0.5548	0.4916	0.4790	0.3064	0.4541	0.4880	0.4846	0.4459	0.4185	0.4842	0.3755	0.4936	0.4180	0.5590	0.4407	0.4644	0.3675	0.3409	0.2426	0.1155	0.2770	0.2506	0.3714	-0.0383	0.1736
'Cebpb'	-0.2417	-0.2555	0.3859	0.3938	0.3465	0.3972	0.3459	0.5479	1.0000	0.5117	0.4568	0.5068	0.4484	0.4070	0.3014	0.4350	0.4710	0.4651	0.4368	0.4057	0.4824	0.3627	0.4599	0.3858	0.5143	0.4679	0.4374	0.3702	0.2976	0.2113	0.1814	0.2199	0.2217	0.2934	-0.0210	0.1449
'LDB1'	-0.2557	-0.2744	0.4238	0.4567	0.3994	0.4472	0.4269	0.5176	0.5117	1.0000	0.4958	0.4955	0.4788	0.4502	0.4760	0.5569	0.6137	0.5475	0.5282	0.4836	0.5396	0.4211	0.4728	0.4386	0.5668	0.5587	0.3648	0.3173	0.3661	0.2771	0.2582	0.2917	0.3191	0.3747	0.0944	0.1294
'E2F4'	-0.2510	-0.2648	0.3313	0.3893	0.3862	0.4630	0.4099	0.5008	0.4568	0.4958	1.0000	0.5277	0.5007	0.5211	0.5108	0.6300	0.6251	0.5963	0.6046	0.5630	0.5601	0.4983	0.5279	0.4595	0.5708	0.4943	0.3493	0.3137	0.4049	0.2815	0.2785	0.2151	0.3004	0.2901	0.2421	0.0876
'cMyc'	-0.2474	-0.2658	0.3656	0.3889	0.4081	0.4496	0.4025	0.5548	0.5068	0.4955	0.5277	1.0000	0.4677	0.4564	0.4032	0.5513	0.5516	0.5562	0.5662	0.5032	0.5560	0.4852	0.5331	0.4614	0.5714	0.4704	0.3983	0.3543	0.3427	0.2559	0.2109	0.1773	0.2351	0.2738	0.1302	0.0603
'EGR1'	-0.2202	-0.2250	0.3549	0.3933	0.3713	0.4194	0.3772	0.4916	0.4484	0.4788	0.5007	0.4677	1.0000	0.4803	0.4023	0.5226	0.5394	0.5021	0.4885	0.4618	0.4835	0.3977	0.4541	0.3997	0.5177	0.4563	0.3430	0.3076	0.3486	0.2823	0.2196	0.2306	0.2672	0.3000	0.1336	0.1428
'ELF1'	-0.1773	-0.1816	0.3358	0.4455	0.3516	0.3782	0.3733	0.4790	0.4070	0.4502	0.5211	0.4564	0.4803	1.0000	0.4455	0.5226	0.5289	0.4501	0.4457	0.4022	0.4172	0.3270	0.3849	0.3847	0.4699	0.4101	0.3211	0.3254	0.4167	0.3293	0.2151	0.2855	0.3333	0.3534	0.1868	0.2460
'GATA2'	-0.2162	-0.2295	0.3080	0.3334	0.3685	0.4289	0.4053	0.3064	0.3014	0.4760	0.5108	0.4032	0.4023	0.4455	1.0000	0.6544	0.6797	0.5804	0.5968	0.5483	0.5228	0.4615	0.4370	0.4472	0.4852	0.5122	0.1850	0.1846	0.3814	0.3060	0.3626	0.2503	0.4389	0.3113	0.4002	0.0271
'STAT1P'	-0.3510	-0.3702	0.4299	0.4709	0.4594	0.5751	0.5452	0.4541	0.4350	0.5569	0.6300	0.5513	0.5226	0.5226	0.6544	1.0000	0.8651	0.7371	0.8395	0.7679	0.7836	0.7052	0.6946	0.6490	0.6658	0.6629	0.2525	0.2417	0.3786	0.2966	0.4780	0.2396	0.4196	0.3636	0.3453	-0.0795
'E2A'	-0.3746	-0.3923	0.5045	0.5454	0.5101	0.6090	0.5904	0.4880	0.4710	0.6137	0.6251	0.5516	0.5394	0.5289	0.6797	0.8651	1.0000	0.7382	0.8286	0.7619	0.8060	0.6958	0.7030	0.6668	0.7026	0.7066	0.2676	0.2302	0.3862	0.3047	0.4855	0.3186	0.4790	0.4531	0.2769	-0.0626
'RAD21'	-0.3353	-0.3555	0.3986	0.4362	0.4269	0.5545	0.4964	0.4846	0.4651	0.5475	0.5963	0.5562	0.5021	0.4501	0.5804	0.7371	0.7382	1.0000	0.7531	0.7886	0.7160	0.6499	0.6639	0.6007	0.6496	0.6412	0.2827	0.2188	0.3415	0.2586	0.3532	0.2043	0.3468	0.3202	0.2581	-0.0901
'STAT3'	-0.3863	-0.4101	0.4041	0.4287	0.4614	0.5929	0.5335	0.4459	0.4368	0.5282	0.6046	0.5662	0.4885	0.4457	0.5968	0.8395	0.8286	0.7531	1.0000	0.8045	0.8382	0.7759	0.7726	0.6852	0.6929	0.6590	0.2547	0.2045	0.3142	0.2424	0.4370	0.1616	0.3497	0.2975	0.3022	-0.1978
'CTCF'	-0.3704	-0.3990	0.3915	0.4110	0.3902	0.5522	0.4875	0.4185	0.4057	0.4836	0.5630	0.5032	0.4618	0.4022	0.5483	0.7679	0.7619	0.7886	0.8045	1.0000	0.7772	0.7246	0.7172	0.6258	0.6296	0.6361	0.2313	0.1621	0.2820	0.2287	0.4365	0.1590	0.3372	0.2891	0.2793	-0.1802
'H3K27ac'	-0.4497	-0.4777	0.4633	0.4876	0.4712	0.5933	0.5443	0.4842	0.4824	0.5396	0.5601	0.5560	0.4835	0.4172	0.5228	0.7836	0.8060	0.7160	0.8382	0.7772	1.0000	0.8106	0.8231	0.7032	0.7469	0.7810	0.2615	0.1720	0.2690	0.1995	0.5226	0.1838	0.3531	0.3416	0.0767	-0.2065
'H3acK9'	-0.3950	-0.4110	0.3808	0.3842	0.4348	0.5619	0.5074	0.3755	0.3627	0.4211	0.4983	0.4852	0.3977	0.3270	0.4615	0.7052	0.6958	0.6499	0.7759	0.7246	0.8106	1.0000	0.7686	0.6709	0.6202	0.6148	0.1903	0.1168	0.2013	0.1580	0.4142	0.1401	0.3331	0.2689	0.1904	-0.2621
'H3K4me3'	-0.4160	-0.4359	0.4265	0.4468	0.4434	0.5673	0.4984	0.4936	0.4599	0.4728	0.5279	0.5331	0.4541	0.3849	0.4370	0.6946	0.7030	0.6639	0.7726	0.7172	0.8231	0.7686	1.0000	0.6475	0.6800	0.6195	0.2760	0.1814	0.2334	0.1680	0.3459	0.1573	0.2888	0.2978	0.1016	-0.2004
'PU.1'	-0.3666	-0.3742	0.4499	0.5022	0.4596	0.5685	0.5432	0.4180	0.3858	0.4386	0.4595	0.4614	0.3997	0.3847	0.4472	0.6490	0.6668	0.6007	0.6852	0.6258	0.7032	0.6709	0.6475	1.0000	0.6005	0.5741	0.2124	0.1231	0.2245	0.1741	0.3111	0.2416	0.3917	0.3668	0.1370	-0.1629
'ETO2'	-0.3803	-0.3991	0.4841	0.5206	0.4853	0.5650	0.5150	0.5590	0.5143	0.5668	0.5708	0.5714	0.5177	0.4699	0.4852	0.6658	0.7026	0.6496	0.6929	0.6296	0.7469	0.6202	0.6800	0.6005	1.0000	0.6866	0.3432	0.2231	0.3332	0.2246	0.2904	0.2575	0.3494	0.3886	0.0507	-0.0496
'H2AacK5'	-0.4053	-0.4424	0.4453	0.4898	0.4057	0.5123	0.4773	0.4407	0.4679	0.5587	0.4943	0.4704	0.4563	0.4101	0.5122	0.6629	0.7066	0.6412	0.6590	0.6361	0.7810	0.6148	0.6195	0.5741	0.6866	1.0000	0.2306	0.1352	0.2894	0.2258	0.5021	0.2538	0.3806	0.3874	0.0528	-0.0413
'cFos'	-0.0889	-0.1028	0.2499	0.2695	0.2602	0.2710	0.2294	0.4644	0.4374	0.3648	0.3493	0.3983	0.3430	0.3211	0.1850	0.2525	0.2676	0.2827	0.2547	0.2313	0.2615	0.1903	0.2760	0.2124	0.3432	0.2306	1.0000	0.3716	0.2494	0.2143	0.0076	0.1405	0.1085	0.1799	0.0011	0.1953
'JUN'	-0.0193	-0.0254	0.1550	0.1608	0.1784	0.1754	0.1556	0.3675	0.3702	0.3173	0.3137	0.3543	0.3076	0.3254	0.1846	0.2417	0.2302	0.2188	0.2045	0.1621	0.1720	0.1168	0.1814	0.1231	0.2231	0.1352	0.3716	1.0000	0.2692	0.2177	0.0443	0.1060	0.0941	0.1060	0.1179	0.2622
'MYB'	-0.0842	-0.0868	0.2348	0.2748	0.2455	0.2614	0.2631	0.3409	0.2976	0.3661	0.4049	0.3427	0.3486	0.4167	0.3814	0.3786	0.3862	0.3415	0.3142	0.2820	0.2690	0.2013	0.2334	0.2245	0.3332	0.2894	0.2494	0.2692	1.0000	0.2431	0.1612	0.2168	0.2366	0.2391	0.1822	0.2208
'NFE2'	-0.0565	-0.0707	0.1565	0.2052	0.1776	0.1906	0.2065	0.2426	0.2113	0.2771	0.2815	0.2559	0.2823	0.3293	0.3060	0.2966	0.3047	0.2586	0.2424	0.2287	0.1995	0.1580	0.1680	0.1741	0.2246	0.2258	0.2143	0.2177	0.2431	1.0000	0.1462	0.1838	0.2193	0.1915	0.1998	0.1979
