,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Kmt2a,0.0005386130168048,0.204452710747593,0.824,0.746,1.0,0.0005702961354403
Uqcc2,8.19166504667024e-10,-0.275658238950564,0.878,0.898,2.54375774694251e-05,3.2766660186681e-09
Sec61g,6.91600402006866e-06,-0.214298752431513,0.949,0.97,0.214762672835192,9.39532621594233e-06
Prtn3,2.5677557112673e-09,-0.433477268985452,0.359,0.525,7.97365181019835e-05,8.03819179179329e-09
Malat1,0.0011673289078325,0.273828092116309,0.992,0.998,1.0,0.0011837701600555
Icam4,4.43199814936405e-05,-0.243036087083653,0.649,0.694,1.0,5.5017908061071e-05
Cks2,0.0002549048791918,-0.208509251649216,0.944,0.968,1.0,0.000282356173874
Cox7c,8.71602464010424e-08,-0.231061884945432,0.98,0.983,0.0027065871314915,2.04162849358921e-07
Snrpf,1.4133360075788901e-09,-0.235662144780831,0.969,0.985,4.38883230433473e-05,4.7356231188079505e-09
H2-Q7,1.76804625407855e-07,0.312533878126296,0.919,0.898,0.0054903140327901,3.53609250815709e-07
Uqcrq,7.30709071300779e-12,-0.293506996339865,0.941,0.955,2.26907087911031e-07,4.0470040872043096e-11
Birc5,7.58037417786416e-05,-0.255271597736688,0.601,0.729,1.0,9.096449013437e-05
Rpl36al,4.5278224015437194e-11,-0.286980991518112,0.893,0.933,1.40602469035137e-06,2.17335475274098e-10
Mif,8.82177590220231e-07,-0.201560430538156,0.972,0.983,0.0273942607091088,1.51230444037754e-06
H2-K1,1.73556895712676e-06,0.203336283728358,0.992,0.993,0.0538946228256572,2.65874393432184e-06
Rpl35a,1.08068040040176e-26,-0.233299823619221,0.995,1.0,3.3558368473675897e-22,1.2968164804821101e-25
Atp5k,2.3027182477223e-06,-0.214403228931747,0.883,0.905,0.0715063097465207,3.45407737158345e-06
Atp5l,9.898688410619039e-11,-0.253822724294808,0.975,0.988,3.07383971214953e-06,4.45440978477857e-10
Cox5b,2.7288363444846e-07,-0.21513501065483,0.977,0.988,0.008473855500528,5.17042675797082e-07
H2-Q6,8.537463815839221e-09,0.302453137148482,0.522,0.323,0.0002651138638732,2.51976215182522e-08
Lars2,2.48987662025583e-05,0.244110480251646,0.743,0.632,0.773181386888044,3.20126994032893e-05
Plac8,6.7651547879582905e-15,0.871268299201069,0.83,0.689,2.10078351630469e-10,4.87091144732997e-14
Cox8a,4.24910410339606e-11,-0.210284490846413,0.992,0.995,1.31947429722758e-06,2.17335475274098e-10
Uqcr10,2.10165074543198e-08,-0.231520122268632,0.929,0.948,0.0006526256059789,5.40424477396796e-08
Sphk1,0.00084662933516,0.22038061093187,0.491,0.396,1.0,0.0008834393062539
Uqcr11,1.61655159574747e-13,-0.322639079538652,0.949,0.97,5.019877670274621e-09,1.05810649903471e-12
Rbm3,5.59004739072995e-10,-0.201970697275065,0.987,0.998,1.73587741624337e-05,2.36754948313268e-09
Fdps,0.0001270639734357,0.202147229650456,0.45,0.331,1.0,0.0001477722728011
Nipbl,0.000404836995188,0.20915976139997,0.87,0.796,1.0,0.0004350487112469
Alad,1.90736096416026e-30,-0.590506847042481,0.888,0.94,5.92292800200686e-26,3.43324973548847e-29
