,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
S100a11,8.53478283463939e-08,-0.234463773746862,0.84,0.839,0.0026503061136405,1.13085872558972e-07
Clec12a,5.83609231983162e-06,-0.237916854474789,0.536,0.573,0.181228174807731,7.02983847616082e-06
Sec61g,3.04671610412627e-16,-0.238863348891098,0.911,0.915,9.46096751814331e-12,7.08866710032587e-16
Cks2,1.57299655483878e-06,-0.217513360887796,0.787,0.803,0.0488462620174087,1.93880970712687e-06
Rps28,1.8748678656734102e-47,-0.206788748489473,0.996,0.998,5.82202718327565e-43,9.03345426188099e-47
Snrpf,1.2800122217957e-13,-0.208975157232933,0.925,0.938,3.9748219523422e-09,2.42288027697044e-13
Cox7a2,2.30280795866441e-12,-0.212017191705926,0.869,0.885,7.15090955404059e-08,4.06829406030713e-12
Slpi,6.95129382171663e-06,-0.310815848076438,0.429,0.5,0.215858527045767,8.18707939002181e-06
Wdfy1,3.61070442518779e-30,0.246433206586142,0.371,0.159,1.1212320451535702e-25,1.47205641949964e-29
H2-K1,2.47865365279363e-16,0.245070995878243,0.995,0.99,7.69696318802006e-12,6.25564969514583e-16
Rpl35a,2.3595721834209403e-67,-0.239136910599634,0.996,0.998,7.32717950117705e-63,4.16857752404366e-66
Lgals1,2.69060001564971e-27,-0.429863032010206,0.744,0.868,8.35512022859706e-23,1.01858429163882e-26
S100a8,0.0010297036742934,0.815845518403826,0.077,0.115,1.0,0.0010700842105402
Lcn2,6.92938462642249e-10,0.388554624682027,0.248,0.146,2.15178180804297e-05,1.04930681485826e-09
Ctla2a,1.05315150776562e-05,0.21783354186773,0.659,0.555,0.327035137706457,1.21341369372995e-05
Prss57,2.53216282702574e-05,-0.228241015045239,0.525,0.561,0.786312522676302,2.79592978817425e-05
Pim1,2.7471949934551897e-11,0.267329072751909,0.785,0.663,8.5308646131764e-07,4.5500417079101595e-11
Trim12a,1.20197638176661e-84,0.405101490668781,0.281,0.006,3.73249725829986e-80,3.1852374116815197e-83
Lars2,3.0762140246697197e-16,0.2540552962046,0.704,0.532,9.55256741080688e-12,7.08866710032587e-16
Jun,2.4449340345103797e-16,0.314832198954512,0.258,0.128,7.5922536573651e-12,6.25564969514583e-16
Elane,1.964670640466e-07,-0.249203438027376,0.595,0.698,0.006100891739839,2.53969619377313e-07
Atpif1,3.26713684605175e-16,-0.20716860990079,0.963,0.966,1.01454400480445e-11,7.21492720169762e-16
Cd52,4.3582575524086e-08,-0.207307666979162,0.591,0.64,0.0013533697177494,5.92276026352964e-08
