"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Echdc2"	2.49214154158564e-90	-0.62919531231221	0.009	0.326	7.73884712908588e-86	1.32083501704039e-88
"Trim12a"	1.20197638176661e-84	0.405101490668781	0.281	0.006	3.73249725829986e-80	3.18523741168152e-83
"Rpl35a"	2.35957218342094e-67	-0.239136910599634	0.996	0.998	7.32717950117705e-63	4.16857752404366e-66
"Gm42418"	5.06531743544018e-62	0.578867485717128	0.997	0.997	1.57293302322724e-57	6.71154560195824e-61
"Rps29"	3.37596256862274e-59	-0.201460799522815	0.999	0.998	1.04833765643442e-54	3.5785203227401e-58
"Rps15a"	1.40817845644747e-57	-0.209429714672911	0.996	0.996	4.37281656080633e-53	1.24389096986193e-56
"Gm47283"	5.65177260145333e-56	-0.522276702550249	0.209	0.49	1.7550449459293e-51	4.27919925538609e-55
"Rpl39"	3.39523437637315e-51	-0.225644143489989	0.996	0.998	1.05432213089515e-46	2.24934277434721e-50
"Rpl41"	4.23032302372407e-50	-0.212570169335051	0.996	0.999	1.31364220855703e-45	2.49119022508195e-49
"Rpl34"	9.82428536831305e-48	-0.201831500614213	0.996	0.998	3.05073533542225e-43	5.20687124520592e-47
"Rps28"	1.87486786567341e-47	-0.206788748489473	0.996	0.998	5.82202718327565e-43	9.03345426188099e-47
"Tspan32"	6.96915069952619e-38	0.427732330416012	0.755	0.506	2.16413036672387e-33	3.0780415589574e-37
"Wdfy1"	3.61070442518779e-30	0.246433206586142	0.371	0.159	1.12123204515357e-25	1.47205641949964e-29
"Lgals1"	2.69060001564971e-27	-0.429863032010206	0.744	0.868	8.35512022859706e-23	1.01858429163882e-26
"Atp5e"	3.33507119061439e-25	-0.2630635800732	0.964	0.963	1.03563965682149e-20	1.17839182068375e-24
"H2-Q7"	5.67278433426966e-20	0.36288568188012	0.787	0.633	1.76156971932076e-15	1.87910981072682e-19
"Sem1"	2.47503446326166e-18	-0.253552111776316	0.928	0.926	7.68572451876644e-14	7.71628391487459e-18
"Erh"	8.17714020712554e-18	0.257137648268532	0.825	0.762	2.53924734851869e-13	2.40771350543141e-17
"Ndrg1"	9.84003223107158e-17	0.247722549654522	0.318	0.171	3.05562520871466e-12	2.74485109603576e-16
"Jun"	2.44493403451038e-16	0.314832198954512	0.258	0.128	7.5922536573651e-12	6.25564969514583e-16
"H2-K1"	2.47865365279363e-16	0.245070995878243	0.995	0.99	7.69696318802006e-12	6.25564969514583e-16
"Sec61g"	3.04671610412627e-16	-0.238863348891098	0.911	0.915	9.46096751814331e-12	7.08866710032587e-16
"Lars2"	3.07621402466972e-16	0.2540552962046	0.704	0.532	9.55256741080688e-12	7.08866710032587e-16
"Atpif1"	3.26713684605175e-16	-0.20716860990079	0.963	0.966	1.01454400480445e-11	7.21492720169762e-16
"Cox6c"	5.16688598012592e-16	-0.210575450098441	0.931	0.95	1.6044731034085e-11	1.0953798277867e-15
"Jund"	1.31123667163333e-14	0.286287653208065	0.451	0.297	4.07178323642299e-10	2.67290552294487e-14
"Sec61b"	9.83980983954818e-14	-0.203990515351477	0.963	0.96	3.0555561494749e-09	1.93151822776316e-13
