"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Gm42418"	1.26288538141922e-43	0.42367688364301	1	1	3.92163797492109e-39	9.09277474621836e-42
"Echdc2"	2.59111384188478e-33	-0.384723246882046	0.008	0.331	8.0461858132048e-29	8.93901712788721e-32
"Gm47283"	3.72459046995301e-33	-0.625781672988491	0.295	0.652	1.15659707863451e-28	8.93901712788721e-32
"Alad"	1.90736096416026e-30	-0.590506847042481	0.888	0.94	5.92292800200686e-26	3.43324973548847e-29
"Rpl41"	5.74311262616789e-30	-0.276172724644702	0.997	1	1.78340876380391e-25	8.27008218168176e-29
"Rpl35a"	1.08068040040176e-26	-0.233299823619221	0.995	1	3.35583684736759e-22	1.29681648048211e-25
"Trim12a"	1.20695120529804e-22	0.274387602948787	0.221	0.002	3.74794557781202e-18	1.24143552544942e-21
"Lgals1"	3.70897830638594e-19	-0.832467281578651	0.433	0.682	1.15174903348203e-14	3.33808047574734e-18
"Atp5e"	2.74597304565277e-16	-0.299089599449805	0.982	0.985	8.52707009866554e-12	2.19677843652222e-15
"Plac8"	6.76515478795829e-15	0.871268299201069	0.83	0.689	2.10078351630469e-10	4.87091144732997e-14
"Uqcr11"	1.61655159574747e-13	-0.322639079538652	0.949	0.97	5.01987767027462e-09	1.05810649903471e-12
"mt-Co3"	2.97101738108546e-12	0.222237225295297	0.997	0.998	9.22590027348469e-08	1.78261042865128e-11
"Uqcrq"	7.30709071300779e-12	-0.293506996339865	0.941	0.955	2.26907087911031e-07	4.04700408720431e-11
"Cox8a"	4.24910410339606e-11	-0.210284490846413	0.992	0.995	1.31947429722758e-06	2.17335475274098e-10
"Rpl36al"	4.52782240154372e-11	-0.286980991518112	0.893	0.933	1.40602469035137e-06	2.17335475274098e-10
"Atp5l"	9.89868841061904e-11	-0.253822724294808	0.975	0.988	3.07383971214953e-06	4.45440978477857e-10
"Rbm3"	5.59004739072995e-10	-0.201970697275065	0.987	0.998	1.73587741624337e-05	2.36754948313268e-09
"Uqcc2"	8.19166504667024e-10	-0.275658238950564	0.878	0.898	2.54375774694251e-05	3.2766660186681e-09
"2010107E04Rik"	9.85492510674521e-10	-0.28225624880914	0.903	0.925	3.06024989339759e-05	3.72068690443471e-09
"Nop10"	1.03352414012075e-09	-0.226256303348753	0.975	0.983	3.20940251231697e-05	3.72068690443471e-09
"Snrpf"	1.41333600757889e-09	-0.235662144780831	0.969	0.985	4.38883230433473e-05	4.73562311880795e-09
"Mt1"	1.44699595296909e-09	-0.320578290803701	0.939	0.958	4.49335653275493e-05	4.73562311880795e-09
"Prtn3"	2.5677557112673e-09	-0.433477268985452	0.359	0.525	7.97365181019835e-05	8.03819179179329e-09
"H2-Q6"	8.53746381583922e-09	0.302453137148482	0.522	0.323	0.000265113863873255	2.51976215182522e-08
"Erh"	8.74917413828201e-09	0.270837928682123	0.924	0.876	0.000271688104516071	2.51976215182522e-08
"Elob"	1.04970699623354e-08	-0.254056065010849	0.954	0.965	0.000325965513540401	2.90688091264672e-08
"Myb"	1.10871899282922e-08	0.265953889356918	0.995	0.985	0.000344290508843256	2.95658398087791e-08
"Uqcr10"	2.10165074543198e-08	-0.231520122268632	0.929	0.948	0.000652625605978994	5.40424477396796e-08
"Kcnq1ot1"	8.68306819435161e-08	0.315633479067821	0.967	0.928	0.00269635316639201	2.04162849358921e-07
"Cox7c"	8.71602464010424e-08	-0.231061884945432	0.98	0.983	0.00270658713149157	2.04162849358921e-07
"Cox6c"	8.79034490295356e-08	-0.228228772928349	0.975	0.983	0.00272966580271417	2.04162849358921e-07
"Map1lc3b"	9.71534970018489e-08	0.25839202588524	0.893	0.771	0.00301690754239841	2.1859536825416e-07
"Gm42047"	1.12151211865586e-07	0.285150525104839	0.573	0.378	0.00348263158206204	2.44693553161279e-07
"Fam117b"	1.18422784117906e-07	0.205087831953683	0.45	0.271	0.00367738271521334	2.50777660484978e-07
"mt-Atp6"	1.32969307116257e-07	0.202016925070532	0.997	0.995	0.00412909589388113	2.73536860353443e-07
"H2-Q7"	1.76804625407855e-07	0.312533878126296	0.919	0.898	0.00549031403279011	3.53609250815709e-07
"Lsm5"	1.84130506881824e-07	-0.229988828895979	0.718	0.816	0.00571780463020127	3.58308013391657e-07
"Cox5b"	2.7288363444846e-07	-0.21513501065483	0.977	0.988	0.00847385550052803	5.17042675797082e-07
"Vamp5"	3.0433672162792e-07	0.221277267551762	0.977	0.98	0.00945056821671181	5.61852409159237e-07
"Atp5j2"	3.17072086027275e-07	-0.207690395030203	0.962	0.958	0.00984603948740497	5.70729754849095e-07
"Nfix"	6.45013016117929e-07	-0.259218884476221	0.712	0.799	0.02002958918951	1.13270578440222e-06
"Mif"	8.82177590220231e-07	-0.201560430538156	0.972	0.983	0.0273942607091088	1.51230444037754e-06
"Ost4"	9.89731731358437e-07	-0.252493969174405	0.84	0.871	0.0307341394538736	1.65722522460017e-06
"Car1"	1.14613467131371e-06	0.23210763954727	0.964	0.968	0.0355909199483046	1.87549309851334e-06
"Uqcrb"	1.21752365256506e-06	-0.227925119884899	0.936	0.935	0.0378077619831029	1.9480378441041e-06
"Atox1"	1.7003966653921e-06	-0.222355690087244	0.888	0.915	0.0528024176504209	2.65874393432184e-06
"H2-K1"	1.73556895712676e-06	0.203336283728358	0.992	0.993	0.0538946228256572	2.65874393432184e-06
"Atp5k"	2.3027182477223e-06	-0.214403228931747	0.883	0.905	0.0715063097465207	3.45407737158345e-06
"Ccdc50"	2.94883746493192e-06	-0.201518121372115	0.303	0.448	0.091570249798531	4.33298566275711e-06
"mt-Nd2"	3.22456714234192e-06	0.224108363177608	0.99	0.99	0.100132483471144	4.64337668497236e-06
"Bcl11a"	3.44787004782537e-06	0.205323019400313	0.985	0.948	0.107066708595121	4.86758124398875e-06
"Cox7a2"	4.87450397494062e-06	-0.200879802365632	0.952	0.963	0.151367971933831	6.74931319607162e-06
"Sec61g"	6.91600402006866e-06	-0.214298752431513	0.949	0.97	0.214762672835192	9.39532621594233e-06
"Jund"	7.38252351318863e-06	0.339161967207473	0.539	0.388	0.229249502655046	9.8433646842515e-06
"Gnb4"	2.12547850848475e-05	0.242823079150974	0.672	0.512	0.660024841239771	2.7824445929255e-05
"Lars2"	2.48987662025583e-05	0.244110480251646	0.743	0.632	0.773181386888044	3.20126994032893e-05
"Mt2"	4.41406525492208e-05	-0.323031472961572	0.677	0.709	1	5.5017908061071e-05
"Icam4"	4.43199814936405e-05	-0.243036087083653	0.649	0.694	1	5.5017908061071e-05
"Ifngr1"	7.28005770688761e-05	0.207426306918415	0.898	0.871	1	8.88413821857472e-05
"Birc5"	7.58037417786416e-05	-0.255271597736688	0.601	0.729	1	9.096449013437e-05
"Fdps"	0.000127063973435769	0.202147229650456	0.45	0.331	1	0.000147772272801135
"Bst2"	0.00012738726449658	0.220061851863438	0.796	0.669	1	0.000147772272801135
"Mpo"	0.000129300738700994	-0.295723484567154	0.267	0.366	1	0.000147772272801135
"Ssbp1"	0.000239015046335237	-0.211669846816778	0.817	0.833	1	0.000268891927127141
"Cks2"	0.000254904879191863	-0.208509251649216	0.944	0.968	1	0.000282356173874064
"Psat1"	0.000301033011565748	-0.211134205289112	0.565	0.674	1	0.000328399648980816
"Nipbl"	0.000404836995188095	0.20915976139997	0.87	0.796	1	0.000435048711246908
"Kmt2a"	0.00053861301680482	0.204452710747593	0.824	0.746	1	0.000570296135440397
"Sphk1"	0.00084662933516	0.22038061093187	0.491	0.396	1	0.000883439306253913
"Ifi27"	0.000863289673571193	0.221244823339382	0.618	0.535	1	0.000887955092816084
"Malat1"	0.00116732890783259	0.273828092116309	0.992	0.998	1	0.00118377016005558
