"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Gm42418"	1.64962582256081e-138	0.693750431760192	1	1	5.12258306679809e-134	7.42331620152365e-137
"Gm47283"	9.90271444052532e-106	-0.588458904504517	0.395	0.766	3.07508991521633e-101	2.2281107491182e-104
"Rpl35a"	2.22282492460923e-95	-0.229231180336844	0.995	0.998	6.90253823838904e-91	3.33423738691385e-94
"Alad"	2.12533283158586e-87	-0.563570153860073	0.966	0.988	6.59979604192357e-83	2.39099943553409e-86
"Rps15a"	3.642527443644e-75	-0.20425700547499	0.994	1	1.13111404707477e-70	3.2782746992796e-74
"Rpl39"	1.69231099521994e-66	-0.224559423216227	0.996	0.999	5.25513333345646e-62	1.26923324641495e-65
"Rpl36al"	5.93837735362209e-40	-0.300431154016227	0.955	0.981	1.84404431962027e-35	3.81752829875706e-39
"Cox8a"	4.5506071693653e-38	-0.211362569906312	0.99	0.998	1.41310004430301e-33	2.55971653276798e-37
"Hbb-bt"	9.61338518709905e-37	1.73454923743126	0.302	0.098	2.98524450214987e-32	4.80669259354953e-36
"Erh"	9.32779371045072e-34	0.260612788341019	0.965	0.966	2.89655978090626e-29	4.19750716970282e-33
"Snrpf"	4.27143927114251e-33	-0.217824795090879	0.99	0.994	1.32641003686788e-28	1.7474069745583e-32
"Car1"	1.29140332981748e-31	0.365091535469263	0.983	0.984	4.01019476008222e-27	4.84276248681555e-31
"Atp5j2"	2.90645960272197e-28	-0.221733572525048	0.978	0.989	9.02542900433254e-24	1.00608217017299e-27
"2010107E04Rik"	7.53395325168483e-27	-0.234536146957432	0.97	0.988	2.33951850324569e-22	2.42162783089869e-26
"Sem1"	1.23935231431378e-23	-0.210805749259593	0.978	0.993	3.84856074163859e-19	3.57698845287726e-23
"Tspo"	1.27181811657858e-23	0.227365231126835	0.974	0.96	3.94937679741147e-19	3.57698845287726e-23
"Mrpl52"	2.74415277358765e-23	-0.212237616358574	0.976	0.994	8.52141760782174e-19	7.26393381243791e-23
"Ost4"	8.44424781065177e-23	-0.220073927137127	0.922	0.952	2.62219227264169e-18	2.11106195266294e-22
"Gstp1"	6.56258337090441e-21	0.218499601555266	0.751	0.617	2.03787901416695e-16	1.55429606152999e-20
"Mt2"	1.55518149852571e-20	-0.267325423890868	0.931	0.966	4.82930510737189e-16	3.48464126938933e-20
"Prtn3"	1.62616592571502e-20	-0.648910056052155	0.296	0.457	5.04973304912285e-16	3.48464126938933e-20
"Ubl5"	4.38308763474371e-19	-0.202575686735991	0.973	0.986	1.36108020321696e-14	8.96540652561213e-19
"Mt1"	5.94542831810868e-19	-0.224684402373828	0.982	0.985	1.84623385562229e-14	1.16323597528213e-18
"Hbb-bs"	1.04877763144612e-17	1.68602867739622	0.347	0.495	3.25676917892964e-13	1.96645805896148e-17
"Gm42047"	1.10510253677691e-17	0.261365872962378	0.581	0.416	3.43167490745333e-13	1.98918456619843e-17
"Lars2"	1.51733004739536e-17	0.252962861272668	0.864	0.74	4.7117649961768e-13	2.6261481589535e-17
"Ctse"	7.2851437214494e-17	0.293758173116964	0.839	0.768	2.26225567982168e-12	1.21419062024157e-16
"Ctsg"	9.24365387361798e-17	-0.453229759053677	0.15	0.279	2.87043183737459e-12	1.4855872296886e-16
"Sphk1"	1.05804370522926e-15	0.219221116943855	0.905	0.864	3.28554311784841e-11	1.64179195639023e-15
"H2-Q7"	2.49351179201475e-14	0.286189159070878	0.74	0.601	7.7431021677434e-10	3.74026768802212e-14
"Lgals1"	7.83833040219934e-14	-0.236911913351332	0.16	0.282	2.43403673979496e-09	1.13782215515797e-13
"Mpo"	1.05274286632734e-13	-0.55572539897821	0.309	0.427	3.26908242280628e-09	1.48041965577282e-13
"Cela1"	2.22744844129522e-13	0.200719863017963	0.825	0.724	6.91689564475403e-09	3.03742969267529e-13
"AY036118"	2.08517468441806e-12	0.402594296064943	0.75	0.628	6.4750929475234e-08	2.75979002349449e-12
"Elane"	6.11898623309889e-09	-0.513747333569807	0.279	0.367	0.00019001287949642	7.86726801398429e-09
"Arhgdib"	8.27473306655479e-08	-0.265097752684888	0.427	0.516	0.00256955285915726	1.03434163331935e-07
"Hist1h2ap"	1.92616288220355e-07	0.206298867984303	0.882	0.876	0.00598131359810668	2.34263053240972e-07
"Tmsb4x"	8.23733974448079e-07	-0.542840948379097	0.578	0.634	0.0255794111085362	9.75474443425356e-07
"Hist1h2ae"	1.21876436868272e-06	0.246288513819862	0.809	0.824	0.0378462899407044	1.40626657924929e-06
"S100a8"	2.05565989985035e-06	-0.746386193566372	0.052	0.104	0.0638344068700531	2.31261738733165e-06
"Kcnq1ot1"	1.50280187423551e-05	0.238602556933885	0.927	0.944	0.466665066006353	1.6494166912341e-05
"Ube2c"	7.5818123117255e-05	-0.210530150031798	0.853	0.852	1	8.12337033399161e-05
