"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Trim12a"	5.75606028502373e-81	0.847197433598129	0.346	0.005	1.78742940030842e-76	6.90727234202848e-79
"Echdc2"	5.79179882267955e-64	-1.11981340520342	0.008	0.442	1.79852728840668e-59	3.47507929360773e-62
"Gm42418"	8.27615157894172e-55	0.526138163602209	1	1	2.56999334980877e-50	3.31046063157669e-53
"Rpl35a"	4.34452157455715e-39	-0.310457748795859	1	1	1.34910428454723e-34	1.30335647236714e-37
"Rps29"	1.98473710250488e-32	-0.239127775029325	1	1	6.16320412440842e-28	4.76336904601172e-31
"Rps15a"	5.91895036054385e-30	-0.26296292414341	1	1	1.83801165545968e-25	1.18379007210877e-28
"Rpl28"	1.09861678290453e-29	-0.254447331751701	0.998	1	3.41153469595344e-25	1.88334305640777e-28
"Rpl32"	5.29066442582025e-29	-0.202342493250788	1	1	1.64291002414996e-24	7.93599663873037e-28
"Rpl37a"	1.68104696086241e-28	-0.25094212733091	1	1	5.22015512756603e-24	2.24139594781654e-27
"Rplp1"	4.99720230073645e-28	-0.233108434945373	1	1	1.55178123044769e-23	5.99664276088374e-27
"Rpl41"	1.11407437204311e-27	-0.290555967631581	0.998	0.997	3.45953514750548e-23	1.21535386041067e-26
"Rpl39"	1.88788208171544e-26	-0.248788022103162	0.998	1	5.86244022835097e-22	1.88788208171544e-25
"Rps12"	7.16150600568874e-26	-0.20338330327695	1	1	2.22386245994652e-21	6.61062092832807e-25
"Rps20"	2.10378933085627e-24	-0.210313734153091	1	1	6.53289700910797e-20	1.8032479978768e-23
"Trim34a"	6.95384955494329e-24	0.303367588782442	0.152	0.017	2.15937890229654e-19	5.56307964395463e-23
"Rps26"	8.62058541478968e-24	-0.29051629438816	0.998	1	2.67695038885464e-19	6.46543906109226e-23
"Rpl34"	2.05437068322103e-22	-0.229266011799699	0.998	0.999	6.37943728260627e-18	1.45014401168543e-21
"Rps25"	1.18622618739989e-19	-0.22257716999829	1	0.999	3.68358817973289e-15	7.90817458266596e-19
"Fau"	1.8895387356187e-19	-0.209805208623118	1	1	5.86758463571675e-15	1.19339288565392e-18
"Rpl36"	3.54053216902733e-19	-0.210179700008966	0.998	1	1.09944145444806e-14	2.1243193014164e-18
"Rpl37"	7.46821878546018e-19	-0.207562183368368	0.998	1	2.31910597944895e-14	4.26755359169153e-18
"Rps28"	1.71715543612348e-18	-0.200862711985062	1	1	5.33228277579426e-14	9.36630237885537e-18
"Rpl38"	1.74793733147183e-16	-0.212851630998916	1	1	5.42786979541946e-12	9.11967303376605e-16
"Wdfy1"	3.1231579933423e-16	0.323639485798359	0.273	0.1	9.69834251672583e-12	1.56157899667115e-15
"H2-Q7"	2.76810637395703e-14	0.35684469009979	0.932	0.834	8.59580072304875e-10	1.32869105949937e-13
"Rpl22l1"	2.43176564225588e-13	-0.323985249090822	0.949	0.953	7.55136184889719e-09	1.12235337334887e-12
"Gstp1"	7.04101460894144e-12	0.200161851674602	0.221	0.085	2.18644626651458e-07	3.1293398261962e-11
"Gm47283"	9.05703454879235e-12	-0.405577981477856	0.084	0.218	2.81248093843649e-07	3.88158623519672e-11
"Lmo2"	1.9944543845675e-11	0.309231576104552	0.994	0.941	6.19337920039745e-07	8.25291469476206e-11
"Tspan32"	3.80779609513068e-11	0.35718595380231	0.631	0.438	1.18243492142093e-06	1.52311843805227e-10
"H2-Eb1"	8.8473452493097e-11	0.405668958777003	0.568	0.393	2.74736612026814e-06	3.4247788061844e-10
"Ndrg1"	5.91951377768091e-10	0.275071989505421	0.211	0.094	1.83818661338325e-05	2.21981766663034e-09
"Cox6b1"	7.95276489538248e-10	-0.338473077218389	0.672	0.733	2.46957208296312e-05	2.89191450741181e-09
"Maf"	9.13082256370547e-10	0.222108294862513	0.107	0.029	2.83539433070746e-05	3.2226432577784e-09
"H2-Q4"	1.27865638633889e-09	0.315759582834698	0.568	0.379	3.97061167649817e-05	4.36391521097106e-09
"Arhgdib"	1.30917456329132e-09	-0.413409868623037	0.629	0.698	4.06537977138853e-05	4.36391521097106e-09
"Fads1"	1.78546159464349e-09	0.24771815905917	0.334	0.177	5.54439388984642e-05	5.7906862528978e-09
"Apoe"	2.67044169155062e-09	0.471159965953465	0.768	0.656	8.29252258477214e-05	8.43297376279143e-09
"Gdpd3"	5.89913541639622e-09	0.419720543228371	0.172	0.073	0.000183185852085352	1.81511858966037e-08
"Tnfsf10"	6.37319321031669e-09	0.276136459037162	0.361	0.206	0.000197906768759964	1.91195796309501e-08
"Jund"	7.97639957256382e-09	0.336449749700242	0.625	0.46	0.000247691135926824	2.3345559724577e-08
"S100a11"	2.61402894014767e-08	-0.335470749157171	0.637	0.715	0.000811734406784055	7.33708757031803e-08
"Adipor2"	2.62912304603063e-08	0.309216523955401	0.568	0.393	0.000816421579483891	7.33708757031803e-08
"E230032D23Rik"	2.97181827152396e-08	0.20104557239106	0.17	0.074	0.000922838727856335	8.10495892233807e-08
"Smim5"	1.15123940459227e-07	0.201772774658304	0.174	0.08	0.00357494372308037	3.06997174557938e-07
