"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Echdc2"	6.48372556701772e-38	-0.942100261303911	0.005	0.367	2.01339130032601e-33	1.36158236907372e-35
"Gm42418"	9.59827148951283e-28	0.510113596465043	1	1	2.98055124563842e-23	1.00781850639885e-25
"Rpl5"	8.49436118197022e-16	0.243664720222974	1	0.996	2.63775397783721e-11	4.77671327517556e-14
"Plac8"	9.09850147652487e-16	0.652043629341417	0.958	0.844	2.82535766350527e-11	4.77671327517556e-14
"Gm47283"	3.62993118646299e-15	-0.602207764432169	0.099	0.337	1.12720253133235e-10	1.52457109831446e-13
"Lgals1"	1.79155116544997e-13	-0.869314882123856	0.476	0.678	5.56330383407179e-09	6.2704290790749e-12
"Rpl35a"	3.95589031499661e-13	-0.228270574022232	1	0.996	1.2284226195159e-08	1.18676709449898e-11
"Trim12a"	1.99651725153056e-12	0.435321668565521	0.184	0.007	6.19978502117786e-08	5.24085778526773e-11
"Rps28"	3.04730750995743e-12	-0.222197053843305	0.998	1	9.46280401067081e-08	7.11038418990067e-11
"Rps7"	9.10456624395968e-12	0.204141178256365	1	1	2.8272409557368e-07	1.91195891123153e-10
"Rpl39"	1.57331561923096e-10	-0.221417689565104	0.995	1	4.88561699239791e-06	3.00360254580457e-09
"Rpl41"	2.34266617421535e-10	-0.262587167152916	0.998	1	7.27468127079092e-06	4.09966580487686e-09
"Rps25"	3.18860458061939e-09	-0.2261348867864	0.998	0.996	9.90157380419741e-05	5.15082278407748e-08
"Atp5e"	2.87378879661941e-08	-0.375488856728061	0.868	0.878	0.000892397635014224	4.31068319492911e-07
"Cox6c"	2.38698356993695e-07	-0.320449619416714	0.762	0.848	0.00741230007972521	3.34177699791173e-06
"Ifngr1"	8.60171893191522e-07	0.396049725927133	0.797	0.63	0.0267109177992763	1.12897560981387e-05
"Rpl13a"	1.35743840813963e-06	0.316270385865454	0.913	0.778	0.0421525348879599	1.67683568064307e-05
"Txn1"	1.54934848611067e-06	-0.329048312181848	0.816	0.826	0.0481119185391948	1.80757323379579e-05
"Gnb4"	1.74518571104027e-06	0.31804457929062	0.658	0.444	0.0541932518849337	1.92888947009715e-05
"Rbm3"	2.86483519026465e-06	-0.304900133718739	0.911	0.937	0.0889617271632882	3.00807694977788e-05
"H2-Q6"	3.086836931144e-06	0.348549448504895	0.469	0.285	0.0958555472228146	3.086836931144e-05
"Itga4"	3.45649544855542e-06	0.30499776686931	0.911	0.744	0.107334553163991	3.29938201907563e-05
"Zcchc6"	3.81189434499092e-06	0.351066255568089	0.792	0.611	0.118370755095003	3.48042527151345e-05
"Alad"	6.08769259509939e-06	-0.524890918069172	0.417	0.537	0.189041118155621	5.32673102071197e-05
"Trim34a"	6.85162096600818e-06	0.216462912235256	0.104	0.015	0.212763385857452	5.75536161144687e-05
"Ube2b"	8.40241396934014e-06	0.326047970923624	0.6	0.419	0.260920160989919	6.78656512908242e-05
"Rpl22l1"	1.04895080388853e-05	-0.286681940913484	0.96	0.963	0.325730693131506	8.15850625246637e-05
"Gm17590"	1.39352140289209e-05	0.428463357886216	0.169	0.056	0.432730201240082	0.000104514105216907
"Raf1"	1.55051446365978e-05	0.253466039200753	0.275	0.13	0.481481256400271	0.000112278633575363
"Ndufa4"	1.74500520006206e-05	-0.312317261340985	0.866	0.893	0.541876464775271	0.000122150364004344
"Ldah"	1.96107742209258e-05	0.246550444137446	0.236	0.1	0.608973371882409	0.000128838305113565
"Gm42047"	1.96325036363528e-05	0.313782347499827	0.32	0.17	0.609648135419662	0.000128838305113565
"Stom"	2.53273697522072e-05	0.26072001948058	0.218	0.093	0.78649081291529	0.000161174171150409
"Anapc16"	4.60810683402774e-05	0.203984711345703	0.486	0.281	1	0.000284618363278184
"Prtn3"	5.13793334040156e-05	-0.455765953581294	0.36	0.485	1	0.000308276000424094
"Gm11808"	5.6867280199686e-05	0.250487207651546	0.4	0.241	1	0.000331725801164835
"Ctsg"	6.27293944220582e-05	-0.456900316798339	0.112	0.222	1	0.000356031698071141
"Ccdc86"	7.17529064187031e-05	0.202682659729512	0.241	0.115	1	0.000396529219682306
"Uqcrq"	9.08181753292921e-05	-0.322541315094203	0.561	0.626	1	0.000489020944080804
"Acss2"	0.000104472970882261	0.223598238923277	0.283	0.148	1	0.000548483097131869
"Car1"	0.000119402944915661	0.370429749114352	0.856	0.707	1	0.000609509263039425
"Ccdc88a"	0.000121901852607885	0.274538962598853	0.452	0.304	1	0.000609509263039425
"Gm35082"	0.000128965048077791	-0.248368498880225	0.082	0.178	1	0.000629829304565958
"Jak2"	0.000132706871359533	0.213901925443825	0.375	0.219	1	0.000633373704215952
