"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Echdc2"	2.45357819982023e-93	-0.695539451523439	0.01	0.413	7.61909638390177e-89	1.44761113789394e-91
"Gm42418"	1.30506901712813e-53	0.440275841049621	1	1	4.05263081888797e-49	3.84995360052797e-52
"Gm47283"	2.96233154786501e-39	-0.519821144808454	0.166	0.447	9.19892815558521e-35	5.82591871080118e-38
"Rpl41"	2.57302530834059e-36	-0.229708725375082	1	0.998	7.99001548999003e-32	3.79521232980237e-35
"Trim12a"	3.09055194563011e-34	0.29411215297618	0.216	0.003	9.59709095676518e-30	3.64685129584353e-33
"Wdfy1"	8.08384836419511e-24	0.318488710150027	0.367	0.135	2.51027743253351e-19	7.94911755812519e-23
"Ndrg1"	3.02583247197501e-21	0.378233848005433	0.536	0.286	9.39611757522401e-17	2.55034451209323e-20
"Tspan32"	1.66340646879782e-20	0.340548250510927	0.896	0.747	5.16537610755786e-16	1.22676227073839e-19
"Atp5e"	1.27920643974381e-17	-0.267929604197603	0.978	0.981	3.97231975733645e-13	8.38590888276498e-17
"Rpl22l1"	8.43932057821488e-16	-0.243435773143108	0.993	0.981	2.62066221915307e-11	4.97919914114678e-15
"Myl6"	1.44092348213668e-15	0.219560822061366	0.996	0.987	4.47449968907903e-11	7.72858958600582e-15
"Alad"	3.14280800841487e-15	-0.399843307878218	0.53	0.658	9.7593617085307e-11	1.54521393747065e-14
"Arhgdib"	1.74786608735367e-14	-0.451046096880635	0.828	0.879	5.42764856105934e-10	7.93262301183587e-14
"Lgals1"	3.32227919553927e-14	-0.458501428085406	0.129	0.273	1.03166735859081e-09	1.40010337526298e-13
"Rbm3"	7.25857224696654e-14	-0.204322219897435	0.996	0.995	2.25400443985052e-09	2.85503841714017e-13
"Snrpe"	2.52987338369638e-12	-0.234925987016873	0.939	0.936	7.85601581839235e-08	9.32890810238038e-12
"H2-Q7"	3.95647912744718e-12	0.27236766917537	0.955	0.903	1.22860546344617e-07	1.37313099129049e-11
"Bcl2"	6.37408224118627e-11	0.275073498678625	0.74	0.583	1.97934375835557e-06	2.08928251238883e-10
"Jund"	1.46273928303229e-10	0.318352498356949	0.656	0.494	4.54224429560018e-06	4.54219040520555e-10
"Rpl36al"	2.83495031309978e-10	-0.273342293847466	0.737	0.797	8.80337120726874e-06	8.36310342364434e-10
"Cox6c"	8.74143087646226e-10	-0.229940386821146	0.942	0.96	2.71447653006783e-05	2.45592581767273e-09
"Ctsg"	2.67244029497794e-09	-0.409021583731508	0.138	0.254	8.29872884799501e-05	7.16699897289539e-09
"Erh"	3.44089111107238e-09	0.242382523699301	0.833	0.733	0.000106849991672131	8.82663371970741e-09
"Uqcr11"	7.6713222702448e-09	-0.236938569443003	0.843	0.868	0.000238217570457912	1.88586672476851e-08
"Cox7a2"	1.60708628082657e-08	-0.231303932478233	0.89	0.887	0.000499048502785074	3.7927236227507e-08
"Gclm"	2.1835128474399e-08	0.215680656437128	0.851	0.752	0.000678046244515513	4.90694554512441e-08
"H2-T22"	2.24555135115863e-08	0.209168237883933	0.598	0.445	0.000697311061075289	4.90694554512441e-08
"Jun"	2.75233107417962e-08	0.300451432279222	0.249	0.137	0.000854681368464997	5.79955476344991e-08
"2010107E04Rik"	1.29288145591539e-07	-0.220214849225782	0.857	0.886	0.00401478478505405	2.63034503100027e-07
"S100a8"	1.76500471807277e-07	-0.23174660854602	0.042	0.11	0.00548086915103137	3.42903682253769e-07
