"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Trim12a"	2.95185688425587e-24	0.521735571790918	0.422	0.016	9.16640118267975e-20	6.287455163465e-22
"Echdc2"	1.6233875709018e-21	-0.831475852452848	0.037	0.525	5.04110542392135e-17	1.72890776301042e-19
"Gm42418"	4.10863692645118e-19	0.562806216924716	1	1	1.27585502477088e-14	2.91713221778034e-17
"Rpl23"	6.47029177371154e-13	-0.208768415564936	1	1	2.00921970449065e-08	3.4454303695014e-11
"Rpl39"	8.73438554408513e-12	-0.250758695556126	1	1	2.71228874300476e-07	3.72084824178027e-10
"Hbb-bt"	1.11984021265966e-11	0.594762872087299	0.178	0	3.47743981237204e-07	3.97543275494179e-10
"Fau"	1.30180418060963e-10	-0.214254295005955	1	1	4.04249252204709e-06	3.96120414956931e-09
"Rpl41"	5.86824567847431e-10	-0.213196791238461	1	1	1.82226633053663e-05	1.56242041189378e-08
"Rpl35a"	3.81850464091831e-09	-0.208276241102152	1	1	0.000118576024614436	9.03712765017333e-08
"Gm47283"	5.77712176241033e-08	-0.47130573124183	0.23	0.471	0.00179396962088128	1.2305269353934e-06
"Ndrg1"	8.55838371184573e-08	0.338553136259077	0.511	0.213	0.00265763489403945	1.65721430056649e-06
"Trim34a"	1.87433963351449e-07	0.218485978305089	0.185	0.029	0.00582038686395254	3.22045799393007e-06
"Rpl5"	1.96553774277422e-07	0.203036191752867	1	1	0.0061035843526368	3.22045799393007e-06
"Rpl22l1"	2.16080757491612e-07	-0.304099628772164	1	1	0.00670995576238704	3.28751438183667e-06
"Wdfy1"	6.5000560324918e-07	0.292097915119278	0.326	0.111	0.0201846239976968	9.23007956613836e-06
"Ost4"	7.35696414401836e-07	-0.392478368957261	0.778	0.84	0.0228455807564202	9.79395851672444e-06
"Erh"	1.0311847426302e-06	0.40263238918681	0.896	0.701	0.0320213798128955	1.2920138245896e-05
"Bcl2"	4.88064864316852e-06	0.350748492203027	0.681	0.418	0.151558782316312	5.77543422774941e-05
"Abl1"	1.08843612865402e-05	0.276459829035522	0.511	0.246	0.337992071030933	0.000122019418633319
"Eci1"	2.00842725289007e-05	0.330198239829318	0.556	0.303	0.623676914839953	0.000213897502432792
"Psmb8"	3.28212044812058e-05	0.280559796595254	1	0.98	1	0.000329539225726649
"Rbm3"	3.40369153332689e-05	-0.218010248950192	1	1	1	0.000329539225726649
"Nkg7"	3.61129046832214e-05	0.337702204400939	0.585	0.336	1	0.000334436899892442
"Myl10"	4.73854556047401e-05	-0.372622483417791	0.956	0.934	1	0.000420545918492069
"Ptpn18"	6.32854697899678e-05	-0.269367099939052	0.985	0.984	1	0.000529865077615588
