"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Echdc2"	1.92716885142715e-30	-1.04739303031248	0.011	0.394	5.98443743433673e-26	3.50744730959741e-28
"Gm42418"	6.99522449187655e-25	0.55554741947932	1	0.997	2.17222706146242e-20	6.36565428760766e-23
"Trim12a"	4.41445541965756e-23	0.642353113406816	0.249	0.005	1.37082084146626e-18	2.67810295459225e-21
"Rps15a"	5.31020981087209e-19	-0.285160785043672	0.996	1	1.64897945257011e-14	2.4161454639468e-17
"Rps28"	8.81398239741243e-16	-0.250677602621958	1	0.997	2.73700595386848e-11	3.20828959265812e-14
"Rpl35a"	2.34607286018365e-15	-0.285833004093452	0.996	1	7.2852600527283e-11	7.11642100922375e-14
"Rps29"	3.64235353491295e-14	-0.233421813214187	0.996	1	1.13106004319652e-09	9.47011919077367e-13
"Rpl28"	2.23334883962756e-13	-0.253460769424665	0.996	0.997	6.93521815169547e-09	4.901274980183e-12
"Rps20"	2.4237074077828e-13	-0.212889522251795	0.996	1	7.52633861338793e-09	4.901274980183e-12
"Hbb-bt"	8.65193708431911e-12	0.856027479564292	0.117	0	2.68668602279361e-07	1.57465254934608e-10
"Rps26"	1.1967333091164e-10	-0.307869801443973	0.996	0.995	3.71621594479916e-06	1.98004965690168e-09
"Rpl41"	1.657791358447e-10	-0.262290085039297	0.996	1	5.14793950538548e-06	2.51431689364462e-09
"Rpl34"	2.40757648646167e-10	-0.221486557283379	0.996	0.997	7.47624726340943e-06	3.37060708104634e-09
"Psmb8"	4.66361617363753e-10	0.44281232616869	0.957	0.81	1.44819273039966e-05	6.06270102572879e-09
"Rpl37a"	8.05057067490584e-10	-0.211475839015622	0.996	1	2.49994371167851e-05	9.350376066849e-09
"Rpl39"	8.22011082799912e-10	-0.223403106508914	0.996	0.997	2.55259101541857e-05	9.350376066849e-09
"Rpl37"	1.40619901040358e-09	-0.20705459669743	1	0.997	4.36666978700622e-05	1.5054601170203e-08
"Rps21"	1.85663101490047e-09	-0.207438983125805	0.996	1	5.76539629057044e-05	1.87726024839937e-08
"Trim34a"	3.27999740161447e-09	0.247506633579105	0.125	0.013	0.000101853759312334	3.14189224786229e-08
"Wdfy1"	4.38849989790574e-08	0.274330404142672	0.246	0.087	0.00136276087329667	3.99353490709422e-07
"H2-Eb1"	8.30528146275542e-08	0.440267140550347	0.569	0.344	0.00257903905262944	7.19791060105469e-07
"Gm47283"	2.58053283931967e-07	-0.427014824203206	0.103	0.251	0.00801332862593939	2.13480443980082e-06
"Rpl22l1"	3.37957937623484e-07	-0.352927641278933	0.918	0.95	0.010494607837022	2.61209006667633e-06
"Tspan32"	3.44451437363912e-07	0.404968454923835	0.648	0.423	0.0106962504844616	2.61209006667633e-06
"Plek"	3.73912292048887e-07	0.34014317844106	0.295	0.13	0.0116110984049941	2.7220814861159e-06
"H2-Q7"	4.62282373688878e-07	0.335194763739501	0.932	0.82	0.0143552545501607	3.23597661582215e-06
"Elane"	1.23245633544132e-06	-0.768465290812932	0.117	0.262	0.0382714665844592	8.30766863149332e-06
"E230032D23Rik"	1.62621235011414e-06	0.213206346263222	0.214	0.077	0.0504987721080944	1.05703802757419e-05
"Echdc1"	1.89082833836942e-06	0.228604401592711	0.231	0.09	0.0587158923913855	1.18665778476977e-05
"Shisa5"	3.29942776521978e-06	0.420031446872757	0.722	0.558	0.10245713039337	2.00165284423333e-05
"Rpl7l1"	4.86789192909754e-06	0.296891844915863	0.47	0.283	0.151162648074266	2.85792364869598e-05
"Txnip"	5.05043024958791e-06	-0.383322323305247	0.826	0.873	0.156831010540453	2.87243220445312e-05
"Vldlr"	5.89155411285183e-06	0.48321372643534	0.356	0.209	0.182950429866388	3.24928135920919e-05
"H2-Ab1"	7.36806020052411e-06	0.370069560574074	0.555	0.354	0.228800373406875	3.94407928380996e-05
"Ubb"	8.55768493207132e-06	0.214390914953769	0.979	0.989	0.265741790195611	4.44999616467708e-05
"Ndrg1"	1.00359012756918e-05	0.253331797815241	0.27	0.124	0.311644842314058	5.07370564493308e-05
"Ltb"	1.96929014880661e-05	0.456811558350205	0.747	0.579	0.611523669908917	9.68677856980549e-05
"H2-D1"	2.29210947466047e-05	0.210655353966179	0.993	0.979	0.711768755166316	0.000109779980102159
"Zfp395"	2.79756845724665e-05	0.219084994401848	0.242	0.114	0.868728933028803	0.00012982402215442
"Tnpo1"	2.85327521218506e-05	0.259852678430879	0.399	0.233	0.886027551639826	0.00012982402215442
"Gnb4"	3.32674738907974e-05	0.259112653701953	0.256	0.124	1	0.000147675128003052
"Edem2"	4.03027492972172e-05	0.260965966882236	0.331	0.18	1	0.000174645246954608
"H2-Q4"	4.43380281490315e-05	0.329729796358619	0.527	0.333	1	0.00018766328193311
"H2-Q6"	5.11729115557989e-05	0.288793876173739	0.559	0.376	1	0.000211669770526259
"Dalrd3"	5.88309954791646e-05	0.230663972379513	0.267	0.138	1	0.000237938692826843
"Rnf149"	6.58014519496965e-05	0.296292397475415	0.302	0.169	1	0.000260344875105321
"Selenot"	8.82203546086299e-05	0.207818723606735	0.409	0.249	1	0.000341619245505758
"Usp48"	0.000109834195567061	0.207707386227336	0.288	0.159	1	0.000416454658191774
