,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Prtn3,1.62616592571502e-20,-0.648910056052155,0.296,0.457,5.04973304912285e-16,3.4846412693893304e-20
Ctse,7.2851437214494e-17,0.293758173116964,0.839,0.768,2.26225567982168e-12,1.2141906202415699e-16
Snrpf,4.27143927114251e-33,-0.217824795090879,0.99,0.994,1.32641003686788e-28,1.7474069745583002e-32
H2-Q7,2.4935117920147502e-14,0.286189159070878,0.74,0.601,7.743102167743401e-10,3.7402676880221204e-14
Hist1h2ap,1.92616288220355e-07,0.206298867984303,0.882,0.876,0.0059813135981066,2.34263053240972e-07
Tspo,1.27181811657858e-23,0.227365231126835,0.974,0.96,3.94937679741147e-19,3.57698845287726e-23
Gstp1,6.56258337090441e-21,0.218499601555266,0.751,0.617,2.03787901416695e-16,1.5542960615299902e-20
Rpl36al,5.93837735362209e-40,-0.300431154016227,0.955,0.981,1.8440443196202702e-35,3.81752829875706e-39
Rpl35a,2.22282492460923e-95,-0.229231180336844,0.995,0.998,6.90253823838904e-91,3.33423738691385e-94
Lgals1,7.83833040219934e-14,-0.236911913351332,0.16,0.282,2.43403673979496e-09,1.13782215515797e-13
Ubl5,4.38308763474371e-19,-0.202575686735991,0.973,0.986,1.36108020321696e-14,8.96540652561213e-19
Ube2c,7.5818123117255e-05,-0.210530150031798,0.853,0.852,1.0,8.12337033399161e-05
Cela1,2.22744844129522e-13,0.200719863017963,0.825,0.724,6.91689564475403e-09,3.03742969267529e-13
Rpl39,1.69231099521994e-66,-0.224559423216227,0.996,0.999,5.25513333345646e-62,1.26923324641495e-65
Lars2,1.51733004739536e-17,0.252962861272668,0.864,0.74,4.7117649961768e-13,2.6261481589534998e-17
Cox8a,4.5506071693653e-38,-0.211362569906312,0.99,0.998,1.41310004430301e-33,2.55971653276798e-37
Elane,6.118986233098891e-09,-0.513747333569807,0.279,0.367,0.0001900128794964,7.86726801398429e-09
Sphk1,1.05804370522926e-15,0.219221116943855,0.905,0.864,3.28554311784841e-11,1.6417919563902301e-15
Mrpl52,2.7441527735876503e-23,-0.212237616358574,0.976,0.994,8.521417607821741e-19,7.26393381243791e-23
Hist1h2ae,1.21876436868272e-06,0.246288513819862,0.809,0.824,0.0378462899407044,1.40626657924929e-06
