,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Rps29,1.8802561365103098e-62,-0.235419738032355,1.0,0.999,5.8387593807054704e-58,4.41860192079923e-61
S100a11,1.9493561604793298e-11,-0.243768663488177,0.985,0.988,6.05333568513645e-07,2.6946982218390698e-11
Echdc2,4.94676816918669e-32,-0.219728781031638,0.003,0.217,1.53611991957754e-27,1.7884469534751902e-31
Sdf2l1,8.501099183553761e-10,0.216948518194515,0.978,0.963,2.63984632946895e-05,9.98879154067566e-10
Rps28,3.73592047177438e-55,-0.251887836675069,0.998,0.999,1.1601153841001e-50,3.3003267280120603e-54
Cox7a2,1.0770200296325699e-11,-0.211176139750368,0.983,0.991,3.34447029801801e-07,1.5339376179615398e-11
Tspo,7.72319706392823e-15,0.201475738759505,0.995,0.995,2.39828438426163e-10,1.39611639232549e-14
Rpl36al,1.38500576820947e-22,-0.315391734906881,0.949,0.961,4.3008584120208695e-18,3.0997748145640597e-22
Fau,3.28177184906328e-39,-0.202191000033395,1.0,1.0,1.0190886122896199e-34,1.40221160823613e-38
Rpl35a,6.6661844969744795e-56,-0.239341317546031,1.0,1.0,2.07005027184548e-51,7.832766783945009e-55
Lgals1,7.02094930896153e-08,-0.301247381489244,0.844,0.867,0.0021802153889118,8.04840530539493e-08
Hsp90aa1,1.30882042978231e-24,0.270093064032635,0.997,0.998,4.06428008060302e-20,3.41747556665382e-24
S100a8,2.3826327206998e-07,-0.417252298624155,0.632,0.74,0.007398789387589,2.66627947316406e-07
Tspan32,1.9533700973636003e-16,0.268008852122812,0.889,0.693,6.06580016334317e-12,3.82534977400371e-16
Lcn2,2.94868717275614e-11,0.359002876938095,0.563,0.385,9.15655827755964e-07,3.8496749199871794e-11
Rps26,3.0839685164527e-30,-0.214492341236376,1.0,0.998,9.57664743414057e-26,1.0353322876662599e-29
Rpl23,4.21318305703667e-55,-0.205951528893054,1.0,1.0,1.3083197347016e-50,3.3003267280120603e-54
Rpl39,5.0132049761075704e-68,-0.278043565686298,1.0,0.996,1.55675054123068e-63,2.35620633877056e-66
Rpl38,1.17081606037711e-34,-0.21361657331053,1.0,0.999,3.63573511228904e-30,4.58569623647702e-34
Dnajc3,3.1386552091496096e-11,0.217367800699089,0.959,0.913,9.74646602097229e-07,3.9869404008116696e-11
Eno1,9.42141185166713e-11,0.22241657202359,0.95,0.92,2.92563102229819e-06,1.16527988691672e-10
Trim12a,1.21322423080806e-59,0.257544238748625,0.298,0.002,3.76742520392828e-55,1.9007179615993e-58
Cacybp,1.2575959573821002e-10,0.206562751253192,0.983,0.969,3.90521272645864e-06,1.51556435889638e-10
2010107E04Rik,2.91490842776298e-14,-0.231266846303276,0.973,0.974,9.05166514073239e-10,4.89288200374501e-14
S100a9,6.10363382237326e-06,-0.262228167556945,0.31,0.411,0.189536141086157,6.67141371282659e-06
