,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Rps29,9.23103643083634e-19,-0.209428314352075,1.0,1.0,2.86651374286761e-14,3.06470409503767e-17
Lbhd2,0.0014560733393846,-0.226814091463892,0.068,0.133,1.0,0.0021181529640994
Cyp51,6.92510032622164e-05,0.254278812034396,0.268,0.143,1.0,0.0001871476672188
Uvssa,9.55302852194849e-05,0.214020323871855,0.321,0.185,1.0,0.0002233524978371
Aplp2,0.0025501985425354,0.203170192521143,0.566,0.425,1.0,0.0033597853814355
Prtn3,6.25851597323074e-07,0.37740172653883,0.936,0.851,0.0194345696516734,3.46304550518767e-06
Hlf,0.0011635283034054,0.255289626492087,0.913,0.86,1.0,0.0017558699851391
Cks2,0.0022015276791798,-0.246885794526922,0.304,0.38,1.0,0.0030202776425112
Snrpf,2.11566934175291e-10,-0.390368226162367,0.764,0.831,6.56978800694532e-06,1.7560055536549201e-09
Akap13,0.0001202021308861,0.252483856499789,0.887,0.792,1.0,0.000266047383028
Trim34a,5.0587969513797e-08,0.24996315433213,0.164,0.036,0.0015709082173119,2.9991439068894e-07
Rps25,7.24587772943582e-15,-0.258760083004472,1.0,0.997,2.25006241132171e-10,1.20281570308635e-13
H2-Q4,0.0002243923876726,0.240976428438569,0.555,0.39,1.0,0.0004598658809094
Cox7a2,0.0005748553437388,-0.267260194867876,0.685,0.708,1.0,0.0009638988591984
Shisa5,7.14122697488985e-05,0.294926717375496,0.613,0.438,1.0,0.0001881656631478
H2-Q7,1.7704131739812098e-11,0.412732079054698,0.955,0.828,5.49766402916385e-07,1.63271437156045e-10
Pdcd4,1.0516748385068e-05,-0.346619834886537,0.579,0.666,0.326576587601516,4.2127003992994e-05
Madd,0.0005657908081856,0.222310135830864,0.379,0.244,1.0,0.0009583803485593
Tpst2,0.0001764332869753,0.203892016268442,0.419,0.263,1.0,0.0003707332359228
H2-K1,7.35776321096947e-10,0.23853601202335,0.998,0.997,2.28480620990235e-05,5.81613663343301e-09
