,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Zcchc6,6.24729251497053e-07,0.204625530822931,0.701,0.571,0.019399717446738,1.08408899524489e-06
Myl6,1.4409234821366802e-15,0.219560822061366,0.996,0.987,4.47449968907903e-11,7.728589586005821e-15
Cks2,0.0007009240827738,-0.239465352742428,0.77,0.8,1.0,0.000810872958503
Tubb5,0.0001287422600149,-0.223722794016705,0.901,0.909,1.0,0.0001550161906302
Pgam1,0.0008489202440197,-0.200903022911101,0.602,0.638,1.0,0.0009631979691763
Arhgdib,1.74786608735367e-14,-0.451046096880635,0.828,0.879,5.42764856105934e-10,7.932623011835871e-14
H2-T22,2.24555135115863e-08,0.209168237883933,0.598,0.445,0.0006973110610752,4.90694554512441e-08
Lgals1,3.3222791955392704e-14,-0.458501428085406,0.129,0.273,1.0316673585908102e-09,1.40010337526298e-13
Tspan32,1.66340646879782e-20,0.340548250510927,0.896,0.747,5.16537610755786e-16,1.2267622707383902e-19
Cox6c,8.74143087646226e-10,-0.229940386821146,0.942,0.96,2.71447653006783e-05,2.45592581767273e-09
Uqcrb,3.75675181244938e-06,-0.205652500229668,0.872,0.901,0.116658414031991,5.68166593650556e-06
Ucp2,2.15719330552925e-05,-0.207675830506846,0.771,0.787,0.669873237165999,2.89260011423241e-05
Cenpa,0.0041726628591457,-0.234632826206391,0.393,0.452,1.0,0.0044761292489018
Gdpd3,3.40073524406892e-07,0.235803633630067,0.138,0.057,0.0105603031534072,6.27010560625208e-07
Ndrg1,3.0258324719750102e-21,0.378233848005433,0.536,0.286,9.396117575224011e-17,2.5503445120932303e-20
Kcnq1ot1,7.86100171033245e-06,0.20293272365253,0.971,0.941,0.244107686110953,1.07860256025492e-05
Bcl2,6.374082241186269e-11,0.275073498678625,0.74,0.583,1.97934375835557e-06,2.0892825123888302e-10
Gclm,2.1835128474399e-08,0.215680656437128,0.851,0.752,0.0006780462445155,4.90694554512441e-08
Snrpe,2.52987338369638e-12,-0.234925987016873,0.939,0.936,7.85601581839235e-08,9.32890810238038e-12
Jun,2.75233107417962e-08,0.300451432279222,0.249,0.137,0.0008546813684649,5.79955476344991e-08
2010107E04Rik,1.29288145591539e-07,-0.220214849225782,0.857,0.886,0.004014784785054,2.63034503100027e-07
Slc14a1,0.0001936779002106,0.203273686522884,0.688,0.604,1.0,0.0002285399222486
Elane,6.85799706276563e-07,-0.50124631545099,0.183,0.286,0.0212961382790061,1.15606236200906e-06
Top2a,0.0028027586910413,-0.230069599470541,0.645,0.682,1.0,0.003120052127763
Uqcr11,7.6713222702448e-09,-0.236938569443003,0.843,0.868,0.0002382175704579,1.88586672476851e-08
Rbm3,7.25857224696654e-14,-0.204322219897435,0.996,0.995,2.25400443985052e-09,2.85503841714017e-13
Alad,3.1428080084148702e-15,-0.399843307878218,0.53,0.658,9.7593617085307e-11,1.54521393747065e-14
Rpl41,2.57302530834059e-36,-0.229708725375082,1.0,0.998,7.99001548999003e-32,3.79521232980237e-35
