,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Ccdc88a,0.0001219018526078,0.274538962598853,0.452,0.304,1.0,0.0006095092630394
Oat,0.000240847515274,0.214266601251209,0.424,0.263,1.0,0.0010761271959052
Echdc2,6.48372556701772e-38,-0.942100261303911,0.005,0.367,2.0133913003260098e-33,1.36158236907372e-35
Galnt6,0.0029009221364333,0.204716155562704,0.533,0.378,1.0,0.0053910942358495
Pik3ip1,0.0006724766312648,0.221091195280573,0.355,0.222,1.0,0.0020174298937944
Zcchc6,3.81189434499092e-06,0.351066255568089,0.792,0.611,0.118370755095003,3.48042527151345e-05
Prtn3,5.13793334040156e-05,-0.455765953581294,0.36,0.485,1.0,0.000308276000424
Rps7,9.104566243959679e-12,0.204141178256365,1.0,1.0,2.8272409557368e-07,1.91195891123153e-10
Ehmt2,0.0012008876533883,0.212238988489153,0.412,0.278,1.0,0.0029324000838552
Erh,0.0020129591186801,0.249309180637405,0.628,0.489,1.0,0.0041846107302483
Cox7c,0.0057954080448189,-0.214467361265398,0.834,0.819,1.0,0.0095466407154483
Acss2,0.0001044729708822,0.223598238923277,0.283,0.148,1.0,0.0005484830971318
Abcb4,0.0011921252068573,0.246109775194912,0.548,0.4,1.0,0.0029324000838552
Mosmo,0.0011321718548854,0.206213712899547,0.199,0.104,1.0,0.0028304296372136
Ptpre,0.0008120262730085,0.300652552425921,0.727,0.596,1.0,0.0022688902345364
Rps28,3.04730750995743e-12,-0.222197053843305,0.998,1.0,9.46280401067081e-08,7.110384189900669e-11
Kdm5a,0.0056658805575378,0.207885345838791,0.531,0.389,1.0,0.009443134262563
Trim34a,6.85162096600818e-06,0.216462912235256,0.104,0.015,0.212763385857452,5.75536161144687e-05
Anapc16,4.60810683402774e-05,0.203984711345703,0.486,0.281,1.0,0.0002846183632781
Rps25,3.1886045806193904e-09,-0.2261348867864,0.998,0.996,9.90157380419741e-05,5.15082278407748e-08
Fam96a,0.0002685562571108,0.252738709222088,0.598,0.437,1.0,0.0011749336248598
Uqcrq,9.08181753292921e-05,-0.322541315094203,0.561,0.626,1.0,0.0004890209440808
Tspo,0.0008871642767769,0.250297842076702,0.851,0.733,1.0,0.002358284786369
H2-Q4,0.0049763605785783,0.215785564780564,0.37,0.259,1.0,0.0085658665696839
H2-Q7,0.0003873567912481,0.26948931453065,0.864,0.756,1.0,0.0015019714389645
Hist1h1b,0.00083192641933,-0.535811932532385,0.208,0.315,1.0,0.0022688902345364
Rpl36al,0.000792203891898,-0.276713352330308,0.566,0.633,1.0,0.0022688902345364
Rpl35a,3.95589031499661e-13,-0.228270574022232,1.0,0.996,1.2284226195159e-08,1.1867670944989799e-11
Tspo2,0.0004728588639171,0.239619915412799,0.593,0.419,1.0,0.0016550060237101
Stom,2.53273697522072e-05,0.26072001948058,0.218,0.093,0.78649081291529,0.0001611741711504
Patz1,0.0018740638939881,0.212415071486255,0.409,0.289,1.0,0.0039355341773751
Lgals1,1.79155116544997e-13,-0.869314882123856,0.476,0.678,5.56330383407179e-09,6.2704290790748995e-12
Tspan32,0.0004474418159166,0.208169605586705,0.759,0.604,1.0,0.001620047954181
Rfc2,0.0018712724617997,-0.35495321738275,0.561,0.611,1.0,0.0039355341773751
Cox6c,2.38698356993695e-07,-0.320449619416714,0.762,0.848,0.0074123000797252,3.34177699791173e-06
Ttc3,0.0027433919520288,0.246346797587132,0.548,0.422,1.0,0.0051902009903248
Ogt,0.000495549737912,0.279985406062479,0.784,0.67,1.0,0.0016688222754551
Uqcrb,0.0054490869058466,-0.224591375099185,0.645,0.689,1.0,0.0091544660018223
Spn,0.004601281804934,0.207009824028519,0.804,0.681,1.0,0.0081199090675307
Aqp1,0.0024909530985822,0.24939960201364,0.613,0.496,1.0,0.004799083951397
Cox6b1,0.0022937233196624,-0.243142655130403,0.767,0.756,1.0,0.0045483508513536
Rpl13a,1.35743840813963e-06,0.316270385865454,0.913,0.778,0.0421525348879599,1.67683568064307e-05
Atp5l,0.0012697046737466,-0.231318822268797,0.856,0.844,1.0,0.00302997706235
Zbtb1,0.0004005257170572,0.219071085813766,0.558,0.385,1.0,0.0015019714389645
Atp8a1,0.0007623410254814,0.211619306860229,0.372,0.23,1.0,0.0022548114838183
Ddx6,0.00107193279812,0.245301858301375,0.695,0.559,1.0,0.0027607064936521
Ube2b,8.40241396934014e-06,0.326047970923624,0.6,0.419,0.260920160989919,6.78656512908242e-05
Ndrg1,0.0015736290947197,0.233009526569797,0.37,0.241,1.0,0.003476636231655
Car1,0.0001194029449156,0.370429749114352,0.856,0.707,1.0,0.0006095092630394
Tbcel,0.0013874235060841,0.231327025491968,0.268,0.156,1.0,0.0031796818560636
H2-Q6,3.086836931144e-06,0.348549448504895,0.469,0.285,0.0958555472228146,3.086836931144e-05
Rpl5,8.49436118197022e-16,0.243664720222974,1.0,0.996,2.6377539778372098e-11,4.77671327517556e-14
Gm35082,0.0001289650480777,-0.248368498880225,0.082,0.178,1.0,0.0006298293045659
Pabpn1,0.000873527565805,0.20473315950815,0.31,0.189,1.0,0.0023518049848598
Arid4a,0.0007864476613376,0.214324857216216,0.469,0.322,1.0,0.0022688902345364
Ldhb,0.0013697531907632,-0.284603538533132,0.065,0.133,1.0,0.0031796818560636
Raf1,1.55051446365978e-05,0.253466039200753,0.275,0.13,0.481481256400271,0.0001122786335753
Trim12a,1.99651725153056e-12,0.435321668565521,0.184,0.007,6.19978502117786e-08,5.2408577852677294e-11
