,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Wdr76,0.0008543328637551,0.26193850953303,0.6,0.402,1.0,0.0031374637927558
Itpa,0.0045377036050101,0.201310557063858,0.548,0.361,1.0,0.0088498597107206
S100a11,6.65118790902221e-05,-0.344777288072216,0.867,0.898,1.0,0.0005298650776155
Hspa9,0.0021156010853899,0.253085965260949,0.881,0.709,1.0,0.005703993103202
Mndal,0.0054730984040888,0.201482297962523,0.83,0.652,1.0,0.0095554914759912
Echdc2,1.6233875709018e-21,-0.831475852452848,0.037,0.525,5.04110542392135e-17,1.72890776301042e-19
Ptpn18,6.32854697899678e-05,-0.269367099939052,0.985,0.984,1.0,0.0005298650776155
Fam126b,0.0001743270281558,0.206116404111442,0.393,0.189,1.0,0.0010314349165886
Cirbp,0.003215807889662,-0.225433950857923,0.778,0.807,1.0,0.0069894600050817
Chchd10,0.0005069069663475,0.282645086541478,0.556,0.352,1.0,0.0022972592304685
Sec61g,0.0003825233035312,-0.254219223445785,0.919,0.914,1.0,0.0018517605375488
Tmem238,0.005082709931037,0.225603062083725,0.622,0.422,1.0,0.0092531385924007
Nop56,0.0035867824496472,0.235779493565213,0.874,0.787,1.0,0.0076398466177485
Eci1,2.00842725289007e-05,0.330198239829318,0.556,0.303,0.623676914839953,0.0002138975024327
Fam208b,0.0006656155148153,0.232195426901185,0.541,0.328,1.0,0.0027264635510705
Nkg7,3.61129046832214e-05,0.337702204400939,0.585,0.336,1.0,0.0003344368998924
Gimap6,0.005159323151912,-0.341578348932908,0.496,0.537,1.0,0.0093130155199768
Trim59,0.0044084279948008,-0.340762143704844,0.481,0.537,1.0,0.0086943996564127
Clspn,0.0045703500853487,0.244324808688448,0.77,0.652,1.0,0.0088498597107206
Uqcrh,0.0022151580899448,-0.20177558437928,0.993,0.996,1.0,0.0058250453476327
Pds5a,0.0019083884355804,0.225290607133655,0.904,0.738,1.0,0.0052137540504126
Nisch,0.0019092620466299,0.245393600337844,0.748,0.57,1.0,0.0052137540504126
Trim34a,1.87433963351449e-07,0.218485978305089,0.185,0.029,0.0058203868639525,3.22045799393007e-06
Rrp1b,0.0022940973198909,0.217772433623406,0.526,0.332,1.0,0.0059590576723997
Ung,0.0053476850448128,0.210611787485203,0.296,0.164,1.0,0.0094136935086375
Spc24,0.000315012910094,-0.313948943369029,0.881,0.922,1.0,0.0016284484702937
Hus1,0.0025517682984003,-0.202643079497326,0.148,0.275,1.0,0.0063098032844444
Eif3g,0.0024103124479464,0.222909561039765,0.852,0.635,1.0,0.0060777817735879
Fau,1.30180418060963e-10,-0.214254295005955,1.0,1.0,4.04249252204709e-06,3.961204149569311e-09
Ebp,0.0010826923816559,0.220301153775468,0.563,0.328,1.0,0.0035478996506571
Chaf1a,0.0053212545154383,0.217722943724869,0.593,0.447,1.0,0.0094136935086375
Cd63,0.0046832474394724,0.233013300535266,0.919,0.766,1.0,0.0089065330768538
Rpl27,0.0015460136510713,-0.234819335238302,0.97,0.918,1.0,0.0045736237177526
Tspan32,0.0004599329776197,0.313806610028655,0.785,0.607,1.0,0.0021296896572392
Ppp4c,0.0010107895216141,0.248116299908338,0.741,0.533,1.0,0.003368543056322
Tm2d1,0.005743313296007,-0.204356174888349,0.281,0.373,1.0,0.00963248607913
Gnl3,0.005678873010426,0.253868968047931,0.8,0.66,1.0,0.00963248607913
Dynll1,0.0036628079023818,0.225044267445771,0.919,0.816,1.0,0.0077245354773004
Usmg5,0.0060917941225999,-0.248668222251654,0.63,0.676,1.0,0.0099938500313697
Hras,0.0009992053623941,0.245793460398955,0.637,0.393,1.0,0.003368543056322
Mrpl15,0.0061388825525612,0.2035065098387,0.748,0.553,1.0,0.0099938500313697
Ube2c,0.0050509434260367,-0.46664170205223,0.541,0.656,1.0,0.0092531385924007
Ube2s,0.0030127114253731,-0.220510033547055,0.963,0.943,1.0,0.0068266758894093
Mrpl32,0.0008081944998474,0.226041619649323,0.741,0.475,1.0,0.0030200952362722
Ndrg1,8.55838371184573e-08,0.338553136259077,0.511,0.213,0.0026576348940394,1.65721430056649e-06
Rpl5,1.96553774277422e-07,0.203036191752867,1.0,1.0,0.0061035843526368,3.22045799393007e-06
Crip1,0.0009761793648709,-0.223181961050664,0.896,0.922,1.0,0.003368543056322
Rpl39,8.734385544085129e-12,-0.250758695556126,1.0,1.0,2.71228874300476e-07,3.72084824178027e-10
Knl1,0.0015729000805554,-0.297884735110112,0.689,0.762,1.0,0.0045894207829905
Bcl2,4.88064864316852e-06,0.350748492203027,0.681,0.418,0.151558782316312,5.77543422774941e-05
Trim12a,2.95185688425587e-24,0.521735571790918,0.422,0.016,9.166401182679751e-20,6.287455163465e-22
Gclm,0.0004353332027709,0.276909488508435,0.867,0.672,1.0,0.0020605771597826
Slc25a5,0.0001158987064249,0.276520138365428,0.993,0.918,1.0,0.0007480734687429
Lars2,0.0011407346357755,0.268961517771612,0.785,0.561,1.0,0.0036814617790937
Cox8a,0.0002270132263164,-0.237943499613649,0.985,0.992,1.0,0.0012398414668053
Gpr171,0.0050274295459783,0.239456456696566,0.444,0.295,1.0,0.0092531385924007
Elane,0.0043717038779305,-0.262911480588205,0.207,0.32,1.0,0.0086943996564127
