,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fdr
Lman2,0.0003496519913669,0.244996663614938,0.484,0.32,1.0,0.0011742503725896
Ifi203,0.0030785123909336,0.294455349500303,0.762,0.627,1.0,0.0059605239909566
Pik3ip1,0.0041031110613459,0.256095395505941,0.434,0.325,1.0,0.0071804443573553
Zfp36,0.0003377313688937,0.233833119285043,0.228,0.116,1.0,0.0011597567762012
Rbck1,0.0023315099626817,0.206858545776535,0.409,0.286,1.0,0.0049341257349775
Zmym4,0.003013552103055,0.214485307008206,0.402,0.278,1.0,0.0058974890618926
Gm2a,0.0011592544598536,0.20659612225707,0.477,0.32,1.0,0.0029716100238501
Dalrd3,5.88309954791646e-05,0.230663972379513,0.267,0.138,1.0,0.0002379386928268
Rps21,1.8566310149004702e-09,-0.207438983125805,0.996,1.0,5.76539629057044e-05,1.87726024839937e-08
Shisa5,3.29942776521978e-06,0.420031446872757,0.722,0.558,0.10245713039337,2.00165284423333e-05
Hnrnph3,0.0039727171814107,0.200405178105226,0.409,0.283,1.0,0.0071620754725514
D430042O09Rik,0.0028027336850094,0.201107880846139,0.164,0.087,1.0,0.0056677503407969
Lfng,0.0014889695504452,0.207878999774528,0.117,0.05,1.0,0.0034196609806212
Usp48,0.000109834195567,0.207707386227336,0.288,0.159,1.0,0.0004164546581917
Vldlr,5.89155411285183e-06,0.48321372643534,0.356,0.209,0.182950429866388,3.24928135920919e-05
Rps20,2.4237074077827997e-13,-0.212889522251795,0.996,1.0,7.526338613387931e-09,4.9012749801830004e-12
H2-D1,2.29210947466047e-05,0.210655353966179,0.993,0.979,0.711768755166316,0.0001097799801021
Crim1,0.0006608280764689,0.215581617331955,0.235,0.13,1.0,0.0019090588875769
Ndrg1,1.00359012756918e-05,0.253331797815241,0.27,0.124,0.311644842314058,5.07370564493308e-05
Rpl28,2.23334883962756e-13,-0.253460769424665,0.996,0.997,6.93521815169547e-09,4.9012749801830004e-12
Rps27l,0.0055299373039918,-0.251091079025433,0.68,0.735,1.0,0.0092334732965735
Rpl37a,8.05057067490584e-10,-0.211475839015622,0.996,1.0,2.49994371167851e-05,9.350376066849e-09
Phb,0.0001714871259141,0.237119851917434,0.302,0.169,1.0,0.0006289019019572
Pdzk1ip1,0.0030116774687627,0.265630512576917,0.438,0.304,1.0,0.0058974890618926
Ltb,1.96929014880661e-05,0.456811558350205,0.747,0.579,0.611523669908917,9.68677856980549e-05
Fam107b,0.0058211328276421,0.222186291079763,0.63,0.489,1.0,0.0095445601318096
Selenot,8.82203546086299e-05,0.207818723606735,0.409,0.249,1.0,0.0003416192455057
Gnb4,3.32674738907974e-05,0.259112653701953,0.256,0.124,1.0,0.000147675128003
Ndufa3,0.0034968866263317,-0.277291100824565,0.342,0.423,1.0,0.0064942180203303
Elane,1.23245633544132e-06,-0.768465290812932,0.117,0.262,0.0382714665844592,8.30766863149332e-06
Tmem176b,0.0019150907258961,0.219310591321313,0.9,0.823,1.0,0.0041493632394417
Zfp395,2.79756845724665e-05,0.219084994401848,0.242,0.114,0.868728933028803,0.0001298240221544
Edem2,4.03027492972172e-05,0.260965966882236,0.331,0.18,1.0,0.0001746452469546
Nceh1,0.0009730044706499,0.260609939702193,0.498,0.362,1.0,0.0026543032900454
Prkag2,0.0048859326711305,0.222086449906399,0.249,0.156,1.0,0.0083890542089223
Maea,0.0012711123360055,0.216337576685721,0.313,0.198,1.0,0.0031379719574645
Rrbp1,0.0005102610059509,0.249864900989269,0.687,0.529,1.0,0.0015740254759843
