"Cluster"	"myCluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"LTHSC.1"	"LTHSC"	"mmu03010"	"Ribosome"	"9/30"	"179/8935"	4.23457224528053e-09	3.43000351867723e-07	2.22872223435817e-07	"20090/75617/19951/14109/57808/67427/19943/19981/54217"	9
"LTHSC.1"	"LTHSC"	"mmu05171"	"Coronavirus disease - COVID-19"	"9/30"	"247/8935"	7.02269058260982e-08	2.84418968595698e-06	1.84807646910785e-06	"20090/75617/19951/14109/57808/67427/19943/19981/54217"	9
"LTHSC.1"	"LTHSC"	"mmu04612"	"Antigen processing and presentation"	"5/30"	"90/8935"	1.0830701432174e-05	0.000292428938668697	0.000190012305827614	"15015/15018/21354/110557/14969"	5
"LTHSC.1"	"LTHSC"	"mmu05330"	"Allograft rejection"	"4/30"	"63/8935"	5.36068793895412e-05	0.000868431446110567	0.000564282940942539	"15015/15018/110557/14969"	4
"LTHSC.1"	"LTHSC"	"mmu05332"	"Graft-versus-host disease"	"4/30"	"63/8935"	5.36068793895412e-05	0.000868431446110567	0.000564282940942539	"15015/15018/110557/14969"	4
"LTHSC.1"	"LTHSC"	"mmu04940"	"Type I diabetes mellitus"	"4/30"	"70/8935"	8.11806287997424e-05	0.00109593848879652	0.000712110778945109	"15015/15018/110557/14969"	4
"LTHSC.1"	"LTHSC"	"mmu05320"	"Autoimmune thyroid disease"	"4/30"	"79/8935"	0.00013026812007668	0.00150738824660158	0.00097945954944872	"15015/15018/110557/14969"	4
"LTHSC.1"	"LTHSC"	"mmu05416"	"Viral myocarditis"	"4/30"	"88/8935"	0.00019798068444476	0.0020045544300032	0.00130250450292605	"15015/15018/110557/14969"	4
"LTHSC.1"	"LTHSC"	"mmu04145"	"Phagosome"	"5/30"	"182/8935"	0.000312738493896047	0.00281464644506443	0.00182888008126343	"15015/15018/21354/110557/14969"	5
"LTHSC.1"	"LTHSC"	"mmu05169"	"Epstein-Barr virus infection"	"5/30"	"231/8935"	0.000929128917318523	0.00741495393276614	0.00481803374448742	"15015/15018/21354/110557/14969"	5
"LTHSC.1"	"LTHSC"	"mmu00190"	"Oxidative phosphorylation"	"4/30"	"135/8935"	0.00100696905259787	0.00741495393276614	0.00481803374448742	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu05166"	"Human T-cell leukemia virus 1 infection"	"5/30"	"250/8935"	0.00132368461498158	0.00893487115112568	0.00580563427623501	"15015/15018/19385/110557/14969"	5
"LTHSC.1"	"LTHSC"	"mmu05163"	"Human cytomegalovirus infection"	"5/30"	"256/8935"	0.00147087426001227	0.0091646780816149	0.00595495651826829	"75547/15015/15018/21354/110557"	5
"LTHSC.1"	"LTHSC"	"mmu04932"	"Non-alcoholic fatty liver disease"	"4/30"	"156/8935"	0.00172022040354504	0.0099527037633677	0.00646699399828961	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu04514"	"Cell adhesion molecules"	"4/30"	"174/8935"	0.00256353251862597	0.0138430756005802	0.00899485094254725	"15015/15018/110557/14969"	4
"LTHSC.1"	"LTHSC"	"mmu04260"	"Cardiac muscle contraction"	"3/30"	"87/8935"	0.00299398588376333	0.0149508933773306	0.00971468055706989	"12866/67530/110323"	3
"LTHSC.1"	"LTHSC"	"mmu04218"	"Cellular senescence"	"4/30"	"184/8935"	0.00313784181993357	0.0149508933773306	0.00971468055706989	"20130/15015/15018/110557"	4
"LTHSC.1"	"LTHSC"	"mmu05415"	"Diabetic cardiomyopathy"	"4/30"	"211/8935"	0.00511735113804277	0.0230280801211925	0.0149630150235169	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu05208"	"Chemical carcinogenesis - reactive oxygen species"	"4/30"	"222/8935"	0.0061212054182632	0.0260956652041747	0.0169562476960199	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu05203"	"Viral carcinogenesis"	"4/30"	"229/8935"	0.00682435552795143	0.0271339924893526	0.0176309242945761	"15015/15018/19385/110557"	4
"LTHSC.1"	"LTHSC"	"mmu04714"	"Thermogenesis"	"4/30"	"231/8935"	0.00703473879353585	0.0271339924893526	0.0176309242945761	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu05170"	"Human immunodeficiency virus 1 infection"	"4/30"	"240/8935"	0.00803502288358579	0.0295834933441113	0.0192225427836981	"15015/15018/21354/110557"	4
"LTHSC.1"	"LTHSC"	"mmu05012"	"Parkinson disease"	"4/30"	"264/8935"	0.0111515947174778	0.0392730074832912	0.025518523380956	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu05020"	"Prion disease"	"4/30"	"268/8935"	0.0117374659303826	0.0396139475150412	0.0257400568648741	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu05168"	"Herpes simplex virus 1 infection"	"5/30"	"459/8935"	0.0172056485353567	0.0546262569258937	0.0354946438764741	"15015/15018/21354/110557/14969"	5
"LTHSC.1"	"LTHSC"	"mmu05016"	"Huntington disease"	"4/30"	"302/8935"	0.0175343540749782	0.0546262569258937	0.0354946438764741	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu00480"	"Glutathione metabolism"	"2/30"	"72/8935"	0.0240850576466453	0.0722551729399359	0.0469494301104197	"14870/14630"	2
"LTHSC.1"	"LTHSC"	"mmu05014"	"Amyotrophic lateral sclerosis"	"4/30"	"369/8935"	0.0335820529443488	0.0954617606713934	0.0620284344843362	"78330/12866/67530/110323"	4
"LTHSC.1"	"LTHSC"	"mmu05323"	"Rheumatoid arthritis"	"2/30"	"87/8935"	0.0341776674008692	0.0954617606713934	0.0620284344843362	"14969/16994"	2
"LTHSC.2"	"LTHSC"	"mmu04612"	"Antigen processing and presentation"	"9/35"	"90/8935"	4.04439214697701e-11	1.85185678378839e-09	1.15312060665845e-09	"15015/15018/14972/15039/16149/14961/110557/14969/15040"	9
"LTHSC.2"	"LTHSC"	"mmu05330"	"Allograft rejection"	"8/35"	"63/8935"	7.82474697375377e-11	1.85185678378839e-09	1.15312060665845e-09	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu05332"	"Graft-versus-host disease"	"8/35"	"63/8935"	7.82474697375377e-11	1.85185678378839e-09	1.15312060665845e-09	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu04940"	"Type I diabetes mellitus"	"8/35"	"70/8935"	1.87157357682e-10	3.32204309885551e-09	2.06858132174843e-09	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu05320"	"Autoimmune thyroid disease"	"8/35"	"79/8935"	5.0478190154244e-10	7.16790300190265e-09	4.46333470837526e-09	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu05416"	"Viral myocarditis"	"8/35"	"88/8935"	1.21375178713402e-09	1.43627294810859e-08	8.94343422098752e-09	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu04514"	"Cell adhesion molecules"	"9/35"	"174/8935"	1.49650191992844e-08	1.51788051878456e-07	9.45159107323226e-08	"15015/15018/14972/15039/14961/110557/14969/19264/15040"	9
"LTHSC.2"	"LTHSC"	"mmu04145"	"Phagosome"	"8/35"	"182/8935"	3.73724050467463e-07	3.31680094789873e-06	2.0653171210044e-06	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu05169"	"Epstein-Barr virus infection"	"8/35"	"231/8935"	2.27704451932714e-06	1.79633512080253e-05	1.11854818493263e-05	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu05166"	"Human T-cell leukemia virus 1 infection"	"8/35"	"250/8935"	4.10705172522342e-06	2.91600672490862e-05	1.81574918378298e-05	"15015/15018/14972/15039/14961/110557/14969/15040"	8
"LTHSC.2"	"LTHSC"	"mmu05203"	"Viral carcinogenesis"	"7/35"	"229/8935"	2.41624110578684e-05	0.000155957380464423	9.71120827206193e-05	"15015/15018/14972/15039/13194/110557/15040"	7
"LTHSC.2"	"LTHSC"	"mmu05170"	"Human immunodeficiency virus 1 infection"	"7/35"	"240/8935"	3.26847550578513e-05	0.000193384800758953	0.000120417518634189	"15015/15018/14972/15039/13194/110557/15040"	7
"LTHSC.2"	"LTHSC"	"mmu05168"	"Herpes simplex virus 1 infection"	"9/35"	"459/8935"	4.91145063305623e-05	0.000250471002557343	0.000155964152815543	"15015/15018/14972/15039/16149/14961/110557/14969/15040"	9
"LTHSC.2"	"LTHSC"	"mmu05163"	"Human cytomegalovirus infection"	"7/35"	"256/8935"	4.93886483915887e-05	0.000250471002557343	0.000155964152815543	"75547/15015/15018/14972/15039/110557/15040"	7
"LTHSC.2"	"LTHSC"	"mmu03010"	"Ribosome"	"6/35"	"179/8935"	5.95311617801092e-05	0.00028178083242585	0.000175460266299269	"20090/75617/57808/19943/54217/20068"	6
"LTHSC.2"	"LTHSC"	"mmu04218"	"Cellular senescence"	"6/35"	"184/8935"	6.94146028126971e-05	0.000308027299981344	0.000191803507771926	"15015/15018/14972/15039/110557/15040"	6
"LTHSC.2"	"LTHSC"	"mmu04144"	"Endocytosis"	"7/35"	"273/8935"	7.42642853057664e-05	0.000310162603335848	0.000193133125872581	"15015/15018/14972/15039/110557/84092/15040"	7
"LTHSC.2"	"LTHSC"	"mmu05167"	"Kaposi sarcoma-associated herpesvirus infection"	"6/35"	"224/8935"	0.000204976542468613	0.000808518584181749	0.000503451156940452	"15015/15018/14972/15039/110557/15040"	6
"LTHSC.2"	"LTHSC"	"mmu05171"	"Coronavirus disease - COVID-19"	"6/35"	"247/8935"	0.000347601368596592	0.00129893143001885	0.000808823129144425	"20090/75617/57808/19943/54217/20068"	6
"LTHSC.2"	"LTHSC"	"mmu05165"	"Human papillomavirus infection"	"6/35"	"362/8935"	0.00254122695447892	0.00902135568840017	0.00561744905726919	"15015/15018/14972/15039/110557/15040"	6
"LTHSC.2"	"LTHSC"	"mmu05310"	"Asthma"	"2/35"	"25/8935"	0.00422628417585647	0.0142888655469433	0.00889744037022414	"14961/14969"	2
"LTHSC.2"	"LTHSC"	"mmu05323"	"Rheumatoid arthritis"	"3/35"	"87/8935"	0.00466058961442793	0.0150409937556538	0.0093657781725346	"14961/14969/16994"	3
"LTHSC.2"	"LTHSC"	"mmu04672"	"Intestinal immune network for IgA production"	"2/35"	"43/8935"	0.0121727382906858	0.0375767138538561	0.0233983985450253	"14961/14969"	2
"LTHSC.2"	"LTHSC"	"mmu00190"	"Oxidative phosphorylation"	"3/35"	"135/8935"	0.0155169923072351	0.0459044355755705	0.0285839331975383	"12866/57423/12868"	3
"LTHSC.2"	"LTHSC"	"mmu05321"	"Inflammatory bowel disease"	"2/35"	"62/8935"	0.0243377631962289	0.06911924747729	0.0430394128101731	"14961/14969"	2
"LTHSC.2"	"LTHSC"	"mmu05140"	"Leishmaniasis"	"2/35"	"70/8935"	0.0304835823332801	0.0832436286793418	0.0518344314978852	"14961/14969"	2
"LTHSC.2"	"LTHSC"	"mmu05152"	"Tuberculosis"	"3/35"	"180/8935"	0.0328338136954171	0.0863407693472079	0.0537629697936654	"16149/14961/14969"	3
"STHSC.1"	"STHSC"	"mmu03010"	"Ribosome"	"4/17"	"179/8935"	0.000302244739108892	0.0117875448252468	0.00827196128087495	"19943/67941/19981/20068"	4
"STHSC.1"	"STHSC"	"mmu05171"	"Coronavirus disease - COVID-19"	"4/17"	"247/8935"	0.00102110721847977	0.0199115907603556	0.0139730461476179	"19943/67941/19981/20068"	4
"STHSC.1"	"STHSC"	"mmu00190"	"Oxidative phosphorylation"	"3/17"	"135/8935"	0.00196421845604042	0.0255348399285255	0.0179191859147548	"11951/67530/66594"	3
"STHSC.1"	"STHSC"	"mmu05415"	"Diabetic cardiomyopathy"	"3/17"	"211/8935"	0.00691312012117852	0.057572552077061	0.0404017909312709	"11951/67530/66594"	3
"STHSC.1"	"STHSC"	"mmu05208"	"Chemical carcinogenesis - reactive oxygen species"	"3/17"	"222/8935"	0.00795365479634358	0.057572552077061	0.0404017909312709	"11951/67530/66594"	3
"STHSC.1"	"STHSC"	"mmu04714"	"Thermogenesis"	"3/17"	"231/8935"	0.00887094519569139	0.057572552077061	0.0404017909312709	"11951/67530/66594"	3
"STHSC.1"	"STHSC"	"mmu04260"	"Cardiac muscle contraction"	"2/17"	"87/8935"	0.0115923033747289	0.057572552077061	0.0404017909312709	"67530/66594"	2
"STHSC.1"	"STHSC"	"mmu05012"	"Parkinson disease"	"3/17"	"264/8935"	0.0127577193046858	0.057572552077061	0.0404017909312709	"11951/67530/66594"	3
"STHSC.1"	"STHSC"	"mmu05020"	"Prion disease"	"3/17"	"268/8935"	0.0132859735562448	0.057572552077061	0.0404017909312709	"11951/67530/66594"	3
"STHSC.1"	"STHSC"	"mmu05016"	"Huntington disease"	"3/17"	"302/8935"	0.0182880046524075	0.0713232181443893	0.0500513811539574	"11951/67530/66594"	3
"STHSC.2"	"STHSC"	"mmu03010"	"Ribosome"	"5/21"	"179/8935"	4.78551713401742e-05	0.00373270336453359	0.00362691824893952	"66481/67427/19943/67941/19981"	5
"STHSC.2"	"STHSC"	"mmu05171"	"Coronavirus disease - COVID-19"	"5/21"	"247/8935"	0.000219445847444737	0.00855838805034474	0.00831584264001109	"66481/67427/19943/67941/19981"	5
"MPP"	"MPP"	"mmu03010"	"Ribosome"	"7/33"	"179/8935"	3.16852533586899e-06	0.000453099123029266	0.000416911228403815	"14109/19942/27395/75398/100503670/67248/67945"	7
