"Cluster"	"myCluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"LTHSC.1"	"LTHSC"	"GO:0003735"	"structural constituent of ribosome"	"10/44"	"158/22669"	4.10779172579151e-13	5.42228507804479e-11	4.23751146450072e-11	"20090/66047/75617/19951/14109/57808/67427/19943/19981/54217"	10
"LTHSC.1"	"LTHSC"	"GO:0046977"	"TAP binding"	"4/44"	"12/22669"	6.03999479922111e-09	3.98639656748593e-07	3.11536573854563e-07	"15015/15018/21354/110557"	4
"LTHSC.1"	"LTHSC"	"GO:0042610"	"CD8 receptor binding"	"3/44"	"11/22669"	1.11352240279369e-06	4.89285457801311e-05	3.82376195091934e-05	"15015/15018/110557"	3
"LTHSC.1"	"LTHSC"	"GO:0030881"	"beta-2-microglobulin binding"	"3/44"	"12/22669"	1.48268320545852e-06	4.89285457801311e-05	3.82376195091934e-05	"15015/15018/110557"	3
"LTHSC.1"	"LTHSC"	"GO:0042605"	"peptide antigen binding"	"4/44"	"46/22669"	1.89784490897341e-06	5.01031055968981e-05	3.91555370693462e-05	"15015/15018/21354/110557"	4
"LTHSC.1"	"LTHSC"	"GO:0042608"	"T cell receptor binding"	"3/44"	"17/22669"	4.55185539024555e-06	0.000100140818585402	7.82599698673796e-05	"15015/15018/110557"	3
"LTHSC.1"	"LTHSC"	"GO:0003823"	"antigen binding"	"4/44"	"208/22669"	0.000701315593904219	0.0102859620439286	0.0080384711348086	"15015/15018/21354/110557"	4
"LTHSC.1"	"LTHSC"	"GO:0043021"	"ribonucleoprotein complex binding"	"3/44"	"146/22669"	0.00285689605196265	0.037711027885907	0.0294711382202463	"57808/20643/19652"	3
"LTHSC.2"	"LTHSC"	"GO:0042605"	"peptide antigen binding"	"7/63"	"46/22669"	4.46306103164583e-11	8.8814914529752e-09	7.23485683024692e-09	"15015/15018/14972/15039/14961/110557/15040"	7
"LTHSC.2"	"LTHSC"	"GO:0030881"	"beta-2-microglobulin binding"	"5/63"	"12/22669"	1.09984271783975e-10	1.09434350425055e-08	8.91451466038532e-09	"15015/15018/14972/110557/15040"	5
"LTHSC.2"	"LTHSC"	"GO:0042608"	"T cell receptor binding"	"5/63"	"17/22669"	8.50199507734443e-10	5.63965673463847e-08	4.59406049793348e-08	"15015/15018/14972/110557/15040"	5
"LTHSC.2"	"LTHSC"	"GO:0042610"	"CD8 receptor binding"	"4/63"	"11/22669"	1.76106821353618e-08	8.76131436234247e-07	7.13696065485713e-07	"15015/15018/14972/110557"	4
"LTHSC.2"	"LTHSC"	"GO:0046977"	"TAP binding"	"4/63"	"12/22669"	2.63610310671506e-08	1.04916903647259e-06	8.54652375650778e-07	"15015/15018/14972/110557"	4
"LTHSC.2"	"LTHSC"	"GO:0003823"	"antigen binding"	"7/63"	"208/22669"	1.77184650293531e-06	4.40746817605158e-05	3.59032054542154e-05	"15015/15018/14972/15039/14961/110557/15040"	7
"LTHSC.2"	"LTHSC"	"GO:0003735"	"structural constituent of ribosome"	"6/63"	"158/22669"	5.10148961852778e-06	0.000112799603787448	9.1886479678746e-05	"20090/75617/57808/19943/54217/20068"	6
"LTHSC.2"	"LTHSC"	"GO:0042287"	"MHC protein binding"	"3/63"	"36/22669"	0.000136799232509824	0.00272230472694551	0.00221758755858031	"14972/16149/15040"	3
"LTHSC.2"	"LTHSC"	"GO:0004129"	"cytochrome-c oxidase activity"	"2/63"	"22/22669"	0.00169406432042999	0.0240799142689691	0.0196154816049788	"12866/12868"	2
"LTHSC.2"	"LTHSC"	"GO:0015002"	"heme-copper terminal oxidase activity"	"2/63"	"22/22669"	0.00169406432042999	0.0240799142689691	0.0196154816049788	"12866/12868"	2
"LTHSC.2"	"LTHSC"	"GO:0016676"	"oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor"	"2/63"	"22/22669"	0.00169406432042999	0.0240799142689691	0.0196154816049788	"12866/12868"	2
"LTHSC.2"	"LTHSC"	"GO:0030507"	"spectrin binding"	"2/63"	"32/22669"	0.00357303981989286	0.0439989538922713	0.0358415175848177	"19264/20740"	2
"LTHSC.2"	"LTHSC"	"GO:0015078"	"proton transmembrane transporter activity"	"3/63"	"112/22669"	0.00375870460386237	0.0439989538922713	0.0358415175848177	"12866/57423/12868"	3
"LTHSC.2"	"LTHSC"	"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"3/63"	"125/22669"	0.00510802320047006	0.0564720342718634	0.0460020802849351	"75547/228355/13860"	3
"LTHSC.2"	"LTHSC"	"GO:0043021"	"ribonucleoprotein complex binding"	"3/63"	"146/22669"	0.00783827288708417	0.08209559497525	0.0668750152139037	"57808/20643/19652"	3
"STHSC.1"	"STHSC"	"GO:0003735"	"structural constituent of ribosome"	"4/23"	"158/22669"	1.81421957021864e-05	0.00195935713583613	0.00135589041563709	"19943/67941/19981/20068"	4
"STHSC.1"	"STHSC"	"GO:0019955"	"cytokine binding"	"3/23"	"136/22669"	0.000342564229126865	0.0184984683728507	0.0128010843515828	"22695/16149/50701"	3
"STHSC.2"	"STHSC"	"GO:0003735"	"structural constituent of ribosome"	"5/36"	"158/22669"	4.88749912076936e-06	0.00061093739009617	0.000437302552910943	"66481/67427/19943/67941/19981"	5
"MPP"	"MPP"	"GO:0003735"	"structural constituent of ribosome"	"7/62"	"158/22669"	2.49328038694682e-07	4.36324067715694e-05	3.30687714479263e-05	"14109/19942/27395/75398/100503670/67248/67945"	7
"MPP"	"MPP"	"GO:0016863"	"intramolecular oxidoreductase activity, transposing C=C bonds"	"2/62"	"16/22669"	0.000861651036733176	0.0523617738855105	0.0396847128395448	"13177/13595"	2
"MPP"	"MPP"	"GO:0004842"	"ubiquitin-protein transferase activity"	"6/62"	"418/22669"	0.000975271507594934	0.0523617738855105	0.0396847128395448	"66949/94094/68612/77891/76681/18140"	6
"MPP"	"MPP"	"GO:0019787"	"ubiquitin-like protein transferase activity"	"6/62"	"435/22669"	0.00119684054595453	0.0523617738855105	0.0396847128395448	"66949/94094/68612/77891/76681/18140"	6
"MPP"	"MPP"	"GO:0044389"	"ubiquitin-like protein ligase binding"	"5/62"	"324/22669"	0.00192220740168	0.061841227753592	0.0468691410343013	"15526/68612/100503670/12043/11740"	5
"MPP"	"MPP"	"GO:0048027"	"mRNA 5'-UTR binding"	"2/62"	"25/22669"	0.00212027066583744	0.061841227753592	0.0468691410343013	"30877/100503670"	2
"MPP"	"MPP"	"GO:0000217"	"DNA secondary structure binding"	"2/62"	"34/22669"	0.0039026951583367	0.0975673789584175	0.0739458030000638	"269582/17685"	2
"MEG"	"MEG"	"GO:0009055"	"electron transfer activity"	"2/25"	"68/22669"	0.00254387612149465	0.0986154059225045	0.0650984838382277	"12864/66594"	2
"MEG"	"MEG"	"GO:0043130"	"ubiquitin binding"	"2/25"	"75/22669"	0.00308429191713445	0.0986154059225045	0.0650984838382277	"66197/21973"	2
"MEG"	"MEG"	"GO:0046982"	"protein heterodimerization activity"	"3/25"	"290/22669"	0.00386899543825411	0.0986154059225045	0.0650984838382277	"12615/12043/21973"	3
"MEG"	"MEG"	"GO:0031625"	"ubiquitin protein ligase binding"	"3/25"	"306/22669"	0.00449539019461786	0.0986154059225045	0.0650984838382277	"22154/12043/16476"	3
"MEG"	"MEG"	"GO:0032182"	"ubiquitin-like protein binding"	"2/25"	"95/22669"	0.00489622930028335	0.0986154059225045	0.0650984838382277	"66197/21973"	2
"MEG"	"MEG"	"GO:0044389"	"ubiquitin-like protein ligase binding"	"3/25"	"324/22669"	0.00527000033358604	0.0986154059225045	0.0650984838382277	"22154/12043/16476"	3
"MEG"	"MEG"	"GO:0061575"	"cyclin-dependent protein serine/threonine kinase activator activity"	"1/25"	"10/22669"	0.0109758750307712	0.0986154059225045	0.0650984838382277	"66197"	1
"MEG"	"MEG"	"GO:0070990"	"snRNP binding"	"1/25"	"10/22669"	0.0109758750307712	0.0986154059225045	0.0650984838382277	"20643"	1
"MEG"	"MEG"	"GO:0043021"	"ribonucleoprotein complex binding"	"2/25"	"146/22669"	0.0112159662202687	0.0986154059225045	0.0650984838382277	"20643/19652"	2
"MEG"	"MEG"	"GO:0070513"	"death domain binding"	"1/25"	"11/22669"	0.0120670795466026	0.0986154059225045	0.0650984838382277	"12043"	1
"MEG"	"MEG"	"GO:0002020"	"protease binding"	"2/25"	"152/22669"	0.0121111900022598	0.0986154059225045	0.0650984838382277	"12043/50701"	2
"MEG"	"MEG"	"GO:0016853"	"isomerase activity"	"2/25"	"153/22669"	0.0122633681295016	0.0986154059225045	0.0650984838382277	"18648/21973"	2
"MEG"	"MEG"	"GO:0043023"	"ribosomal large subunit binding"	"1/25"	"12/22669"	0.0131571282274809	0.0986154059225045	0.0650984838382277	"19652"	1
"MEG"	"MEG"	"GO:0008047"	"enzyme activator activity"	"3/25"	"460/22669"	0.0137056593214343	0.0986154059225045	0.0650984838382277	"66197/11857/16476"	3
