Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
biological process involved in interspecies interaction between organisms%GObp%GO:0044419,0.49328770213497597,2.4382425979099738,0.0,0.0,1713,15,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;H2-K1;Pdcd4;Cd52;Rps15a;Rpl39;Elane;Ctsg;Mpo;Slpi,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun
biological regulation%GObp%GO:0065007,0.3687886326004402,2.0316039551071468,0.0,0.0,13279,29,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1;Ndrg1;Wdfy1;H2-K1;Ctla2a;Shisa5;Rps29;Pdcd4;Atpif1;Cd52;Rps15a;Cox7a2;Cks2;Ms4a3;S100a11;Clec12a;Elane;Alad;Ctsg;Mpo;Slpi;Lgals1,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1;Ndrg1;Wdfy1;H2-K1;Ctla2a;Shisa5;Rps29
regulation of cellular process%GObp%GO:0050794,0.44418128756688924,1.9032343179958031,0.0,0.047435897435897434,12039,26,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1;Ndrg1;Wdfy1;H2-K1;Ctla2a;Shisa5;Rps29;Pdcd4;Atpif1;Rps15a;Cox7a2;Cks2;Ms4a3;S100a11;Elane;Alad;Ctsg;Slpi;Lgals1,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1;Ndrg1;Wdfy1;H2-K1;Ctla2a;Shisa5;Rps29
response to stress%GObp%GO:0006950,0.46462560171875605,1.7377276485934612,0.0,0.06098901098901099,3342,16,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;H2-K1;Shisa5;Sec61b;Atpif1;Rpl39;Elane;Sem1;Ctsg;Mpo;Slpi,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun
response to external stimulus%GObp%GO:0009605,0.4561131855788952,1.7389854466903536,0.0,0.07115384615384615,2575,17,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Pim1;H2-K1;Pdcd4;Cd52;Rps15a;Rpl39;Elane;Alad;Ctsg;Mpo;Slpi,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Pim1
positive regulation of biological process%GObp%GO:0048518,0.4468700321510126,1.7676341929500754,0.0,0.08538461538461538,6622,17,S100a8;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1;Wdfy1;H2-K1;Rps29;Pdcd4;Atpif1;Rps15a;S100a11;Elane;Ctsg;Lgals1,S100a8;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1;Wdfy1;H2-K1
cellular_component%GOcc%GO:0005575,0.5869308069526492,1.7031656549050624,0.0,0.0889423076923077,29761,48,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;AW112010;Jun;Jund;Pim1;Erh;Lars2;Ndrg1;Wdfy1;H2-K1;Ctla2a;Shisa5;Rps29;Rpl34;Sec61b;Pdcd4;Rps28;Atpif1;Cd52;Snrpf;Rps15a;Cox6c;Cox7a2;Rpl41;Cks2;Rpl36al;Ms4a3;Rpl39;Ost4;Prss57;S100a11;Clec12a;Sec61g;Rpl35a;Elane;Mrpl33;Sem1;Atp5e;Alad;Ctsg;Mpo;Slpi;Lgals1;Echdc2,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;AW112010;Jun;Jund;Pim1;Erh;Lars2;Ndrg1;Wdfy1;H2-K1;Ctla2a;Shisa5;Rps29;Rpl34;Sec61b;Pdcd4;Rps28;Atpif1;Cd52;Snrpf;Rps15a;Cox6c;Cox7a2;Rpl41;Cks2;Rpl36al;Ms4a3;Rpl39;Ost4;Prss57;S100a11;Clec12a;Sec61g;Rpl35a;Elane;Mrpl33;Sem1;Atp5e;Alad;Ctsg;Mpo;Slpi
response to stimulus%GObp%GO:0050896,0.34100440828346423,1.6511754445876885,0.0,0.09487179487179487,9100,26,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1;Ndrg1;H2-K1;Shisa5;Sec61b;Pdcd4;Atpif1;Cd52;Rps15a;Rpl36al;Ms4a3;Rpl39;Elane;Sem1;Alad;Ctsg;Mpo;Slpi;Lgals1,S100a8;Tspan32;Trim12a;Lcn2;H2-Q7;Jun;Jund;Pim1
cellular response to stimulus%GObp%GO:0051716,0.45587466273036203,1.7842996976358503,0.0,0.10673076923076923,7203,17,S100a8;Tspan32;Lcn2;H2-Q7;Jun;Jund;Pim1;Ndrg1;Shisa5;Sec61b;Pdcd4;Atpif1;Ms4a3;Sem1;Alad;Ctsg;Mpo,S100a8;Tspan32;Lcn2;H2-Q7;Jun;Jund;Pim1
multicellular organismal process%GObp%GO:0032501,0.46966263556803356,1.523480899825439,0.25,0.19405594405594406,7780,16,S100a8;Tspan32;Lcn2;H2-Q7;Jun;Jund;Erh;Ndrg1;H2-K1;Pdcd4;Atpif1;Cks2;S100a11;Ctsg;Mpo;Lgals1,S100a8;Tspan32;Lcn2;H2-Q7;Jun;Jund;Erh;Ndrg1;H2-K1
