Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
biological regulation%GObp%GO:0065007,-0.5724557127078638,-2.4284443661926987,0.0,0.0,13279,20,AY036118;H2-Q7;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Rps15a;Ube2c;Mt1;Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
cytoplasm%GOcc%GO:0005737,-0.4232108012206376,-1.6120767156788673,0.0,0.0,11554,31,Hbb-bt;Car1;Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Ubl5;Rps15a;Ube2c;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
intracellular organelle%GOcc%GO:0043229,-0.5101284909761433,-2.014941555507623,0.0,0.0,12770,28,Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3;S100a8,Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3;S100a8
organelle%GOcc%GO:0043226,-0.5101284909761433,-1.8274767086519303,0.0,0.0,13099,28,Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3;S100a8,Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3;S100a8
regulation of biological process%GObp%GO:0050789,-0.5724557127078638,-1.8572106644103334,0.0,0.0,12629,20,AY036118;H2-Q7;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Rps15a;Ube2c;Mt1;Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
cellular_component%GOcc%GO:0005575,-0.44922097255435955,-1.5602645185926647,0.0,0.07209612817089453,29761,33,Hbb-bt;Car1;Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Cela1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
regulation of cellular process%GObp%GO:0050794,-0.5048854068139241,-1.5682840699658578,0.0,0.08411214953271028,12039,19,AY036118;H2-Q7;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Rps15a;Ube2c;Mt1;Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Alad;Prtn3;S100a8,Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Alad;Prtn3;S100a8
response to stimulus%GObp%GO:0050896,-0.534335246180748,-1.452799580176443,0.0,0.08411214953271029,9100,18,H2-Q7;Tspo;Sphk1;Gstp1;Cela1;Rps15a;Sem1;Rpl39;Mt1;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Mpo;Alad;S100a8,Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Mpo;Alad;S100a8
intracellular anatomical structure%GOcc%GO:0005622,-0.46572961375263944,-1.481441679823786,0.0,0.09462616822429908,14420,32,Hbb-bt;Car1;Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
cellular anatomical entity%GOcc%GO:0110165,-0.44922097255435955,-1.3407963651170216,0.0,0.1552839683680805,19283,33,Hbb-bt;Car1;Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Cela1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
nucleus%GOcc%GO:0005634,-0.40432618632222717,-1.3434117106232681,0.0,0.16822429906542055,7352,16,Erh;Sphk1;Gstp1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Atp5j2;Mt1;Lgals1;Mt2;Rpl36al;Ctsg;Tmsb4x;Mpo,Sphk1;Gstp1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Atp5j2;Mt1;Lgals1;Mt2;Rpl36al;Ctsg;Tmsb4x;Mpo
protein binding%GOmf%GO:0005515,-0.3593959935166375,-1.3518515512702265,0.0,0.18351741716227699,9602,18,Hbb-bt;Ctse;H2-Q7;Kcnq1ot1;Tspo;Sphk1;Gstp1;Ube2c;Sem1;Rpl39;Lgals1;Arhgdib;Ctsg;Elane;Tmsb4x;Alad;Prtn3;S100a8,Ctsg;Elane;Tmsb4x;Alad;Prtn3;S100a8
molecular_function%GOmf%GO:0003674,-0.4080720474905226,-1.3698884858141802,0.0,0.20186915887850468,29245,34,Hbb-bt;Car1;Ctse;H2-Q7;Erh;Lars2;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Cela1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
primary metabolic process%GObp%GO:0044238,-0.31740495561523446,-1.2141297254969927,0.25,0.37850467289719625,6722,20,Ctse;Lars2;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Rpl35a;Ctsg;Elane;Prtn3;S100a8,Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Rpl35a;Ctsg;Elane;Prtn3;S100a8
intracellular membrane-bounded organelle%GOcc%GO:0043231,-0.3949073681784431,-1.16648469335554,0.16666666666666666,0.38592633315008246,11713,26,Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3,Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3
cytosol%GOcc%GO:0005829,-0.4340920832897781,-1.1339026256858253,0.3333333333333333,0.3925233644859813,3851,19,Hbb-bt;Tspo;Sphk1;Gstp1;Rps15a;Ube2c;Snrpf;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Tmsb4x;Alad;Prtn3;S100a8,Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Tmsb4x;Alad;Prtn3;S100a8
binding%GOmf%GO:0005488,-0.3459112029072275,-1.167615972174167,0.3333333333333333,0.41004672897196265,14113,26,Hbb-bt;Car1;Ctse;H2-Q7;Erh;Lars2;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ube2c;Sem1;Snrpf;Rpl39;Mt1;Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
membrane-bounded organelle%GOcc%GO:0043227,-0.3949073681784431,-1.1721785263675017,0.0,0.43738317757009343,12185,26,Ctse;H2-Q7;Erh;Lars2;Tspo;Sphk1;Gstp1;Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3,Ubl5;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Mt1;Rpl35a;Lgals1;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Prtn3
biological_process%GObp%GO:0008150,-0.2958473340644342,-1.0486075942417323,0.0,0.5312346286276438,29961,34,Hbb-bt;AY036118;Car1;Ctse;H2-Q7;Erh;Lars2;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Rps15a;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Rpl36al;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
cellular process%GObp%GO:0009987,-0.3282169701457118,-0.9566861616878655,0.3333333333333333,0.7443925233644859,15998,30,Hbb-bt;Car1;H2-Q7;Erh;Lars2;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8,Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Mt1;Rpl35a;Lgals1;Arhgdib;Mt2;Ctsg;Elane;Tmsb4x;Mpo;Alad;Prtn3;S100a8
organonitrogen compound metabolic process%GObp%GO:1901564,-0.27218253203747866,-0.9347538867475026,1.0,0.7570093457943925,4649,18,Hbb-bt;Ctse;Lars2;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Mrpl52;Ost4;Atp5j2;Rpl39;Rpl35a;Ctsg;Elane;Alad;Prtn3;S100a8,Ctsg;Elane;Alad;Prtn3;S100a8
catalytic activity%GOmf%GO:0003824,-0.2793761759887835,-0.9119472442416481,0.75,0.8028887000849617,5613,16,Hbb-bt;Car1;Ctse;Lars2;Sphk1;Gstp1;Cela1;Ube2c;Cox8a;Atp5j2;Arhgdib;Ctsg;Elane;Mpo;Alad;Prtn3,Ctsg;Elane;Mpo;Alad;Prtn3
macromolecule metabolic process%GObp%GO:0043170,-0.29029777215499625,-0.8573577116065338,0.8333333333333334,0.8447785453067859,5733,17,Ctse;Lars2;Kcnq1ot1;Sphk1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Rpl39;Rpl35a;Ctsg;Elane;Prtn3;S100a8,Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Rpl39;Rpl35a;Ctsg;Elane;Prtn3;S100a8
organic substance metabolic process%GObp%GO:0071704,-0.2896149317513587,-0.8114291324635442,0.3333333333333333,0.9042056074766356,7458,23,Hbb-bt;Ctse;Lars2;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Rpl35a;Ctsg;Elane;Mpo;Alad;Prtn3;S100a8,Ctsg;Elane;Mpo;Alad;Prtn3;S100a8
biological_process%GOmf%GO:0008150,-0.3214135229483261,-0.75714285583384,0.8,0.908411214953271,9778,15,Hbb-bt;Ctse;Lars2;Sphk1;Gstp1;Cela1;Ube2c;Cox8a;Atp5j2;Arhgdib;Ctsg;Elane;Mpo;Prtn3;S100a8,Ctsg;Elane;Mpo;Prtn3;S100a8
cellular metabolic process%GObp%GO:0044237,0.21649721821873746,0.6408817557389297,1.0,0.912568306010929,6791,21,Hbb-bt;Car1;Lars2;Kcnq1ot1;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Rpl35a;Ctsg;Elane;Mpo;Alad;S100a8,Hbb-bt
metabolic process%GObp%GO:0008152,-0.2680658194449639,-0.7051865730261792,1.0,0.9219985621854782,7884,24,Hbb-bt;Car1;Ctse;Lars2;Kcnq1ot1;Tspo;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Rpl35a;Ctsg;Elane;Mpo;Alad;Prtn3;S100a8,Ctsg;Elane;Mpo;Alad;Prtn3;S100a8
nitrogen compound metabolic process%GObp%GO:0006807,-0.22133780242028334,-0.5627150823087635,1.0,0.9906542056074766,6123,21,Hbb-bt;Ctse;Lars2;Kcnq1ot1;Sphk1;Gstp1;Cela1;Ubl5;Ube2c;Sem1;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Rpl35a;Ctsg;Elane;Alad;Prtn3;S100a8,Ctsg;Elane;Alad;Prtn3;S100a8
protein-containing complex%GOcc%GO:0032991,0.3035848218186961,0.8531030698775787,0.5,1.0,5831,17,Hbb-bt;H2-Q7;Erh;Gstp1;Rps15a;Ube2c;Sem1;Cox8a;Mrpl52;Snrpf;Ost4;Atp5j2;Rpl39;Rpl35a;Lgals1;Rpl36al;Elane,Hbb-bt
