Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
biological regulation%GObp%GO:0065007,0.5448652874288938,2.5355150357499476,0.0,0.0,13279,29,Lcn2;Calr;Wdfy1;Hsp90aa1;Tspan32;Trim12a;Hspa5;Ciapin1;Manf;Psmb8;Hspd1;Eno1;Pdia6;Dnajc3;Sdf2l1;Cd34;Cacybp;H2-Q7;Tspo;Rpl23;Cox7a2;Rpl38;Rps26;Rps15a;Rps29;S100a11;S100a9;Lgals1;S100a8,Lcn2;Calr;Wdfy1;Hsp90aa1;Tspan32;Trim12a;Hspa5;Ciapin1;Manf;Psmb8;Hspd1;Eno1;Pdia6;Dnajc3;Sdf2l1;Cd34;Cacybp;H2-Q7;Tspo;Rpl23;Cox7a2;Rpl38;Rps26;Rps15a
intracellular non-membrane-bounded organelle%GOcc%GO:0043232,-0.5600339787581022,-2.4100033840492,0.0,0.0,4507,17,Trim12a;Ciapin1;Fau;Rps27;Rpl23;Rpl38;Rps26;Rps15a;Rpl34;Rpl37a;Rps29;Rpl35a;Rps28;S100a9;Rpl39;Rpl36al;S100a8,Fau;Rps27;Rpl23;Rpl38;Rps26;Rps15a;Rpl34;Rpl37a;Rps29;Rpl35a;Rps28;S100a9;Rpl39;Rpl36al;S100a8
non-membrane-bounded organelle%GOcc%GO:0043228,-0.5600339787581022,-2.556979650876118,0.0,0.0,4507,17,Trim12a;Ciapin1;Fau;Rps27;Rpl23;Rpl38;Rps26;Rps15a;Rpl34;Rpl37a;Rps29;Rpl35a;Rps28;S100a9;Rpl39;Rpl36al;S100a8,Fau;Rps27;Rpl23;Rpl38;Rps26;Rps15a;Rpl34;Rpl37a;Rps29;Rpl35a;Rps28;S100a9;Rpl39;Rpl36al;S100a8
protein binding%GOmf%GO:0005515,0.5172802107858911,2.111954294350952,0.0,0.0,9602,26,Lcn2;Calr;Wdfy1;Hsp90aa1;Trim12a;Hspa5;Ciapin1;Manf;Psmb8;Hspd1;Eno1;Dnajc3;Sdf2l1;Cd34;Cacybp;H2-Q7;Tspo;Fau;Rps27;Rpl23;S100a11;Sem1;S100a9;Rpl39;Lgals1;S100a8,Lcn2;Calr;Wdfy1;Hsp90aa1;Trim12a;Hspa5;Ciapin1;Manf;Psmb8;Hspd1;Eno1;Dnajc3;Sdf2l1;Cd34;Cacybp;H2-Q7;Tspo;Fau;Rps27;Rpl23
regulation of biological process%GObp%GO:0050789,0.5448652874288938,2.5367702113404675,0.0,0.0,12629,29,Lcn2;Calr;Wdfy1;Hsp90aa1;Tspan32;Trim12a;Hspa5;Ciapin1;Manf;Psmb8;Hspd1;Eno1;Pdia6;Dnajc3;Sdf2l1;Cd34;Cacybp;H2-Q7;Tspo;Rpl23;Cox7a2;Rpl38;Rps26;Rps15a;Rps29;S100a11;S100a9;Lgals1;S100a8,Lcn2;Calr;Wdfy1;Hsp90aa1;Tspan32;Trim12a;Hspa5;Ciapin1;Manf;Psmb8;Hspd1;Eno1;Pdia6;Dnajc3;Sdf2l1;Cd34;Cacybp;H2-Q7;Tspo;Rpl23;Cox7a2;Rpl38;Rps26;Rps15a
regulation of response to stimulus%GObp%GO:0048583,0.43663587118082536,2.176854215062495,0.0,0.0,4040,16,Calr;Wdfy1;Hsp90aa1;Tspan32;Trim12a;Hspa5;Manf;Hspd1;Eno1;Pdia6;Cd34;H2-Q7;Rpl23;S100a9;Lgals1;S100a8,Calr;Wdfy1;Hsp90aa1;Tspan32;Trim12a;Hspa5;Manf;Hspd1;Eno1;Pdia6
negative regulation of cellular process%GObp%GO:0048523,0.5014703653289171,1.8967366994058934,0.0,0.026415094339622643,5066,15,Lcn2;Calr;Tspan32;Hspa5;Ciapin1;Hspd1;Eno1;Pdia6;Dnajc3;Cd34;Cacybp;Tspo;Rpl23;Rps26;Lgals1,Lcn2;Calr;Tspan32;Hspa5;Ciapin1;Hspd1;Eno1;Pdia6;Dnajc3;Cd34;Cacybp;Tspo
multicellular organismal process%GObp%GO:0032501,0.3968052454499622,1.773281489264643,0.0,0.056603773584905655,7780,18,Lcn2;Erh;Hsp90aa1;Tspan32;Hspa5;Ciapin1;Manf;Hspd1;Eno1;Cd34;Cacybp;H2-Q7;Tspo;Rpl38;S100a11;S100a9;Lgals1;S100a8,Lcn2;Erh;Hsp90aa1;Tspan32;Hspa5;Ciapin1;Manf;Hspd1;Eno1;Cd34;Cacybp;H2-Q7;Tspo
response to stress%GObp%GO:0006950,0.40180358950292594,1.7840420416593374,0.0,0.0660377358490566,3342,17,Lcn2;Calr;Hsp90aa1;Tspan32;Trim12a;Hspa5;Manf;Hspd1;Dnajc3;Sdf2l1;H2-Q7;Tspo;Fau;Sem1;S100a9;Rpl39;S100a8,Lcn2;Calr;Hsp90aa1;Tspan32;Trim12a;Hspa5;Manf;Hspd1;Dnajc3;Sdf2l1;H2-Q7;Tspo;Fau
negative regulation of biological process%GObp%GO:0048519,0.538743093751158,1.7345140296427508,0.0,0.11556603773584906,5632,16,Lcn2;Calr;Tspan32;Trim12a;Hspa5;Ciapin1;Hspd1;Eno1;Pdia6;Dnajc3;Cd34;Cacybp;Tspo;Rpl23;Rps26;Lgals1,Lcn2;Calr;Tspan32;Trim12a;Hspa5;Ciapin1;Hspd1;Eno1;Pdia6;Dnajc3;Cd34;Cacybp;Tspo
