Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
amide biosynthetic process%GObp%GO:0043604,-0.4833411039085629,-2.4919902298162326,0.0,0.0,481,18,Etf1;Eif4b;Cers4;Lars2;Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1,Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1
vesicle%GOcc%GO:0031982,0.5089285714285706,2.679840158140967,0.0,0.0,2225,23,H2-Q7;Prtn3;Cd74;Wdfy1;H2-Q6;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Rabac1;Apoe;Cyp51;H2-Q4;Chic2;H2-K1;Usp8;Madd;Ldlr;H2-T23;Dtx3l;Sypl;Rab6b;H2-T22,H2-Q7;Prtn3;Cd74;Wdfy1;H2-Q6;H2-Eb1;Ndrg1;Slc2a3;H2-Ab1;Rabac1;Apoe;Cyp51;H2-Q4;Chic2;H2-K1;Usp8;Madd;Ldlr;H2-T23;Dtx3l;Sypl;Rab6b;H2-T22
translation%GObp%GO:0006412,-0.5311077257260098,-2.140576498154928,0.0,0.0,358,17,Etf1;Eif4b;Lars2;Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1,Eif3d;Rps29;Rpl38;Rplp1;Rpl28;Rps17;Rps26;Dars;Rpl39;Rpl35a;Rpl36;Rpl41;Rbm3;Rpl22l1
ribosome%GOcc%GO:0005840,-0.679397675045817,-2.821988891702821,0.0,0.0,234,15,Nufip2;Rps29;Rpl38;Rps15a;Rplp1;Rpl34;Rpl28;Rps17;Rps26;Rpl39;Rpl35a;Rpl36;Rps25;Rpl41;Rpl22l1,Rps29;Rpl38;Rps15a;Rplp1;Rpl34;Rpl28;Rps17;Rps26;Rpl39;Rpl35a;Rpl36;Rps25;Rpl41;Rpl22l1
ribonucleoprotein complex%GOcc%GO:1990904,-0.6278143286247352,-3.1870271539565738,0.0,0.0,838,22,Apobec3;Pabpn1;Nufip2;Rps29;Rpl38;Rps15a;Snrpd2;Hnrnpd;Rplp1;Rpl34;Rpl28;Snrpe;Rps17;Rps26;Rpl39;Rpl35a;Rpl36;Rps25;Nop10;Rpl41;Rbm3;Snrpf,Rps29;Rpl38;Rps15a;Snrpd2;Hnrnpd;Rplp1;Rpl34;Rpl28;Snrpe;Rps17;Rps26;Rpl39;Rpl35a;Rpl36;Rps25;Nop10;Rpl41;Rbm3;Snrpf
response to stimulus%GObp%GO:0050896,0.37798796330177376,2.685188277080468,0.0,0.0,9100,65,Trim12a;Iigp1;H2-Q7;Idi1;Jund;Tgm2;Cd74;Stat1;Apobec3;Gcnt2;Hmgcr;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Lmo2;Apoe;Trim56;Pcnt;Akap13;Trim34a;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2;Usp8;Plppr3;Cbfa2t3;Nfkb1;Ldlr;Uvssa;Camk2d;H2-T23;Dtx3l;Ddb1;H2-T22;Mcl1;Myb;Eps8;Atpif1;Rps15a;Hnrnpd;Crip1;Sem1;Rpl39;Ndufa13;Hint1;Lgals1;Cbx3;Rbm3;Alad;Pdcd4;Arhgdib,Trim12a;Iigp1;H2-Q7;Idi1;Jund;Tgm2;Cd74;Stat1;Apobec3;Gcnt2;Hmgcr;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Lmo2;Apoe;Trim56;Pcnt;Akap13;Trim34a;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2;Usp8
response to biotic stimulus%GObp%GO:0009607,0.49025887470581436,2.406587235500434,0.0,0.0,1616,23,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Trim56;Trim34a;Ptprc;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2;Nfkb1;Dtx3l;Rps15a;Rpl39;Pdcd4,Trim12a;Iigp1;H2-Q7;Cd74;Stat1;Apobec3;Tspan32;H2-Eb1;H2-Ab1;Ifi27;Trim56;Trim34a;Ptprc;Rgs1;H2-K1;Foxp1;Pabpn1;Akirin2
regulation of response to stimulus%GObp%GO:0048583,0.40239082099878515,2.333453371092082,0.0,0.0,4040,44,Trim12a;H2-Q7;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Tspan32;Hipk1;H2-Q6;H2-Ab1;Osbpl8;Apoe;Trim56;Akap13;Trim34a;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Akirin2;Usp8;Slc35c2;Madd;Nfkb1;Ldlr;Fdps;Camk2d;H2-T23;Dtx3l;H2-T22;Aplp2;Mcl1;Myb;Eps8;Hint1;Lgals1;Pdcd4;Arhgdib,Trim12a;H2-Q7;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Tspan32;Hipk1;H2-Q6;H2-Ab1;Osbpl8;Apoe;Trim56;Akap13;Trim34a;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Akirin2;Usp8;Slc35c2;Madd;Nfkb1;Ldlr;Fdps;Camk2d;H2-T23;Dtx3l
regulation of immune system process%GObp%GO:0002682,0.5422455910150734,2.347287713923418,0.0,0.0,1587,26,Trim12a;H2-Q7;Jund;Cd74;Stat1;Ctla2a;Wdfy1;Mpl;Tspan32;H2-Q6;H2-Eb1;H2-Ab1;Lmo2;Apoe;Trim56;Gpr171;Ptprc;H2-Q4;H2-K1;Foxp1;Akirin2;Ldlr;H2-T23;H2-T22;Myb;Lgals1,Trim12a;H2-Q7;Jund;Cd74;Stat1;Ctla2a;Wdfy1;Mpl;Tspan32;H2-Q6;H2-Eb1;H2-Ab1;Lmo2;Apoe;Trim56;Gpr171;Ptprc;H2-Q4;H2-K1;Foxp1;Akirin2
regulation of immune response%GObp%GO:0050776,0.5138649172237157,2.6530545569644057,0.0,0.0,997,16,Trim12a;H2-Q7;Cd74;Wdfy1;H2-Q6;H2-Ab1;Apoe;Trim56;Ptprc;H2-Q4;H2-K1;Foxp1;Akirin2;H2-T23;H2-T22;Myb,Trim12a;H2-Q7;Cd74;Wdfy1;H2-Q6;H2-Ab1;Apoe;Trim56;Ptprc;H2-Q4;H2-K1;Foxp1;Akirin2
regulation of biological process%GObp%GO:0050789,0.43740241620367243,2.5333671444420536,0.0,0.0,12629,87,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Psmb8;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Pcnt;Akap13;Trim34a;Nfe2;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8;Slc35c2;Plppr3;Cbfa2t3;Madd;Nfkb1;Ldlr;Fdps;Camk2d;H2-T23;Dtx3l;Gon4l;Ddb1;H2-T22;Tpst2;Aplp2;Mcl1;Myb;Smarca2;Eif3d;Eps8;Atpif1;Rps29;Rpl38;Rps15a;Hnrnpd;Crip1;Rplp1;Cks2;Rps26;Ndufa13;Cox7a2;Hint1;Lgals1;Cbx3;S100a11;Rbm3;Alad;Pdcd4;Arhgdib,Trim12a;Iigp1;H2-Q7;Jund;Prtn3;Tgm2;Cd74;Stat1;Apobec3;Ctla2a;Gcnt2;Hmgcr;Wdfy1;Mpl;Tspan32;Hipk1;H2-Q6;Shisa5;Ltb;H2-Eb1;Ndrg1;H2-Ab1;Ifi27;Psmb8;Osbpl8;Etf1;Lmo2;Apoe;Trim56;Hlf;Tsc22d1;Cyp51;Pcnt;Akap13;Trim34a;Nfe2;Gpr171;Ptprc;Rap1b;Tnfsf10;H2-Q4;Rgs1;H2-K1;Foxp1;Pabpn1;Sptan1;Akirin2;Usp8
