Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
biological regulation%GObp%GO:0065007,0.33256614589981764,2.0070896566960887,0.0,0.0,13279,78,Plac8;Trim12a;Ifngr1;H2-Q6;Jun;Ube2b;Mllt10;Gnb4;Rpl13a;Itga4;Ptpre;Vim;Ogt;Scin;Ccdc88a;H2-Q7;Rsu1;Msn;Stom;Gadd45a;Raf1;Tspo;Aqp1;Ash1l;Smap2;Smc4;Ttc3;Abcb4;Ddx6;Rpl5;Akirin1;Tspo2;Zfp217;Samd14;Ndrg1;Npc2;Ppp4r2;Top2b;Runx3;Pik3ip1;Myb;Zbtb1;Trim34a;Krit1;Gclm;H2-Q4;Arid4a;Jak2;Acaa2;Patz1;Ehmt2;Macf1;Atp8a1;Letm2;Cdk19;Tspan32;Kdm5a;Spn;Mosmo;Trib2;Pabpn1;S100a10;Rps7;Dnase2a;Capza2;Adgrg1;Slc25a4;Rbm3;Hells;Ndufa4;Txn1;Elane;Rfc2;Dbi;Prtn3;Ctsg;Alad;Lgals1,Plac8;Trim12a;Ifngr1;H2-Q6;Jun;Ube2b;Mllt10;Gnb4;Rpl13a;Itga4;Ptpre;Vim;Ogt;Scin;Ccdc88a;H2-Q7;Rsu1;Msn;Stom;Gadd45a;Raf1;Tspo;Aqp1;Ash1l;Smap2;Smc4;Ttc3;Abcb4;Ddx6;Rpl5;Akirin1;Tspo2;Zfp217;Samd14;Ndrg1;Npc2;Ppp4r2;Top2b;Runx3;Pik3ip1;Myb;Zbtb1;Trim34a;Krit1;Gclm;H2-Q4;Arid4a;Jak2;Acaa2;Patz1;Ehmt2;Macf1;Atp8a1;Letm2;Cdk19;Tspan32;Kdm5a;Spn;Mosmo;Trib2
signaling%GObp%GO:0023052,0.4849978279210979,2.1839516198113746,0.0,0.0,5459,20,Ifngr1;Jun;Gnb4;Itga4;Ptpre;Vim;Ogt;Ccdc88a;Rsu1;Gadd45a;Raf1;Aqp1;Samd14;Ndrg1;Jak2;Macf1;Tspan32;Spn;Pabpn1;Adgrg1,Ifngr1;Jun;Gnb4;Itga4;Ptpre;Vim;Ogt;Ccdc88a;Rsu1;Gadd45a;Raf1;Aqp1
signal transduction%GObp%GO:0007165,0.4849978279210979,2.71821873173437,0.0,0.0,5130,20,Ifngr1;Jun;Gnb4;Itga4;Ptpre;Vim;Ogt;Ccdc88a;Rsu1;Gadd45a;Raf1;Aqp1;Samd14;Ndrg1;Jak2;Macf1;Tspan32;Spn;Pabpn1;Adgrg1,Ifngr1;Jun;Gnb4;Itga4;Ptpre;Vim;Ogt;Ccdc88a;Rsu1;Gadd45a;Raf1;Aqp1
response to stimulus%GObp%GO:0050896,0.28454635684503615,2.059071156137731,0.0,0.0,9100,50,Plac8;Trim12a;Ifngr1;H2-Q6;Jun;Ube2b;Gnb4;Rpl13a;Itga4;Ptpre;Vim;Ogt;Ccdc88a;H2-Q7;Rsu1;Msn;Gadd45a;Raf1;Tspo;Aqp1;Smc4;Abcb4;Samd14;Ndrg1;Runx3;Myb;Zbtb1;Trim34a;Gclm;H2-Q4;Jak2;Acaa2;Ehmt2;Macf1;Tspan32;Spn;Pabpn1;S100a10;Rpl39;Rpl36al;Adgrg1;Rbm3;Hells;Txn1;Elane;Rfc2;Dbi;Ctsg;Alad;Lgals1,Plac8;Trim12a;Ifngr1;H2-Q6;Jun;Ube2b;Gnb4;Rpl13a;Itga4;Ptpre;Vim;Ogt;Ccdc88a;H2-Q7;Rsu1;Msn;Gadd45a;Raf1;Tspo;Aqp1
regulation of cellular process%GObp%GO:0050794,0.2748803973294119,2.049346788845172,0.0,0.0,12039,72,Plac8;Trim12a;Ifngr1;H2-Q6;Jun;Ube2b;Mllt10;Gnb4;Rpl13a;Itga4;Ptpre;Vim;Ogt;Scin;Ccdc88a;H2-Q7;Rsu1;Msn;Stom;Gadd45a;Raf1;Tspo;Aqp1;Ash1l;Smc4;Ttc3;Abcb4;Ddx6;Rpl5;Akirin1;Zfp217;Samd14;Ndrg1;Ppp4r2;Runx3;Pik3ip1;Myb;Zbtb1;Trim34a;Krit1;Gclm;H2-Q4;Arid4a;Jak2;Acaa2;Patz1;Ehmt2;Macf1;Atp8a1;Cdk19;Tspan32;Kdm5a;Spn;Mosmo;Trib2;Pabpn1;S100a10;Rps7;Capza2;Adgrg1;Slc25a4;Rbm3;Hells;Ndufa4;Txn1;Elane;Rfc2;Dbi;Prtn3;Ctsg;Alad;Lgals1,Plac8;Trim12a;Ifngr1;H2-Q6;Jun;Ube2b;Mllt10;Gnb4;Rpl13a;Itga4;Ptpre;Vim;Ogt;Scin;Ccdc88a;H2-Q7;Rsu1;Msn;Stom;Gadd45a;Raf1;Tspo;Aqp1;Ash1l;Smc4;Ttc3;Abcb4;Ddx6;Rpl5;Akirin1;Zfp217;Samd14;Ndrg1;Ppp4r2;Runx3;Pik3ip1;Myb;Zbtb1;Trim34a;Krit1;Gclm;H2-Q4;Arid4a;Jak2;Acaa2;Patz1;Ehmt2;Macf1;Atp8a1;Cdk19;Tspan32;Kdm5a;Spn;Mosmo;Trib2
regulation of RNA metabolic process%GObp%GO:0051252,0.2722658294391792,1.9391166848558794,0.0,0.0,3590,25,Plac8;Trim12a;Jun;Mllt10;Vim;Ogt;Gadd45a;Raf1;Ash1l;Akirin1;Zfp217;Runx3;Myb;Zbtb1;Trim34a;Arid4a;Jak2;Patz1;Ehmt2;Kdm5a;Trib2;S100a10;Rbm3;Txn1;Elane,Plac8;Trim12a;Jun;Mllt10;Vim;Ogt;Gadd45a;Raf1;Ash1l;Akirin1;Zfp217;Runx3;Myb;Zbtb1;Trim34a;Arid4a;Jak2;Patz1;Ehmt2
organonitrogen compound biosynthetic process%GObp%GO:1901566,-0.4905029676624659,-2.2414371962797834,0.0,0.0,1152,19,Rpl13a;Ogt;Rpl5;Acss2;Gclm;Rps7;Rpl39;Rps28;Atp5j2;Rpl35a;Atp5l;Rpl41;Ost4;Rpl22l1;Rbm3;Krtcap2;Elane;Atp5e;Alad,Rpl39;Rps28;Atp5j2;Rpl35a;Atp5l;Rpl41;Ost4;Rpl22l1;Rbm3;Krtcap2;Elane;Atp5e;Alad
organelle lumen%GOcc%GO:0043233,0.3638524252739676,1.9850568764787062,0.0,0.0,4501,35,Trim12a;Jun;Mllt10;Ogt;Gadd45a;Raf1;Ash1l;Smc4;Ttc3;Abcb4;Ddx6;Rpl5;Akirin1;Zfp217;Ppp4r2;Top2b;Acss2;Runx3;Myb;Zbtb1;Trim34a;Mdn1;Arid4a;Oat;Jak2;Acaa2;Tgoln1;Patz1;Ehmt2;Rps7;Ccdc86;Rps25;Rbm3;Txn1;Prtn3,Trim12a;Jun;Mllt10;Ogt;Gadd45a;Raf1;Ash1l;Smc4;Ttc3;Abcb4;Ddx6;Rpl5;Akirin1;Zfp217;Ppp4r2;Top2b;Acss2;Runx3;Myb;Zbtb1;Trim34a;Mdn1;Arid4a;Oat;Jak2;Acaa2;Tgoln1;Patz1;Ehmt2
nucleoplasm%GOcc%GO:0005654,0.4493161305301187,2.5013128839106042,0.0,0.0,3606,30,Trim12a;Jun;Mllt10;Ogt;Gadd45a;Raf1;Ash1l;Smc4;Ttc3;Abcb4;Rpl5;Akirin1;Zfp217;Ppp4r2;Top2b;Acss2;Runx3;Myb;Zbtb1;Trim34a;Mdn1;Arid4a;Oat;Jak2;Tgoln1;Patz1;Ehmt2;Ccdc86;Rbm3;Txn1,Trim12a;Jun;Mllt10;Ogt;Gadd45a;Raf1;Ash1l;Smc4;Ttc3;Abcb4;Rpl5;Akirin1;Zfp217;Ppp4r2;Top2b;Acss2;Runx3;Myb;Zbtb1;Trim34a;Mdn1;Arid4a;Oat;Jak2;Tgoln1;Patz1;Ehmt2
regulation of RNA biosynthetic process%GObp%GO:2001141,0.30164483798138536,1.9237621042949284,0.0,0.0,3283,23,Plac8;Trim12a;Jun;Mllt10;Ogt;Gadd45a;Raf1;Ash1l;Akirin1;Zfp217;Runx3;Myb;Zbtb1;Trim34a;Arid4a;Jak2;Patz1;Ehmt2;Kdm5a;Trib2;S100a10;Txn1;Elane,Plac8;Trim12a;Jun;Mllt10;Ogt;Gadd45a;Raf1;Ash1l;Akirin1;Zfp217;Runx3;Myb;Zbtb1;Trim34a;Arid4a;Jak2;Patz1;Ehmt2;Kdm5a;Trib2;S100a10
