Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
organelle organization%GObp%GO:0006996,0.25,inf,,0.0,3274,15,Tspan32;Jun;Bcl2;Gclm;Kcnq1ot1;Ndufa2;Hmgb2;Cenpw;Tubb5;Tuba1b;Top2a;Cox7a2;Cenpa;Cks2;Tpm4,Tspan32;Jun;Bcl2;Gclm;Kcnq1ot1;Ndufa2;Hmgb2;Cenpw;Tubb5;Tuba1b;Top2a;Cox7a2;Cenpa;Cks2;Tpm4
positive regulation of cellular process%GObp%GO:0048522,0.32638809972974187,1.4247245440687955,0.0,0.11290322580645162,6069,15,Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7;H2-T22;Hmgb2;Rbm3;Ucp2;Top2a;S100a8;Ctsg;Lgals1;Elane,Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7
endomembrane system%GOcc%GO:0012505,0.30823489667109805,1.4253629683386575,0.0,0.1317204301075269,4128,16,Ndrg1;Wdfy1;Trim12a;Bcl2;H2-Q7;Gdpd3;Bst2;H2-T22;Sec61g;Ost4;Tubb5;Rpl41;Rpl36al;Pf4;Ctsg;Elane,Ndrg1;Wdfy1;Trim12a;Bcl2;H2-Q7;Gdpd3;Bst2
regulation of cellular process%GObp%GO:0050794,0.29098788516346985,1.4284492678436285,0.0,0.15806451612903227,12039,26,Ndrg1;Tspan32;Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7;Bst2;Gclm;H2-T22;Kcnq1ot1;Hmgb2;Rbm3;Ucp2;Tubb5;Top2a;Cox7a2;S100a8;Cks2;Pf4;Alad;Ctsg;Arhgdib;Lgals1;Elane,Ndrg1;Tspan32;Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7
nucleus%GOcc%GO:0005634,0.3427812197332413,1.640348539934233,0.0,0.16935483870967744,7352,18,Ndrg1;Wdfy1;Jund;Jun;Trim12a;Bcl2;Erh;Pgam1;Hmgb2;Rbm3;Cenpw;Tubb5;Top2a;Cenpa;Snrpe;Rpl36al;Ctsg;Lgals1,Ndrg1;Wdfy1;Jund;Jun;Trim12a;Bcl2;Erh
catalytic activity%GOmf%GO:0003824,-0.42121936589914943,-1.6919659907199793,0.0,0.18681318681318684,5613,20,Trim12a;Gdpd3;Gclm;Ndufa2;Pgam1;Atp5k;Cox7b;Tubb5;Uqcrq;Tuba1b;Cox6c;Top2a;Cox7a2;Uqcr11;Atp5e;Alad;Ctsg;Arhgdib;Elane;Echdc2,Tubb5;Uqcrq;Tuba1b;Cox6c;Top2a;Cox7a2;Uqcr11;Atp5e;Alad;Ctsg;Arhgdib;Elane;Echdc2
cellular response to stimulus%GObp%GO:0051716,0.3364660854630911,1.5260177109487894,0.0,0.18817204301075272,7203,15,Ndrg1;Tspan32;Jund;Jun;Bcl2;H2-Q7;Gclm;Hmgb2;Tuba1b;Top2a;S100a8;Pf4;Alad;Ctsg;Arhgdib,Ndrg1;Tspan32;Jund;Jun;Bcl2;H2-Q7
integral component of membrane%GOcc%GO:0016021,0.3464519283823905,1.4318365983418118,0.16666666666666666,0.19758064516129034,5968,16,Tspan32;Bcl2;H2-Q7;Gdpd3;Bst2;Slc14a1;Ndufa2;Sec61g;Cox7b;Uqcrb;Ucp2;Ost4;Uqcrq;Cox6c;Cox7a2;Uqcr11,Tspan32;Bcl2;H2-Q7;Gdpd3;Bst2;Slc14a1;Ndufa2;Sec61g;Cox7b;Uqcrb;Ucp2;Ost4;Uqcrq;Cox6c;Cox7a2
localization%GObp%GO:0051179,-0.33523212196544017,-1.5753953773369713,0.0,0.2490842490842491,5100,15,Tspan32;Bcl2;Slc14a1;Kcnq1ot1;Hmgb2;Sec61g;Atp5k;Ucp2;S100a8;Cenpa;Atp5e;Pf4;Ctsg;Lgals1;Elane,Atp5e;Pf4;Ctsg;Lgals1;Elane
response to stimulus%GObp%GO:0050896,-0.34300459250485194,-1.7705875039628383,0.0,0.2802197802197802,9100,23,Ndrg1;Tspan32;Jund;Jun;Trim12a;Bcl2;H2-Q7;Bst2;Gclm;H2-T22;Hmgb2;Rbm3;Ucp2;Tuba1b;Top2a;S100a8;Rpl36al;Pf4;Alad;Ctsg;Arhgdib;Lgals1;Elane,Rpl36al;Pf4;Alad;Ctsg;Arhgdib;Lgals1;Elane
regulation of biological process%GObp%GO:0050789,0.29098788516346985,1.324312963595091,0.0,0.33870967741935487,12629,26,Ndrg1;Tspan32;Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7;Bst2;Gclm;H2-T22;Kcnq1ot1;Hmgb2;Rbm3;Ucp2;Tubb5;Top2a;Cox7a2;S100a8;Cks2;Pf4;Alad;Ctsg;Arhgdib;Lgals1;Elane,Ndrg1;Tspan32;Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7
developmental process%GObp%GO:0032502,0.2984389446306133,1.2586423068723214,0.2,0.37258064516129036,5960,17,Ndrg1;Jund;Jun;Bcl2;H2-Q7;Erh;Myl6;Kcnq1ot1;Ndufa2;Hmgb2;Cox7b;Tubb5;Uqcrq;Top2a;S100a8;Cks2;Lgals1,Ndrg1;Jund;Jun;Bcl2;H2-Q7;Erh
multicellular organismal process%GObp%GO:0032501,0.296950282143852,1.1533807264566314,0.4,0.39950372208436724,7780,20,Ndrg1;Tspan32;Jund;Jun;Bcl2;H2-Q7;Erh;Myl6;Gclm;Ndufa2;Hmgb2;Cox7b;Uqcrq;Top2a;S100a8;Cks2;Tpm4;Pf4;Ctsg;Lgals1,Ndrg1;Tspan32;Jund;Jun;Bcl2;H2-Q7;Erh
biological regulation%GObp%GO:0065007,0.29098788516346985,1.2225054538731437,0.3333333333333333,0.4002932551319648,13279,26,Ndrg1;Tspan32;Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7;Bst2;Gclm;H2-T22;Kcnq1ot1;Hmgb2;Rbm3;Ucp2;Tubb5;Top2a;Cox7a2;S100a8;Cks2;Pf4;Alad;Ctsg;Arhgdib;Lgals1;Elane,Ndrg1;Tspan32;Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7
intrinsic component of membrane%GOcc%GO:0031224,0.3464519283823905,1.2631324749161617,0.2,0.40143369175627247,6154,16,Tspan32;Bcl2;H2-Q7;Gdpd3;Bst2;Slc14a1;Ndufa2;Sec61g;Cox7b;Uqcrb;Ucp2;Ost4;Uqcrq;Cox6c;Cox7a2;Uqcr11,Tspan32;Bcl2;H2-Q7;Gdpd3;Bst2;Slc14a1;Ndufa2;Sec61g;Cox7b;Uqcrb;Ucp2;Ost4;Uqcrq;Cox6c;Cox7a2
organelle membrane%GOcc%GO:0031090,0.26850694400080816,1.1747212950356873,0.0,0.42338709677419356,2340,17,Ndrg1;Bcl2;H2-Q7;Gdpd3;H2-T22;Ndufa2;Sec61g;Atp5k;Cox7b;Uqcrb;Ucp2;Ost4;Uqcrq;Cox6c;Cox7a2;Uqcr11;Atp5e,Ndrg1;Bcl2;H2-Q7;Gdpd3;H2-T22;Ndufa2;Sec61g;Atp5k;Cox7b;Uqcrb;Ucp2;Ost4;Uqcrq;Cox6c;Cox7a2
anatomical structure development%GObp%GO:0048856,0.2665923729644498,1.093178393162674,0.0,0.44354838709677424,5516,16,Ndrg1;Jund;Jun;Bcl2;H2-Q7;Myl6;Kcnq1ot1;Ndufa2;Hmgb2;Cox7b;Tubb5;Uqcrq;Top2a;S100a8;Cks2;Lgals1,Ndrg1;Jund;Jun;Bcl2;H2-Q7
positive regulation of biological process%GObp%GO:0048518,0.32638809972974187,1.0796307644389829,0.0,0.44408602150537635,6622,15,Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7;H2-T22;Hmgb2;Rbm3;Ucp2;Top2a;S100a8;Ctsg;Lgals1;Elane,Wdfy1;Jund;Jun;Trim12a;Bcl2;H2-Q7
non-membrane-bounded organelle%GOcc%GO:0043228,-0.3079542591930715,-1.4393398586954878,0.0,0.5837912087912088,4507,16,Ndrg1;Jun;Trim12a;Myl6;Hmgb2;Cenpw;Tubb5;Tuba1b;Rpl41;Top2a;S100a8;Cenpa;Rpl22l1;Tpm4;Rpl36al;Ctsg,Cenpw;Tubb5;Tuba1b;Rpl41;Top2a;S100a8;Cenpa;Rpl22l1;Tpm4;Rpl36al;Ctsg
nitrogen compound metabolic process%GObp%GO:0006807,0.1659597256217261,0.9301868577652808,0.5,0.6836917562724015,6123,22,Tspan32;Jund;Jun;Trim12a;Bcl2;Gdpd3;Gclm;Kcnq1ot1;Pgam1;Hmgb2;Rbm3;Atp5k;Ost4;Rpl41;Top2a;S100a8;Snrpe;Rpl22l1;Atp5e;Alad;Ctsg;Elane,Tspan32;Jund;Jun;Trim12a;Bcl2
membrane%GOcc%GO:0016020,0.177755442316903,0.9564034319708343,0.75,0.6844758064516129,9651,28,Ndrg1;Tspan32;Jun;Bcl2;H2-Q7;Erh;Gdpd3;Bst2;H2-T22;Slc14a1;Ndufa2;Sec61g;Atp5k;Cox7b;Uqcrb;Ucp2;Ost4;Tubb5;Uqcrq;Tuba1b;Cox6c;Cox7a2;S100a8;Uqcr11;Atp5e;Rpl36al;Ctsg;Arhgdib,Ndrg1;Tspan32;Jun;Bcl2;H2-Q7;Erh;Gdpd3;Bst2;H2-T22;Slc14a1;Ndufa2;Sec61g;Atp5k;Cox7b;Uqcrb;Ucp2;Ost4;Tubb5;Uqcrq;Tuba1b;Cox6c;Cox7a2;S100a8
membrane protein complex%GOcc%GO:0098796,0.23150744264143652,0.9304031459160116,1.0,0.7239089184060722,1219,15,Tspan32;Bcl2;H2-Q7;H2-T22;Ndufa2;Sec61g;Atp5k;Cox7b;Uqcrb;Ost4;Uqcrq;Cox6c;Cox7a2;Uqcr11;Atp5e,Tspan32;Bcl2;H2-Q7;H2-T22;Ndufa2;Sec61g;Atp5k;Cox7b;Uqcrb;Ost4;Uqcrq;Cox6c;Cox7a2
response to stress%GObp%GO:0006950,0.25450641774042887,0.881372390130381,0.6666666666666666,0.7249575551782682,3342,15,Tspan32;Jun;Trim12a;Bcl2;H2-Q7;Bst2;Gclm;Hmgb2;Rbm3;Ucp2;Top2a;S100a8;Pf4;Ctsg;Elane,Tspan32;Jun;Trim12a;Bcl2;H2-Q7;Bst2;Gclm
macromolecule metabolic process%GObp%GO:0043170,0.2684499701175195,0.7830500800540144,0.6666666666666666,0.8467741935483871,5733,16,Tspan32;Jund;Jun;Trim12a;Bcl2;Kcnq1ot1;Hmgb2;Rbm3;Ost4;Rpl41;Top2a;S100a8;Snrpe;Rpl22l1;Ctsg;Elane,Tspan32;Jund;Jun;Trim12a;Bcl2
negative regulation of cellular process%GObp%GO:0048523,-0.4014212292070068,-1.3276410823117633,0.2,0.9340659340659341,5066,15,Ndrg1;Tspan32;Jund;Jun;Bcl2;Bst2;Gclm;Hmgb2;Ucp2;Top2a;Alad;Ctsg;Arhgdib;Lgals1;Elane,Alad;Ctsg;Arhgdib;Lgals1;Elane
regulation of response to stimulus%GObp%GO:0048583,-0.3383294894943469,-1.0765404040270663,0.16666666666666666,0.94843617920541,4040,15,Tspan32;Wdfy1;Jun;Trim12a;Bcl2;H2-Q7;Gclm;H2-T22;Hmgb2;Ucp2;S100a8;Ctsg;Arhgdib;Lgals1;Elane,Ctsg;Arhgdib;Lgals1;Elane
