Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
cell communication%GObp%GO:0007154,0.3945490799458449,2.091260601192381,0.0,0.0,5573,23,Cdk6;Bcl2;Ndrg1;Nkg7;Tspan32;Rpa2;Chchd10;Abl1;Hspa5;Msh2;Hras;Nisch;Clspn;Gpr171;Fkbp4;Gnb4;Cd27;Cul3;Map2k3;Hus1;Tm2d1;Crip1;Racgap1,Cdk6;Bcl2;Ndrg1;Nkg7;Tspan32;Rpa2;Chchd10;Abl1;Hspa5;Msh2;Hras;Nisch;Clspn;Gpr171
enzyme binding%GOmf%GO:0019899,0.35820988154930195,2.0806421931962316,0.0,0.0,2327,33,Trim12a;Bcl2;Ndrg1;Calr;Rfc2;Rpa2;Gclm;Slc25a5;Abl1;Cycs;Hspa5;Rabgap1l;Wdr76;Jund;Hsp90aa1;Hspa9;Msh2;Nisch;Nop56;Dynll1;Sdf2l1;Slc25a4;Snu13;Trim34a;Cul3;Map2k3;Rpl5;Mndal;Rpl23;Anxa5;Elane;Racgap1;Ube2c,Trim12a;Bcl2;Ndrg1;Calr;Rfc2;Rpa2;Gclm;Slc25a5;Abl1;Cycs;Hspa5;Rabgap1l;Wdr76;Jund;Hsp90aa1;Hspa9;Msh2;Nisch
positive regulation of molecular function%GObp%GO:0044093,0.4666393035140648,2.7279575152354973,0.0,0.0,1491,18,Trim12a;Bcl2;Rfc2;Gclm;Abl1;Cycs;Rabgap1l;Hsp90aa1;Ahsa1;Msh2;Hras;Clspn;Slc25a4;Trim34a;Map2k3;Rpl5;Hmgb2;Ube2s,Trim12a;Bcl2;Rfc2;Gclm;Abl1;Cycs;Rabgap1l;Hsp90aa1;Ahsa1;Msh2;Hras;Clspn
protein-containing complex binding%GOmf%GO:0044877,0.3227624442511121,2.1680358418396417,0.0,0.0,1575,23,Hbb-bt;Bcl2;Calr;Gclm;Abl1;Hspa5;Ybx3;Msh2;Ppp4c;Hras;Nisch;Clspn;Cd63;Dynll1;Gnb4;Psmb9;H2-Q7;Ung;Ssrp1;Uqcrh;Rbm3;Ube2s;Sec61g,Hbb-bt;Bcl2;Calr;Gclm;Abl1;Hspa5;Ybx3;Msh2;Ppp4c;Hras;Nisch;Clspn;Cd63
regulation of catalytic activity%GObp%GO:0050790,0.39531522573723277,2.1482420037017818,0.0,0.0,1882,18,Bcl2;Rfc2;Psmb8;Gclm;Abl1;Cycs;Rabgap1l;Hsp90aa1;Msh2;Hras;Clspn;Psmb9;Rrp1b;Map2k3;Rpl5;Rpl23;Hmgb2;Ube2s,Bcl2;Rfc2;Psmb8;Gclm;Abl1;Cycs;Rabgap1l;Hsp90aa1;Msh2;Hras;Clspn
regulation of immune system process%GObp%GO:0002682,0.45191297943933423,2.2146231734058257,0.0,0.0,1587,19,Trim12a;Cdk6;Bcl2;Calr;Tspan32;Wdfy1;Abl1;Jund;Hsp90aa1;Hspa9;Msh2;Hras;Gpr171;Cd27;H2-Q7;Mndal;Hmgb2;Elane;Lgals1,Trim12a;Cdk6;Bcl2;Calr;Tspan32;Wdfy1;Abl1;Jund;Hsp90aa1;Hspa9;Msh2;Hras;Gpr171
regulation of response to stimulus%GObp%GO:0048583,0.39887348964595415,2.435950597953394,0.0,0.0,4040,34,Trim12a;Cdk6;Bcl2;Nkg7;Calr;Tspan32;Wdfy1;Igfbp4;Rpa2;Gclm;Slc25a5;Abl1;Hspa5;Wdr76;Ybx3;Hsp90aa1;Msh2;Ppp4c;Hras;Cd63;Slc25a4;Cd27;Trim34a;H2-Q7;Cul3;Map2k3;Rpl5;Mndal;Rpl23;Hmgb2;Anxa5;Elane;Trim59;Lgals1,Trim12a;Cdk6;Bcl2;Nkg7;Calr;Tspan32;Wdfy1;Igfbp4;Rpa2;Gclm;Slc25a5;Abl1;Hspa5;Wdr76;Ybx3;Hsp90aa1;Msh2;Ppp4c;Hras
regulation of response to stress%GObp%GO:0080134,0.4769222714093719,2.4744136405260972,0.0,0.0,1377,16,Trim12a;Cdk6;Nkg7;Tspan32;Rpa2;Abl1;Wdr76;Ybx3;Hsp90aa1;Ppp4c;Hras;Cd27;Mndal;Hmgb2;Anxa5;Lgals1,Trim12a;Cdk6;Nkg7;Tspan32;Rpa2;Abl1;Wdr76;Ybx3;Hsp90aa1;Ppp4c;Hras
regulation of signal transduction%GObp%GO:0009966,0.41327240224646444,2.2561200185133514,0.0,0.0,2926,24,Trim12a;Bcl2;Calr;Wdfy1;Igfbp4;Rpa2;Gclm;Slc25a5;Abl1;Hspa5;Wdr76;Ybx3;Hsp90aa1;Hras;Cd63;Slc25a4;Cd27;Trim34a;Cul3;Map2k3;Rpl5;Rpl23;Hmgb2;Trim59,Trim12a;Bcl2;Calr;Wdfy1;Igfbp4;Rpa2;Gclm;Slc25a5;Abl1;Hspa5;Wdr76;Ybx3;Hsp90aa1
purine ribonucleotide binding%GOmf%GO:0032555,0.3632717890433741,1.861603677377796,0.0,0.007285564067898452,1811,16,Cdk6;Rfc2;Abl1;Hspa5;Lars2;Hsp90aa1;Gnl3;Hspa9;Msh2;Hras;Fkbp4;Map2k3;Cct5;Ube2s;Gimap6;Ube2c,Cdk6;Rfc2;Abl1;Hspa5;Lars2;Hsp90aa1;Gnl3;Hspa9;Msh2;Hras
