Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
amide biosynthetic process%GObp%GO:0043604,-0.64029205842584,-2.781752488945029,0.0,0.0,481,15,Lars2;Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Elane,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Elane
ribosome%GOcc%GO:0005840,-0.7272727272727274,-2.8723525196050446,0.0,0.0,234,15,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rps25;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Rpl36al,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rps25;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Rpl36al
ribonucleoprotein complex%GOcc%GO:1990904,-0.6810439771321711,-4.084191832003004,0.0,0.0,838,18,Zfp36;Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Snrpd2;Rps25;Rpl28;Rpl39;Rps29;Rps17;Snrpf;Rpl35a;Snrpe;Rpl41;Rps26;Rpl36al,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Snrpd2;Rps25;Rpl28;Rpl39;Rps29;Rps17;Snrpf;Rpl35a;Snrpe;Rpl41;Rps26;Rpl36al
response to other organism%GObp%GO:0051707,0.2780006794930591,2.15428134444752,0.0,0.0,1575,27,Trim12a;H2-Q7;H2-Eb1;Iigp1;Trim34a;Ly6a;Tspan32;Trim5;Zfp36;Ifi44;Stat1;Herc6;Gstp1;H2-K1;Igtp;Cd74;Stxbp4;Pou2f2;Mtdh;Ighm;Bst2;Mndal;Rpl39;Mif;Mpo;Elane;Ctsg,Trim12a;H2-Q7;H2-Eb1;Iigp1;Trim34a;Ly6a;Tspan32;Trim5;Zfp36;Ifi44;Stat1;Herc6;Gstp1;H2-K1
peptide biosynthetic process%GObp%GO:0043043,-0.64029205842584,-2.569339194870113,0.0,0.0,379,15,Lars2;Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Elane,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Elane
organonitrogen compound biosynthetic process%GObp%GO:1901566,-0.5892101465700964,-2.021491122047568,0.0,0.0,1152,20,Lars2;Gstp1;Igtp;Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Ost4;Atp5g1;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Atpif1;Elane,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Ost4;Atp5g1;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Atpif1;Elane
peptide metabolic process%GObp%GO:0006518,-0.4072105018596599,-2.0772722969067234,0.0,0.0,524,17,Hbb-bt;Lars2;Gstp1;Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Elane,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26;Elane
membrane%GOcc%GO:0016020,0.3477339159365629,2.2364204459685633,0.0,0.0,9651,42,H2-Q7;H2-Eb1;Clec2d;Iigp1;Ly6a;Tspan32;Tap1;Shisa5;H2-DMa;Rab6b;H2-Q4;Jun;Gm4951;Lamp2;H2-T22;Arhgap45;Gstp1;H2-K1;Scd2;Ltb;Igtp;Adgrl4;H2-Q6;Rasa4;Cd74;Mtdh;Plek;Ighm;Lcp1;Numa1;Cd44;Kdelr1;Bst2;Uqcr11;Cox6c;Ost4;Sec61g;Atp5g1;Uqcrb;Mif;Rpl36al;Ctsg,H2-Q7;H2-Eb1;Clec2d;Iigp1;Ly6a;Tspan32;Tap1;Shisa5;H2-DMa;Rab6b;H2-Q4;Jun;Gm4951;Lamp2;H2-T22;Arhgap45;Gstp1;H2-K1;Scd2;Ltb;Igtp;Adgrl4;H2-Q6;Rasa4;Cd74;Mtdh;Plek;Ighm;Lcp1;Numa1;Cd44;Kdelr1
cellular metabolic process%GObp%GO:0044237,-0.39192997813083374,-2.034753802438616,0.0,0.0,6791,46,Hbb-bt;Trim12a;Jund;Trim34a;Trim5;Lars2;Jun;Zfp36;Stat1;Lamp2;Herc6;Gstp1;Setd1b;Scd2;Junb;Igtp;Cd74;Plek;Satb1;Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Snrpd2;Rps25;Rpl28;Rpl39;Ost4;Sem1;Atp5g1;Rps29;Rps17;Snrpf;Rpl22l1;Uqcrb;Rpl35a;Snrpe;Rpl41;Mif;Rps26;Atpif1;Mpo;Elane;Ctsg;Echdc2,Mrps28;Rpl37;Rpl37a;Rps27l;Snrpd2;Rps25;Rpl28;Rpl39;Ost4;Sem1;Atp5g1;Rps29;Rps17;Snrpf;Rpl22l1;Uqcrb;Rpl35a;Snrpe;Rpl41;Mif;Rps26;Atpif1;Mpo;Elane;Ctsg;Echdc2
cellular macromolecule biosynthetic process%GObp%GO:0034645,-0.5751261376139686,-2.7038873581163263,0.0,0.0,931,16,Lars2;Igtp;Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Ost4;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26,Rps28;Mrps28;Rpl37;Rpl37a;Rps27l;Rpl28;Rpl39;Ost4;Rps29;Rps17;Rpl22l1;Rpl35a;Rpl41;Rps26
